Block,Time,DADRI_LF,AURY_RF,SEWA2,CHAMERA3,DADRI_GF,DADRI_CRF,RAPPB,DHAULIGNGA,TEHRI,NJPC,KISHANGANGA,SINGRAULI,ANTA_LF,PARBATI3,CHAMERA1,KOTESHWR,UNCHAHAR4,RAPPC,TANAKPUR,ANTA_CRF,RIHAND1,AURY_CRF,UNCHAHAR2,BSIUL,ANTA_GF,URI,URI2,RAMPUR,UNCHAHAR3,TANDA2,KOLDAM,SINGRAULI_HYDRO,DULHASTI,NAPP,AURY_GF,AURY_LF,CHAMERA2,JHAJJAR,UNCHAHAR1,RIHAND2,RIHAND3,ANTA_RF,SALAL,DADRT2,DADRI_RF,KHSTPP-I,TALA,BRBCL,KHSTPP-II,SASAN,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.677012,0.000000,0.000000,0.000000,8.567847,0.000000,51.704263,5.441944,0.000000,88.826000,0.000000,40.111212,18.887497,0.000000,33.576228,31.430733,0.000000,22.531874,0.000000,0.000000,0.646451,15.910332,41.143045,0.000000,0.000000,12.715674,388.541338,9.789108,114.049688,119.399161,0.000000,24.682042,429.647500,0.000000,44.798312,0.000000,19.310005,142.426188,336.935362,18.180268,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.677012,0.000000,0.000000,0.000000,8.567847,0.000000,51.704263,5.441944,0.000000,88.826000,0.000000,40.927642,18.887497,0.000000,33.576228,31.430733,0.000000,22.531874,0.000000,0.000000,0.646451,15.910332,41.143045,0.000000,0.000000,12.715674,378.886338,9.789108,114.049688,119.399161,0.000000,24.682042,391.027500,0.000000,44.798312,0.000000,19.310005,142.426336,336.935362,20.014815,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.677012,0.000000,0.000000,0.000000,8.567847,0.000000,51.704263,5.441944,0.000000,88.826000,0.000000,40.927642,18.887497,0.000000,33.576228,31.430733,0.000000,22.531874,0.000000,0.000000,0.646451,15.910332,41.143045,0.000000,0.000000,0.000000,378.886338,9.789108,114.049688,119.399161,0.000000,24.682042,361.097000,0.000000,44.798312,0.000000,18.025414,142.426336,336.935362,20.014815,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.677012,0.000000,0.000000,0.000000,8.567847,0.000000,51.704263,5.441944,0.000000,88.826000,0.000000,36.325006,18.887497,0.000000,39.438744,31.430733,0.000000,22.531874,0.000000,0.000000,0.646451,15.910332,41.143045,0.000000,0.000000,0.000000,359.576338,9.789108,114.049688,119.399161,0.000000,24.682042,361.097000,0.000000,44.798312,0.000000,15.439592,142.426336,336.935362,17.711711,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,15.258808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,128.677012,0.000000,0.000000,0.000000,8.567847,0.000000,51.704263,5.441944,0.000000,88.826000,0.000000,36.325006,12.591665,0.000000,39.438744,31.430733,0.000000,22.531874,0.000000,0.000000,0.646451,15.910332,41.143045,0.000000,0.000000,0.000000,349.921338,9.789108,114.049688,119.399161,0.000000,76.637740,361.097000,0.000000,44.798312,0.000000,16.631110,142.426336,336.935362,17.711711,0,0,0,0,0

