Block,Time,L_NR_2020_02,L_NR_2019_11,L_NR_2012_07,LT-31,L_NR_2012_02,LT-35,L_NR_2012_04,LT-36,L_NR_2012_01,LT-05,L_NR_2023_04,LT-59,SH-07,SH-06,L_NR_2019_19,L_NR_2018_61,L_NR_2023_10,L_NR_2022_10,L_NR_2021_17,L_NR_2021_12,L_NR_2022_09,L_NR_2022_08,L_NR_2020_07,L_NR_2021_13,L_NR_2019_05,L_NR_2021_16,L_NR_2020_06,L_NR_2019_06,L_NR_2019_07,L_NR_2023_07,L_NR_2020_05,L_NR_2021_14,L_NR_2021_15
1,00:00-00:15,6.280000,7.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.560000,30.410000,30.410000,0,12.03,0,20,0,0,20,13.33,11.22,0,0,0,11.22,0,0,0,33.65,0,0

2,00:15-00:30,6.280000,7.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.560000,30.410000,30.410000,0,11.63,0,20,0,0,20,13.33,11.76,0,0,0,11.78,0,0,0,35.33,0,0

3,00:30-00:45,6.280000,7.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.560000,30.410000,0.000000,0,8.15,0,20,0,0,20,13.38,12.36,0,0,0,12.35,0,0,0,37.06,0,0

4,00:45-01:00,6.280000,7.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.560000,30.410000,0.000000,0,7.72,0,20,0,0,20,13.84,13.12,0,0,0,13.12,0,0,0,39.36,0,0

5,01:00-01:15,6.280000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.410000,29.750000,0.000000,0,7.4,0,20,0,0,20,13.98,13.71,0,0,0,13.72,0,0,0,41.15,0,0

6,01:15-01:30,6.280000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.410000,29.750000,0.000000,0,7.4,0,20.96,0,0,20.96,14.41,14.23,0,0,0,14.22,0,0,0,42.67,0,0

7,01:30-01:45,6.280000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.410000,29.750000,0.000000,0,7.4,0,23.01,0,0,23.01,15.91,15,0,0,0,15,0,0,0,45,0,0

8,01:45-02:00,6.280000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,7.410000,29.750000,0.000000,0,7.4,0,24.47,0,0,24.47,17.03,15.2,0,0,0,15.19,0,0,0,45.58,0,0

9,02:00-02:15,6.090000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,7.260000,30.710000,0.000000,0,7.4,0,23.88,0,0,23.88,15.98,12.94,0,0,0,12.94,0,0,0,38.83,0,0

10,02:15-02:30,6.090000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,7.260000,30.710000,0.000000,0,7.4,0,24.22,0,0,24.22,15.63,12.72,0,0,0,12.71,0,0,0,38.14,0,0

11,02:30-02:45,6.090000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,7.260000,30.710000,0.000000,0,7.4,0,24.57,0,0,24.57,15.16,12.61,0,0,0,12.61,0,0,0,37.82,0,0

12,02:45-03:00,6.090000,7.180000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,7.260000,30.710000,0.000000,0,7.4,0,25.49,0,0,25.49,14.81,12.1,0,0,0,12.11,0,0,0,36.33,0,0

13,03:00-03:15,5.950000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.520000,7.100000,30.710000,0.000000,0,7.4,0,25.98,0,0,25.98,14.58,11.94,0,0,0,11.94,0,0,0,35.83,0,0

14,03:15-03:30,5.950000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.520000,7.100000,30.710000,0.000000,0,7.2,0,17.25,0,0,17.25,15.22,10.44,0,0,0,10.44,0,0,0,31.33,0,0

15,03:30-03:45,5.950000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.520000,7.100000,30.710000,0.000000,0,7.2,0,17.21,0,0,17.21,15,10.26,0,0,0,10.28,0,0,0,30.83,0,0

16,03:45-04:00,5.950000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.520000,7.100000,30.710000,0.000000,0,7.2,0,17.34,0,0,17.34,15,10.1,0,0,0,10.11,0,0,0,30.33,0,0

17,04:00-04:15,5.820000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,7.180000,30.710000,20.720000,0,7.2,0,17.68,0,0,17.68,15,10.25,0,0,0,10.24,0,0,0,30.72,0,0

18,04:15-04:30,5.820000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,7.180000,30.710000,0.000000,0,7.2,0,17.78,0,0,17.78,15,10.05,0,0,0,10.03,0,0,0,30.1,0,0

19,04:30-04:45,5.820000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,6.950000,14.850000,14.850000,0,7.2,0,13.37,0,0,13.37,15,9.93,0,0,0,9.93,0,0,0,29.78,0,0

20,04:45-05:00,5.820000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,6.950000,14.850000,14.850000,0,7.2,0,13.37,0,0,13.37,12.83,9.57,0,0,0,9.58,0,0,0,28.73,0,0

21,05:00-05:15,5.630000,6.720000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,6.790000,30.710000,0.000000,0,7.2,0,13.37,0,0,13.37,12.92,10.28,0,0,0,10.29,0,0,0,30.86,0,0

22,05:15-05:30,5.630000,6.720000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.500000,6.790000,30.710000,0.000000,0,7.2,0,13.62,0,0,13.62,13.16,10.16,0,0,0,10.15,0,0,0,30.47,0,0

23,05:30-05:45,5.630000,6.720000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,6.790000,30.710000,0.000000,0,7.2,0,13.62,0,0,13.62,13.25,10.11,0,0,0,10.11,0,0,0,30.33,0,0

24,05:45-06:00,5.630000,6.720000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,6.790000,30.710000,0.000000,0,7.2,0,13.62,0,0,13.62,12.77,10.42,0,0,0,10.43,0,0,0,31.27,0.18,0

25,06:00-06:15,5.630000,6.720000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,30.460000,6.790000,30.710000,0.000000,0.43839,7.2,0,13.62,0,0,13.62,15.13,10.57,0,3.55,1,10.56,10.79,1.45,0,31.69,1.66,0

