Block,Time,SASAN,BRBCL,KHSTPP-I,FSTPP I & II,TALA,KHSTPP-II,AURY_RF,AURY_LF,CHAMERA1,JHAJJAR,RAPPC,RIHAND3,URI2,SINGRAULI,URI,NAPP,CHAMERA3,ANTA_GF,UNCHAHAR2,PARBATI3,SALAL,UNCHAHAR3,ANTA_CRF,DADRI_GF,SEWA2,RIHAND1,DULHASTI,DADRT2,ANTA_RF,DHAULIGNGA,KISHANGANGA,DADRI_CRF,DADRI_LF,BSIUL,RAPPB,KOTESHWR,CHAMERA2,UNCHAHAR4,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR1,TANDA2,KOLDAM,AURY_CRF,DADRI_RF,TANAKPUR,RAMPUR,AURY_GF,TEHRI,NJPC,ANTA_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,192.240000,18.059903,35.722517,10.673742,0.000000,112.711177,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,8.016639,133.904772,2.122330,20.839200,0.000000,0.000000,29.012839,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,567.011399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,192.480300,17.056172,35.722517,10.673742,0.000000,112.711177,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,8.016639,133.904772,2.122330,20.839200,0.000000,0.000000,28.468533,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,523.854000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,192.480300,17.896027,35.722517,10.673742,0.000000,141.792019,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,4.525522,133.904772,2.122330,20.839200,0.000000,0.000000,28.468533,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,466.182000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,192.480300,16.754841,35.722517,10.673742,0.000000,141.792019,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,4.525522,133.904772,2.122330,20.839200,0.000000,0.000000,28.468533,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,423.889200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,192.480300,15.985781,35.722517,10.673742,0.000000,141.792019,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,4.525522,133.904772,2.122330,20.839200,0.000000,0.000000,28.468533,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,368.139600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,192.480300,14.357806,35.722517,10.673742,0.000000,141.792019,0.000000,0.000000,0.000000,231.921604,52.449800,118.867399,4.525522,133.904772,2.122330,20.839200,0.000000,0.000000,28.468533,0.000000,1.340297,17.869189,0.000000,0.000000,0.000000,88.430400,0.000000,339.303600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,14.017468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,192.480300,12.010387,35.722517,10.673742,0.000000,141.792019,0.000000,0.000000,0.000000,228.765600,52.449800,118.867399,4.525522,133.904772,1.591747,20.839200,0.000000,0.000000,15.379200,0.000000,1.340297,10.573200,0.000000,0.000000,0.000000,88.430400,0.000000,339.303600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,7.689600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,192.480300,11.142598,35.722517,6.889890,0.000000,141.792019,0.000000,0.000000,0.000000,228.765600,52.449800,118.867399,4.525522,133.904772,1.591747,20.839200,0.000000,0.000000,15.379200,0.000000,1.340297,10.573200,0.000000,0.000000,0.000000,88.430400,0.000000,339.303600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.003560,0.000000,0.000000,54.500040,0.845837,7.689600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

