Block,Time,KGSU1AND2,KOTESHWR,NAPP,NLCEXP,PARBATI3,RAPPB,RIHAND2,RIHAND3,SALAL,UNCHAHAR4,AURY_LF,FSTPP I & II,JHAJJAR,KHSTPP-I,KKNPPU2,SASAN,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,URI,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,RAPPD,RIHAND1,RSTPSU1TO6,TALA,TANDA2,UNCHAHAR2,ANTA_RF,DADRI_CRF,KKNP,KUDGI,RAMPUR,TALST2,ANTA_LF,KOLDAM,PARBATI2,RSTPSU7,SIMHST1,TEHRI,UNCHAHAR3,DADRI_GF,BRBCL,CHAMERA2,DHAULIGNGA,KGSU3AND4,KHSTPP-II,KISHANGANGA,SEWA2,TelanganaSTPP,UNCHAHAR1,AURY_CRF,MAPS,NLCIIST1,SIMHST2,TEHRIPSP,AURY_RF,DADRI_RF,BSIUL,CHAMERA1,CHAMERA3,DADRT2,DULHASTI,NTPL,RAPPC,URI2,VALLURNTECL,ANTA_CRF,ANTA_GF,AURY_GF,DADRI_LF
1,00:00-00:15,0,30.43,24.62,0,26.76,0,125.27,130.84,72.05,2.77,0,18.76,636.65,44.62,0,329.62,111.8,0.72,13.06,52.99,175.79,0,0,0,23.87,80.16,0,14.02,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,98.87,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.14,55.38,0,65.59,38.97,0,0,0,0,0

2,00:15-00:30,0,30.43,24.62,0,26.76,0,125.27,130.84,72.05,1.52,0,18.76,640.65,44.62,0,329.62,111.8,0.72,13.06,52.99,175.79,0,0,0,23.87,80.16,0,14.02,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,98.87,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.14,55.38,0,65.59,38.97,0,0,0,0,0

3,00:30-00:45,0,30.43,24.62,0,26.76,0,125.27,130.84,72.05,1.52,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,52.99,175.79,0,0,0,23.87,85.49,0,14.05,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.14,55.38,0,65.59,38.97,0,0,0,0,0

4,00:45-01:00,0,30.43,24.62,0,26.76,0,125.27,130.84,72.05,1.62,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,48.57,175.79,0,0,0,23.87,85.49,0,14.05,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.26,55.38,0,65.59,38.97,0,0,0,0,0

5,01:00-01:15,0,30.43,24.62,0,38.06,0,125.27,130.84,72.05,1.62,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,48.57,175.79,0,0,0,23.87,85.49,0,14.05,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.38,55.38,0,65.59,38.97,0,0,0,0,0

6,01:15-01:30,0,30.43,24.62,0,38.06,0,125.27,130.84,72.05,1.62,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,48.57,175.79,0,0,0,23.87,85.49,0,14.02,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.38,55.38,0,65.59,38.97,0,0,0,0,0

7,01:30-01:45,0,30.43,24.62,0,38.06,0,125.27,130.84,72.05,1.62,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,48.57,175.79,0,0,0,23.87,90.84,0,14.02,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,166.37,80.26,79.04,6.52,42.15,33.94,549.38,55.38,0,65.59,38.97,0,0,0,0,0

8,01:45-02:00,0,30.43,24.62,0,38.06,0,125.27,130.84,72.05,1.62,0,18.76,667.25,44.62,0,329.62,111.8,0.72,13.06,48.57,175.79,0,0,0,23.87,90.84,0,13.99,0.32,43.7,51.96,0,0,0,5.7,0,0,8.62,0,0,0,62.3,27.09,0,24.99,47.12,42.46,0,93.62,7.05,12.22,0,15.9,0,0,0,0,83.18,80.26,79.04,13.04,42.15,33.94,549.38,55.38,0,65.59,38.97,0,0,0,0,0

