Block,Time Block,KGSU1AND2,FSTPP I & II,DULHASTI,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,BRBCL,CHAMERA2,CHAMERA1,BSIUL,URI,UNCHAHAR4,VALLURNTECL,URI2,RSTPSU1TO6,SALAL,RIHAND3,SEWA2,RIHAND2,RSTPSU7,RIHAND1,SASAN,RAPPC,SIMHST1,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,UNCHAHAR2,TALA,SINGRAULI,TEHRI,UNCHAHAR1,TANDA2,UNCHAHAR3,TALST2,RAPPB,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,RAMPUR,NTPL,PARBATI3,KGSU3AND4,KHSTPP-I,KKNP,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,KHSTPP-II,KOTESHWR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,15.87,0,0,470.15,0,251,0,0,0,0,0,0,0,0,0,0,0,0,16.29,0,0,6.25,31.77,0,0,20.65,0,2.23,59.62,15.16,113.91,0,88.25,194.24,24.83,0,0.72,0,0,0,36.9,0,133.99,0,17.84,0,23.04,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,43.67,0,0,0,0,0,142.25,8.51,0,0,0,0,0

2,00:15-00:30,0,15.05,0,0,450.16,0,251,0,0,0,0,0,0,0,0,0,0,0,0,16.76,0,0,6.25,31.77,0,0,20.65,0,2.23,59.62,15.16,113.91,0,88.25,194.24,24.83,0,0.72,0,0,0,35.05,0,133.99,0,17.24,0,21.82,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,43.67,0,0,0,0,0,142.25,8.51,0,0,0,0,0

3,00:30-00:45,0,15.47,0,0,430.98,0,251,0,0,0,0,0,0,0,0,0,0,0,0,15.47,0,0,6.25,31.77,0,0,20.65,0,2.23,59.62,15.16,113.91,0,88.25,194.24,24.83,0,0.72,0,0,0,35.05,0,133.99,0,17.24,0,21.82,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,43.67,0,0,0,0,0,142.25,8.51,0,0,0,0,0

4,00:45-01:00,0,17.46,0,0,430.98,0,251,0,0,0,0,0,0,0,0,0,0,0,0,15.47,0,0,6.25,31.77,0,0,20.65,0,2.23,59.62,15.16,113.91,0,88.25,194.24,24.83,0,0.72,0,0,0,35.05,0,133.99,0,17.24,0,21.82,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,43.67,0,0,0,0,0,142.25,8.51,0,0,0,0,0

5,01:00-01:15,0,15.05,0,0,488.53,0,251,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,6.25,31.77,0,0,20.65,0,2.23,59.62,15.16,113.91,0,88.25,194.24,24.83,0,0.72,0,0,0,35.05,0,133.99,0,17.24,0,21.82,0,0,0,0,0,0,0,0,0,22.54,0,0,0,0,43.67,0,0,0,0,0,142.25,8.51,0,0,0,0,0

