Block,Time Block,RAMPUR,RIHAND2,SASAN,SINGRAULI_HYDRO,RIHAND1,SIMHST2,RSTPSU1TO6,RAPPC,SINGRAULI,RSTPSU7,SALAL,SEWA2,SIMHST1,RIHAND3,RAPPB,TALA,TALST2,NJPC,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,NTPL,NLCEXP,PARBATI3,NLCIIST1,PARBATI2,KISHANGANGA,KOTESHWR,MAPS,KHSTPP-I,KUDGI,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,JHAJJAR,KGSU1AND2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,DULHASTI,CHAMERA3,CHAMERA1,DADRT2,BSIUL,CHAMERA2,BRBCL,UNCHAHAR1,TANDA2,TelanganaSTPP,UNCHAHAR2,TANAKPUR,TEHRI,URI,URI2,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,ANTA_CRF,DADRI_RF,ANTA_RF,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,AURY_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,3.15,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,18.17,0,125.82,0,0,0,79.77,0,0,50.29,0,0,0,4.13,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,421.84,0,0,11.26,0,19.06,0,27.04,482.98,12.55,15.64,19.25,20.49,3.01,0,19.5,0,12.18,49.4,38.14,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,18.17,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,4.13,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,421.84,0,0,11.26,0,19.06,0,27.04,532.27,12.55,15.64,18.44,20.49,3.01,0,19.5,0,12.18,49.4,38.14,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,18.17,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,4.13,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,420.4,0,0,11.26,0,19.06,0,27.04,585.19,12.55,15.64,15.53,20.49,3.01,0,19.5,0,0,49.4,38.14,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,18.17,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,4.13,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,420.4,0,0,11.26,0,19.06,0,27.04,655.44,12.55,15.64,13.36,20.49,3.01,0,19.5,0,0,49.4,38.14,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,18.17,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,16.22,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,421.84,0,0,11.26,0,19.06,0,27.04,652.18,12.55,3.96,10.87,20.49,3.01,0,19.5,0.74,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,12.86,12.12,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,16.22,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,336.69,0,0,11.26,0,19.06,0,27.04,615.18,12.55,3.96,11.36,20.49,3.01,0,19.5,6.03,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,25.72,12.12,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,16.22,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,248.16,0,0,11.26,0,19.06,0,27.04,589.2,12.55,3.96,12.28,20.49,3.01,0,19.5,6.03,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,76.39,12.12,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,16.22,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,173.1,0,0,11.26,0,19.06,0,27.04,570.91,12.55,3.96,11.69,20.49,3.01,0,19.5,6.03,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,76.39,12.12,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,0,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,192.41,0,0,11.26,0,19.06,0,27.04,535.31,12.55,15.64,11.32,20.49,3.01,0,19.5,6.03,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,2.1,119.84,335.82,0.94,93.52,0,0,65.03,144.59,0,76.39,12.12,0,125.82,0,0,0,53.18,0,0,50.29,0,0,0,0,0,0,8.24,10.02,0,43.81,0,142.23,0,0,0,192.41,0,0,11.26,0,19.06,0,27.04,516.06,12.55,15.64,12.08,20.49,3.01,0,19.5,6.03,0,46.74,36.29,1.25,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

