Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1899,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,L_NR_2019_19,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/18/4434,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,73.33,33.34,100,0,0,33.34,73.33,0,0,33.33,0,0,0,0,0,0,0,7.01,0.77,1.22,64.14,8.66,63.48,0,1.66,150,1.92,55.78,24.22,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,135.27,0,0,0,57.42

2,00:15-00:30,73.33,33.34,100,0,0,33.34,73.33,0,0,33.33,0,0,0,0,0,0,0,7.01,0.77,1.22,64.14,8.66,63.48,0,1.66,150,1.92,55.78,24.22,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,115.07,0,0,0,57.42

3,00:30-00:45,73.33,33.34,100,0,0,33.34,73.33,0,0,33.33,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.92,55.78,24.22,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,94.87,0,0,0,57.42

4,00:45-01:00,73.33,33.34,100,0,0,33.34,73.33,0,0,33.33,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.92,55.78,24.22,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

5,01:00-01:15,73.33,33.34,98,0,0,32.66,73.33,0,0,32.67,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

6,01:15-01:30,71.33,33.34,95,0,0,31.66,71.33,0,0,31.67,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

7,01:30-01:45,69.67,33.34,91.5,0,0,30.5,69.67,0,0,30.5,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

8,01:45-02:00,68,33.34,87.5,0,0,29.16,68,0,0,29.17,0,0,0,0,0,0,0,7.01,0.77,1.22,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

9,02:00-02:15,66,33.34,85,0,0,28.34,66,0,0,28.33,0,0,0,0,0,0,0,7.01,0.77,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

10,02:15-02:30,64,33.34,83,0,0,27.66,64,0,0,27.67,0,0,0,0,0,0,0,7.01,0.77,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

11,02:30-02:45,61.33,33.34,80.5,0,0,26.84,61.33,0,0,26.83,0,0,0,0,0,0,0,7.01,0.77,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

12,02:45-03:00,61.33,33.34,78,0,0,26,61.33,0,0,26,0,0,0,0,0,0,0,7.01,0.77,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

13,03:00-03:15,60.67,33.34,77,0,0,25.66,60.67,0,0,25.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

14,03:15-03:30,59.67,33.34,77,0,0,25.66,59.67,0,0,25.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

15,03:30-03:45,58.33,33.34,77,0,0,25.66,58.33,0,0,25.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,63.48,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

16,03:45-04:00,57.33,33.34,77.5,0,0,25.84,57.33,0,0,25.83,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.66,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

17,04:00-04:15,52.33,33.34,77,0,0,25.66,52.33,0,0,25.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.62,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

18,04:15-04:30,50.33,33.34,76,0,0,25.34,50.33,0,0,25.33,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.62,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

19,04:30-04:45,48.67,33.34,75,0,0,25,48.67,0,0,25,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.62,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,74.79,0,0,0,57.42

20,04:45-05:00,48,33.34,74,0,0,24.66,48,0,0,24.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.62,150,1.84,55.78,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,94.87,0,0,0,57.42

21,05:00-05:15,47.67,33.34,74,0,0,24.66,47.67,0,0,24.67,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,93.6,0,1.62,150,1.84,80.79,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,115.07,0,0,0,66

22,05:15-05:30,49,33.34,74.5,0,0,24.84,49,0,0,24.83,0,0,0,0,0,0,0,7.01,0.69,1.14,70.13,8.66,112.81,0,1.62,150,1.84,80.79,0,25.97,31.71,25.97,95.13,0,0,8.66,25.97,0,0,0,135.27,0,0,0,76.26

