Block,Time,BSIUL,CHAMERA2,DADRT2,FSTPP I & II,KHSTPP-II,KKNPPU2,KOTESHWR,NLCIIST1,RIHAND1,RSTPSU7,UNCHAHAR3,UNCHAHAR4,KHSTPP-I,KKNP,KUDGI,SEWA2,TEHRI,UNCHAHAR1,ANTA_LF,ANTA_RF,KISHANGANGA,NAPP,RIHAND3,TALA,TALST2,URI,DADRI_RF,DULHASTI,KGSU1AND2,NLCEXP,RAPPC,SASAN,TANAKPUR,UNCHAHAR2,AURY_RF,BRBCL,MAPS,NTPL,PARBATI3,SIMHST1,SIMHST2,SINGRAULI,TANDA2,ANTA_GF,AURY_GF,CHAMERA3,DHAULIGNGA,JHAJJAR,KOLDAM,NLCIIST2,NNTPP,SALAL,ANTA_CRF,NJPC,RIHAND2,SINGRAULI_HYDRO,TelanganaSTPP,VALLURNTECL,DADRI_CRF,DADRI_GF,CHAMERA1,KGSU3AND4,NLCTS2EXP,RAMPUR,RAPPB,RSTPSU1TO6,URI2,AURY_CRF,AURY_LF,DADRI_LF
1,00:00-00:15,0,28.34,685.77,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,53.16,20.96,0,31.94,0,44.99,127.6,10.68,0,50.79,101.12,54.53,0,0,59.94,418.77,10.96,43.11,77.33,15,0,0,15.46,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,65.07,0,127.78,121.71,0,0,0,0,0,14.05,0,0,2.75,0,0,10.35,0,0,0

2,00:15-00:30,0,28.34,685.77,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,53.16,20.96,0,31.94,0,44.99,127.6,10.68,0,50.79,101.12,54.53,0,0,59.94,418.77,10.96,43.11,77.33,15,0,0,3.94,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,65.07,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

3,00:30-00:45,0,28.34,686.07,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,53.16,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,418.77,10.96,43.11,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,35.46,0,0,0

4,00:45-01:00,0,28.34,686.07,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,418.77,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,35.46,0,0,0

5,01:00-01:15,0,28.34,686.07,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,418.77,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,26.6,0,0,0

6,01:15-01:30,0,28.34,686.07,20.8,98.87,0,19.32,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,418.77,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,26.6,0,0,0

7,01:30-01:45,0,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,418.77,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,26.6,0,0,0

8,01:45-02:00,0,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,418.77,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,40.2,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,26.6,0,0,0

9,02:00-02:15,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,407.25,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,14.77,0,0,0

10,02:15-02:30,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,35.44,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,407.25,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,14.77,0,0,0

11,02:30-02:45,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,407.25,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

12,02:45-03:00,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,407.25,10.96,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

13,03:00-03:15,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

14,03:15-03:30,6.52,28.34,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,21.37,30.23,413.81,4.01,0,0,79.38,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

15,03:30-03:45,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,127.78,121.71,0,0,0,0,0,0,0,0,2.75,0,0,10.35,0,0,0

16,03:45-04:00,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,127.78,121.71,0,0,0,0,0,11.85,0,0,2.75,0,0,10.35,0,0,0

17,04:00-04:15,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,127.78,121.71,0,0,0,0,0,11.85,0,0,2.75,0,0,10.35,0,0,0

18,04:15-04:30,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,8.83,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,124.16,121.71,0,0,0,0,0,11.85,0,0,2.67,0,0,10.35,0,0,0

19,04:30-04:45,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,124.16,121.71,0,0,0,0,0,14.05,0,0,2.67,0,0,10.35,0,0,0

20,04:45-05:00,6.52,13.43,686.07,20.8,98.87,0,9.66,0,47.33,0,0,1.62,44.92,0,0,0,17.72,20.96,0,31.94,0,44.99,127.6,10.68,0,11.04,101.12,54.53,0,0,59.94,388.12,9.48,43.71,77.33,15,0,0,0,0,0,106.72,2.89,0,0,10.69,30.23,413.81,4.01,0,0,77.85,0,124.16,121.71,0,0,0,0,0,14.05,0,0,2.67,0,0,10.35,0,0,0

