Block,Time,RIHAND2,TALA,TANDA2,TelanganaSTPP,URI,DADRI_LF,BSIUL,CHAMERA3,DULHASTI,KGSU1AND2,KGSU3AND4,KISHANGANGA,MAPS,NNTPP,BRBCL,FSTPP I & II,JHAJJAR,KHSTPP-I,PARBATI3,RAPPB,RSTPSU1TO6,SALAL,UNCHAHAR3,UNCHAHAR4,VALLURNTECL,AURY_RF,RAPPC,RIHAND3,SINGRAULI,TALST2,TANAKPUR,ANTA_GF,ANTA_LF,AURY_LF,DADRI_GF,DADRI_RF,KKNPPU2,KOLDAM,KUDGI,RIHAND1,ANTA_RF,KOTESHWR,NJPC,NLCTS2EXP,SASAN,SIMHST2,URI2,AURY_GF,CHAMERA2,DHAULIGNGA,KKNP,NLCEXP,NLCIIST2,NTPL,RAMPUR,RSTPSU7,SIMHST1,SINGRAULI_HYDRO,TEHRIPSP,CHAMERA1,DADRT2,KHSTPP-II,NAPP,NLCIIST1,PARBATI2,RAPPD,SEWA2,TEHRI,UNCHAHAR1,UNCHAHAR2,ANTA_CRF,AURY_CRF,DADRI_CRF
1,00:00-00:15,126.8,10.58,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,48.64,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

2,00:15-00:30,126.8,10.58,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,48.64,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

3,00:30-00:45,126.8,10.58,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,48.64,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

4,00:45-01:00,126.8,10.58,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,48.64,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

5,01:00-01:15,126.8,12.64,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,48.64,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

6,01:15-01:30,126.8,12.64,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

7,01:30-01:45,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,8.96,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

8,01:45-02:00,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,8.96,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,51.99,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

9,02:00-02:15,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,8.96,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

10,02:15-02:30,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,8.96,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

11,02:30-02:45,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

12,02:45-03:00,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,69.16,0,0,85.41,27.99,2.39,0,78.22,68.22,92.37,153.28,0,12.04,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.22,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.1,0,0,0

13,03:00-03:15,126.8,13.23,6.61,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,2.39,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

14,03:15-03:30,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,2.39,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

15,03:30-03:45,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

16,03:45-04:00,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

17,04:00-04:15,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

18,04:15-04:30,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,19.6,458.85,45.83,67.63,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.95,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

19,04:30-04:45,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,458.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

20,04:45-05:00,126.8,13.23,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,92.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,550.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

21,05:00-05:15,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

22,05:15-05:30,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

23,05:30-05:45,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

24,05:45-06:00,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

25,06:00-06:15,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

26,06:15-06:30,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,10.25,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

27,06:30-06:45,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

28,06:45-07:00,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,43.85,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

29,07:00-07:15,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

30,07:15-07:30,126.8,14.7,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

31,07:30-07:45,126.8,13.97,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

32,07:45-08:00,126.8,13.97,7.07,0,50.23,0,13.04,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

33,08:00-08:15,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,670.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,29.43,21.83,45.62,0,0,0

34,08:15-08:30,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,530.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.91,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,19.62,21.83,45.62,0,0,0

35,08:30-08:45,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,530.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.43,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,9.81,21.83,45.62,0,0,0

36,08:45-09:00,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,530.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.3,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,0,21.83,45.62,0,0,0

37,09:00-09:15,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,530.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,49.04,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,0,21.83,45.62,0,0,0

38,09:15-09:30,126.8,13.97,7.07,0,50.23,0,6.52,35.09,58.79,0,0,8.71,0,0,24.99,20.8,530.85,45.83,66.09,0,0,82.5,27.99,3.98,0,78.22,68.22,132.37,153.28,0,9.61,0,0,0,0,74.64,0,10.65,0,99.81,48.77,10.44,181.16,0,418.77,0,38.16,0,48.9,32.89,0,0,0,0,7.04,0,0,1.16,0,42.15,690.85,148.3,24.49,0,58.05,25.15,0,0,21.83,45.62,0,0,0

