Column1,Time,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7960,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/8964,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1333,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/9334,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/4565,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19
1,00:00-00:15,30.5,2.71,260.29,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.27,25.97,133.82,0,4.33,30.28,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,2.05,48.1,11.17,0,0,0,3,11.17,0,0,0,28.33,0,0,0,28.33,0,33.49,0,0,3.22,0

2,00:15-00:30,30.5,2.71,260.29,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.27,25.97,133.82,0,4.33,30.78,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,2.05,48.1,11.33,0,0,0,3,11.33,0,0,0,28.33,0,0,0,28.33,0,34.01,0,0,3.22,0

3,00:30-00:45,30.5,2.71,260.29,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.27,25.97,133.82,0,4.33,30.78,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,2.05,48.1,11.33,0,0,0,3,11.33,0,0,0,28.67,0,0,0,28.67,0,34.01,0,0,3.22,0

4,00:45-01:00,30.5,2.71,260.29,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.27,25.97,133.82,0,4.33,30.78,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,30.5,2.05,48.1,11.33,0,0,0,3,11.33,0,0,0,29,0,0,0,29,0,34.01,0,0,3.22,0

5,01:00-01:15,30.5,2.71,205.24,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.19,25.97,133.82,0,4.33,30.78,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,2.05,48.1,11.5,0,0,0,3,11.5,0,0,0,30.67,0,0,0,30.67,0,34.5,0,0,3.53,0

6,01:15-01:30,30.5,2.71,205.24,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.19,25.97,133.82,0,4.33,30.78,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,2.05,48.1,11.67,0,0,0,3,11.67,0,0,0,32.67,0,0,0,32.67,0,34.99,0,0,3.83,0

7,01:30-01:45,30.5,2.71,205.24,115.01,9.62,0,0,0,2.68,68.85,7.7,9.62,7.19,25.97,133.82,0,4.33,30.28,100.21,9.62,1.92,9.62,2.89,2.89,52.5,2.89,26.48,2.05,48.1,11.83,0,0,0,3,11.83,0,0,0,33.33,0,0,0,33.33,0,35.51,0,0,8.34,0

