Column1,Block,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1333,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/1389,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2139,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/9334,NR/30092023/26122029/SH-06,NR/2025/26088/C,WR/2025/27350/A/65881,NR/2025/26073/C,NR/2025/25945/A/66146,NR/2025/25947/A/66145,NR/2025/25948/A/66144,NR/2025/26031/A/65897,NR/2025/25955/A/66143,WR/2025/27361/A/66154,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65714,Total
,,IEXL,IEXL,IVPL_Trader,HPXL,IEXL,HPXL,DELHI,IEXL,PowerPulse,BAWANA_GAS,IEXL,HPXL,PXIL,HPXL,NDMC,IEXL,APPCPL,NDMC,IEXL,PUNJAB,HPXL,KEIPL,TPDDL,APPCPL,APPCPL,APPCPL,DIAPL,APPCPL,APPCPL,SECI_Trader,IEXL,
,,SIKKIM_STATE,SIKKIM_STATE,DELHI_UT,CSEB_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,DELHI_UT,SIKKIM_STATE,NA,UTTARPRADESH_STATE,NA,NA,NA,DELHI_UT,NA,SIKKIM_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,
,,LLHEP1234,RCHEP,BYPL,MSPLTD,KGEPL_HP,SIMHAPURI,CHANJUII,RHPPL_HP,APL_Raipur_TPP,BAWANA_GAS,MEYONGCHU_HEP,JPL,LAPL_UP,JPL2,SKS_Raigarh,JPNIGRIE_JNSTPP,BYPL,JPL2,Kalez_Khola_HEP,BAWANA_GAS,HIRIYUR_OSTROKANNADA,BYPL,JHAJJAR,RKM_POWER,RKM_POWER,TRN_ENERGY,GBHHPL,JIPL,BYPL,APSEPL_FTG,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,KSEB,NDMC,BRPL,PUNJAB,BYPL,CSEB_Beneficiary,TPDDL,NDMC,NDMC,NDMC,DIAPL,NDMC,CSEB_Beneficiary,TPDDL,MES_Delhi,
,,East-North,East-North,North-West,West-North,North-North,South-East-North,North-North,North-North,West-North,North-North,East-North,West-North,North-North,West-North,West-North,West-North,North-West-South,West-North,East-North,North-North,South-West-North,North-West,North-North,West-North,West-North,West-North,North-North,East-North,North-West,North-North,North-North,
1,00:00-00:15,9.62,2.88,0,9.62,9.62,28.84,9.48,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,966.9400000000003

2,00:15-00:30,9.62,2.88,0,9.62,9.62,28.84,9.48,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,966.9400000000003

3,00:30-00:45,9.62,2.88,0,9.62,9.62,28.84,9.48,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,27,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,961.9400000000003

4,00:45-01:00,9.62,2.88,0,9.62,9.62,28.84,9.48,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,27,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,961.9400000000003

5,01:00-01:15,9.62,2.88,0,9.62,9.62,28.84,9.38,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,966.8400000000001

6,01:15-01:30,9.62,2.88,0,9.62,9.62,28.84,9.38,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,966.8400000000001

7,01:30-01:45,9.62,2.88,0,9.62,9.62,28.84,9.38,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,242.3,43.7,43.7,14.57,3.85,28.97,24.04,0,0,966.8400000000001

8,01:45-02:00,9.62,2.88,0,9.62,9.62,28.84,9.38,1.92,96.15,32,2.88,72.11,48.08,72.11,14.57,19.23,52.5,22.11,2.88,32,27.21,0,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,886.0700000000002

9,02:00-02:15,9.62,2.88,0,9.62,9.62,28.84,9.3,1.92,96.15,32,2.88,72.11,48.08,36.39,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.7100000000002

10,02:15-02:30,9.62,2.88,0,9.62,9.62,28.84,9.3,1.92,96.15,32,2.88,72.11,48.08,36.12,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.4400000000002

11,02:30-02:45,9.62,2.88,0,9.62,9.62,28.84,9.3,1.92,96.15,32,2.88,72.11,48.08,36.41,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.7300000000001

12,02:45-03:00,9.62,2.88,0,9.62,9.62,28.84,9.3,1.92,96.15,32,2.88,72.11,48.08,36.36,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.6800000000002

13,03:00-03:15,9.62,2.88,0,9.62,9.62,28.84,9.2,1.92,96.15,32,2.88,72.11,48.08,36.65,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.8700000000001

14,03:15-03:30,9.62,2.88,0,9.62,9.62,28.84,9.2,1.92,96.15,32,2.88,72.11,48.08,36.16,14.57,19.23,0,22.11,2.88,32,0,96.15,161.53,43.7,43.7,14.57,3.85,28.97,24.04,0,0,866.3800000000002

