Column1,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/2569,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/4973,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/20/3628,GNA/NR/2025/04/01/8456,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7782,GNA/NR/2025/04/01/8510,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/5280,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,L_NR_2019_19,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,130.75,53.39,26.5,10.6,115.92,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.84,87.17,11.92,29.26,0,0,40.02,65.51,0,21.83,0,0,0,0,0,0,21.83,0,0,0,0,0,0,0,19

2,00:15-00:30,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,130.75,53.39,26.5,10.6,115.92,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.84,87.17,11.92,29.77,0,0,40.02,66.49,0,22.17,0,0,0,0,0,0,22.17,0,0,0,0,0,0,0,20

3,00:30-00:45,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,130.75,53.39,26.5,10.6,115.92,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.84,87.17,11.92,29.77,0,0,40.02,67.01,0,22.33,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,21

4,00:45-01:00,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,130.75,53.39,26.5,10.6,115,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.84,87.17,11.92,29.77,0,0,40.02,67.5,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,21.33

5,01:00-01:15,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,102.88,53.39,26.5,10.6,64.45,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.37,67.19,11.92,29.77,0,0,40.02,67.5,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,21.33

6,01:15-01:30,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,273.25,102.88,53.39,26.5,10.6,64.45,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.37,67.19,11.92,29.77,0,0,40.02,67.5,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,21

7,01:30-01:45,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,231.94,84.19,53.39,26.5,10.6,64.45,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.37,56.65,11.92,29.77,0,0,43.01,67.5,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,21

8,01:45-02:00,11.37,20.54,0,-0,20.54,12.92,41.07,20.54,231.94,84.19,53.39,26.5,10.6,64.45,7.32,0,15.32,41.07,10.71,20.85,10.57,26.5,41.07,0,19.33,11.91,9.14,100.68,9.37,56.65,11.92,29.77,0,0,43.01,67.5,0,22.5,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,21.33

9,02:00-02:15,11.37,20.54,164.29,-0,20.54,12.92,41.07,20.54,193.28,84.19,53.39,26.5,10.6,70.46,4.18,0,15.32,41.07,10.71,20.85,6.04,26.5,41.07,0,19.33,11.91,8.98,100.68,7.96,56.65,11.92,29.26,0,0,44.01,64.99,0,21.67,0,0,0,0,0,0,21.67,0,0,0,0,0,0,0,21

10,02:15-02:30,11.37,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,84.19,53.39,26.93,10.6,70.46,4.18,0,15.32,41.07,10.71,20.85,6.04,26.93,41.07,0,19.33,11.91,8.98,100.68,7.96,56.65,11.92,29.26,0,0,44.01,64.5,0,21.5,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,21.33

11,02:30-02:45,16.47,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,84.19,53.39,26.93,10.6,70.46,4.18,0,15.32,41.07,10.71,20.85,6.04,26.93,41.07,0,19.33,11.91,8.98,100.68,7.96,56.65,11.92,29.26,0,0,44.01,64.01,0,21.33,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,21.67

12,02:45-03:00,16.47,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,84.19,53.39,26.93,10.6,70.46,4.18,0,15.32,41.07,10.71,20.85,6.04,26.93,41.07,0,19.33,11.91,8.98,100.68,7.96,56.65,11.92,28.76,0,0,44.01,64.01,0,21.33,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,22.33

13,03:00-03:15,16.27,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,84.19,53.39,26.93,10.52,70.46,3.98,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.5,38.66,11.92,28.26,0,0,44.01,64.5,0,21.5,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,19.67

14,03:15-03:30,16.27,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,84.19,53.39,26.93,10.52,70.46,3.98,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.5,38.66,11.92,28.26,0,0,44.01,65,0,21.67,0,0,0,0,0,0,21.66,0,0,0,0,0,0,0,21.67

15,03:30-03:45,16.27,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.52,70.46,3.95,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.5,38.66,11.92,28.26,0,0,41.02,60,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,18.4

16,03:45-04:00,16.27,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.52,70.46,3.96,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.5,38.66,11.92,28.26,0,0,40.62,60,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,17.87

17,04:00-04:15,15.91,20.54,164.29,-0,20.54,12.92,41.07,20.54,193.28,80.06,53.39,26.93,10.52,70.46,3.96,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.03,58.63,11.92,28.26,0,0,40.42,60,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,16.53

18,04:15-04:30,15.91,20.54,164.29,-0,20.54,12.92,41.07,20.54,231.94,52.19,53.39,26.93,10.52,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.03,38.66,11.92,28.26,0,0,40.82,61.01,0,20.33,0,0,0,0,0,0,20.33,0,0,0,0,0,0,0,16.53

19,04:30-04:45,15.91,20.54,164.29,-0,20.54,12.92,41.07,20.54,273.25,52.19,53.39,26.93,10.45,70.46,3.98,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.03,38.66,11.92,28.26,0,0,41.22,70.01,0,23.33,0,0,0,0,0,0,23.33,0,0,0,0,0,0,0,20.16

20,04:45-05:00,15.91,20.54,164.29,-0,20.54,12.92,41.07,20.54,273.25,52.19,53.39,26.93,10.45,70.46,3.98,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.33,100.68,7.03,38.66,11.92,28.26,0,0,41.42,69,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,19.52

21,05:00-05:15,15.54,20.54,164.29,-0,20.54,12.92,41.07,20.54,231.94,52.19,53.39,26.93,10.45,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.14,100.68,6.75,38.66,11.92,27.25,0,0,41.82,67.99,0,22.67,0,0,0,0,0,0,22.67,0,0,0,0,0,0,0,18.24

22,05:15-05:30,15.54,20.54,164.29,-0,20.54,12.92,41.07,20.54,193.28,52.19,53.39,26.93,10.45,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.14,100.68,6.75,38.66,11.92,27.25,0,0,41.82,67.01,0,22.33,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,18.88

23,05:30-05:45,15.54,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.45,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.14,100.68,6.75,38.66,11.92,28.27,0,0.55,44.02,66,0,22,0,0,0,0,1.7,0,22,0,0,0,0,0,0.34,0,21.47

24,05:45-06:00,15.54,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.45,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.14,100.68,6.75,38.66,11.92,28.27,0,1.78,44.02,64.99,0,21.67,0,0,0,0,3.02,1.21,21.67,0,0,0,1,0,0.6,0,21.82

25,06:00-06:15,15.36,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,0,15.32,41.07,10.71,20.85,3.15,26.93,41.07,0,19.33,11.91,8.14,100.68,6.37,38.66,11.92,28.27,0,2.98,44.02,70.99,10.25,23.67,0,0,1,2.37,9.13,3.57,23.67,0,1,0,1,1,1.83,0,20.42

26,06:15-06:30,15.36,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,0.85,15.32,41.07,10.71,20.85,3.15,26.93,41.07,1.1,19.33,11.91,8.14,100.68,6.37,38.66,11.92,28.27,1.1,4.51,44.02,73.01,16.68,24.33,0,0,2,9.92,15.25,5.9,24.33,0,2,1,3,2,3.05,0,19.71

27,06:30-06:45,15.36,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,1.8,15.32,41.07,10.71,20.85,3.15,26.93,41.07,2.33,19.33,11.91,8.14,100.68,6.37,38.66,11.92,27.76,2.33,6.73,44.02,75.49,24.58,25.17,0,0,3,19.36,21.37,8.22,25.17,0,3,2,5,3,4.28,3,19.77

28,06:45-07:00,15.36,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,2.51,15.32,41.07,10.71,20.85,3.15,26.93,41.07,3.26,19.33,11.91,8.14,100.68,6.37,38.66,11.92,28.76,3.26,9.64,44.02,75,33,25,0,0,6,28.81,27.49,10.55,25,0,7,3,7,4,5.5,6,19.89

29,07:00-07:15,15.26,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,1.76,15.32,41.07,10.71,20.85,3.15,26.93,41.07,2.28,19.33,11.91,8.18,100.68,5.99,38.66,11.92,28.76,2.28,12.51,44.02,77.51,33,25.83,0,0,11,33,37.63,14.87,25.83,0,13,7,9,5,7.53,10,17.78

30,07:15-07:30,15.26,20.54,164.29,-0,20.54,12.92,41.07,20.54,150.28,52.19,53.39,26.93,10.28,70.46,3.97,2.44,15.32,41.07,10.71,20.85,3.15,26.93,41.07,3.15,19.33,11.91,8.18,100.68,5.99,38.66,11.92,29.27,3.15,15.26,44.02,79.5,33,26.5,0,0,14,33,47.78,18.99,26.5,0,17,8,12,7,9.56,16,19.64

