,,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,MANIPUR,NAGALAND,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,NA,
,,B_S_ISPAT_MH,JSPL_DCPP,GBHHPL,SHPPBPL,SKS Raigarh,SHPPBPL,SHPPBPL,Arunachal_Ben,SHPPBPL,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,HP,CHANJUII,KAMENG,SEIL,SHPPBPL,HP,Teesta_III,SHPPBPL,SHPPBPL,HP,NAVABHARAT,APNRL,Manipur_Ben,Nagaland_Ben,ACBIL,Meghalaya_Ben,SHPPBPL,ILFS,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,DIAPL,MHIL,NDMC,JHPL-DL,BMDRC,BYPL,BAL184,MAX-HPTL,BRPL,BYPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BAL224,BRPL,BRPL,BAL234,AISHER,BRPL,BRPL,TPDDL,STT,BYPL,BRPL,BYPL,UHL,BRPL,BRPL,BYPL,MES (Delhi),
,,West-North,West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-West-North,North-North,North-North,East-North,North-North,North-North,North-North,South-West-North,East-North,North East-East-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,North-North,North-North,West-North,
10,02:15-02:30,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,13.070000,66.870000,24.090000,0.400000,13.010000,134.890000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,36.350000,0.460000,213.720000,0,0,0,982.34

11,02:30-02:45,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,13.070000,66.870000,24.090000,0.400000,13.010000,97.310000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,36.350000,0.460000,213.720000,0,0,0,944.76

12,02:45-03:00,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,13.070000,66.870000,24.090000,0.400000,13.010000,73.230000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,36.350000,0.460000,213.720000,0,0,0,920.68

13,03:00-03:15,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.970000,66.870000,24.090000,0.400000,13.010000,27.940000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,838.94

14,03:15-03:30,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.970000,66.870000,24.090000,0.400000,13.010000,2.890000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,813.89

15,03:30-03:45,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.970000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,811

