,,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,MANIPUR,NAGALAND,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,NA,
,,B_S_ISPAT_MH,JSPL_DCPP,GBHHPL,SHPPBPL,SKS Raigarh,SHPPBPL,SHPPBPL,Arunachal_Ben,SHPPBPL,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,HP,CHANJUII,KAMENG,SEIL,SHPPBPL,HP,Teesta_III,SHPPBPL,SHPPBPL,HP,NAVABHARAT,APNRL,Manipur_Ben,Nagaland_Ben,ACBIL,Meghalaya_Ben,SHPPBPL,ILFS,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,DIAPL,MHIL,NDMC,JHPL-DL,BMDRC,BYPL,BAL184,MAX-HPTL,BRPL,BYPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BAL224,BRPL,BRPL,BAL234,AISHER,BRPL,BRPL,TPDDL,STT,BYPL,BRPL,BYPL,UHL,BRPL,BRPL,BYPL,MES (Delhi),
,,West-North,West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-West-North,North-North,North-North,East-North,North-North,North-North,North-North,South-West-North,East-North,North East-East-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,North-North,North-North,West-North,
54,13:15-13:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.72,990.16

55,13:30-13:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.62,990.06

56,13:45-14:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.52,989.96

57,14:00-14:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,183.4,78.6,7.23,987.67

58,14:15-14:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,182,78,7.14,985.58

59,14:30-14:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,182,78,7.04,985.48

60,14:45-15:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,175.7,75.3,6.94,976.38

61,15:00-15:15,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,164.5,70.5,6.75,963.34

62,15:15-15:30,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,157.5,67.5,6.27,952.86

63,15:30-15:45,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,145.6,62.4,6.17,935.76

64,15:45-16:00,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,133,57,5.79,917.38

65,16:00-16:15,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,123.9,53.1,5.69,904.36

66,16:15-16:30,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,109.2,46.8,4.73,882.4

67,16:30-16:45,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,95.2,40.8,4.63,862.3

68,16:45-17:00,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,69.080000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,82.6,35.4,3.57,845.45

69,17:00-17:15,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,80.840000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,67.2,28.8,3.57,835.31

70,17:15-17:30,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,80.840000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,51.1,21.9,1.3,810.04

71,17:30-17:45,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,133.730000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,38.5,16.5,1.78,845.41

72,17:45-18:00,6.740000,48.180000,29.550000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,192.700000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,28,12,1.78,889.38

73,18:00-18:15,6.740000,48.180000,30.570000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,192.700000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.460000,213.720000,21,9,0,915.06

74,18:15-18:30,6.740000,48.180000,30.570000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,192.700000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.460000,213.720000,10.5,4.5,0,900.06

75,18:30-18:45,6.740000,48.180000,30.570000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,192.700000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.460000,213.720000,7,3,0,895.06

76,18:45-19:00,6.740000,48.180000,30.570000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,192.700000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.460000,213.720000,3.5,1.5,0,890.06

77,19:00-19:15,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.600000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.74

78,19:15-19:30,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.600000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.74

79,19:30-19:45,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.600000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.74

80,19:45-20:00,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.600000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.74

81,20:00-20:15,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.83

82,20:15-20:30,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.83

83,20:30-20:45,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,192.700000,24.090000,0.440000,13.010000,0.000000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,885.83

84,20:45-21:00,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,192.700000,24.090000,0.440000,13.010000,23.120000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,908.95

85,21:00-21:15,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,133.730000,24.090000,0.440000,13.010000,81.900000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,908.76

86,21:15-21:30,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,133.730000,24.090000,0.440000,13.010000,120.440000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,947.3

87,21:30-21:45,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.440000,13.010000,167.650000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,927.65

88,21:45-22:00,6.740000,48.180000,30.570000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.440000,13.010000,217.750000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,36.350000,0.510000,213.720000,0,0,0,977.75

89,22:00-22:15,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.790000,66.870000,24.090000,0.440000,13.010000,155.120000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,47.210000,36.350000,0.510000,213.720000,0,0,0,1051.11

90,22:15-22:30,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.790000,66.870000,24.090000,0.440000,13.010000,135.850000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,118.510000,36.350000,0.510000,213.720000,0,0,0,1103.14

91,22:30-22:45,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.790000,66.870000,24.090000,0.440000,13.010000,112.730000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,118.510000,36.350000,0.510000,213.720000,0,0,0,1080.02

92,22:45-23:00,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.790000,66.870000,24.090000,0.440000,13.010000,75.150000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,118.510000,36.350000,0.510000,213.720000,0,0,0,1042.44

93,23:00-23:15,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.440000,13.010000,385.400000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,19.270000,36.350000,0.510000,213.720000,0,0,0,1253.54

94,23:15-23:30,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.440000,13.010000,369.980000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,28.900000,36.350000,0.510000,213.720000,0,0,0,1247.75

95,23:30-23:45,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.440000,13.010000,344.930000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,72.260000,36.350000,0.510000,213.720000,0,0,0,1266.06

96,23:45-24:00,6.740000,48.180000,29.550000,0.510000,62.630000,0.860000,0.810000,9.920000,0.360000,0.810000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.440000,13.010000,318.920000,0.870000,0.720000,14.450000,115.620000,41.430000,2.890000,12.620000,94.420000,36.350000,0.510000,213.720000,0,0,0,1262.21

