Block,Time,AURY_CRF,DULHASTI,SEWA2,RAPPC,ANTA_LF,AURY_LF,AURY_GF,CHAMERA3,CHAMERA1,UNCHAHAR2,BSIUL,ANTA_RF,TEHRI,DADRI_RF,TANDA2,RAPPB,KOTESHWR,NAPP,JHAJJAR,URI,RIHAND2,DADRI_LF,DADRI_GF,SINGRAULI,AURY_RF,DADRI_CRF,KISHANGANGA,UNCHAHAR3,ANTA_GF,UNCHAHAR4,SALAL,SASAN,KHSTPP-II,FSTPP I & II,TALA,BRBCL,KHSTPP-I,PARBATI3,DADRT2,ANTA_CRF,RIHAND1,RAMPUR,RIHAND3,SINGRAULI_HYDRO,DHAULIGNGA,KOLDAM,UNCHAHAR1,NJPC,TANAKPUR,URI2,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,30.040890,0.000000,5.179665,0.000000,9.472608,48.746355,466.374748,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.358666,95.575937,11.059048,0.000000,19.273929,44.853991,4.129830,660.546787,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,0.495337,33.984178,46.884784,0,0,0,0,0

2,00:15-00:30,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,30.040890,0.000000,5.179665,0.000000,9.472608,48.746355,466.374748,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,4.129830,660.546787,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,0.495337,33.984178,46.884784,0,0,0,0,0

3,00:30-00:45,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,30.040890,0.000000,5.179665,0.000000,9.472608,48.746355,466.374748,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,660.546787,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,9.163736,33.984178,46.884784,0,0,0,0,0

4,00:45-01:00,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,30.040890,0.000000,5.179665,0.000000,9.472608,48.746355,466.374748,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,660.546787,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,9.163736,33.984178,46.884784,0,0,0,0,0

5,01:00-01:15,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,20.027260,0.000000,5.179665,0.000000,20.059640,48.746355,428.181591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,622.845487,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,9.163736,33.984178,46.884784,0,0,0,0,0

6,01:15-01:30,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,20.027260,0.000000,5.179665,0.000000,20.059640,48.746355,447.515591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,613.178487,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,7.925393,33.984178,46.884784,0,0,0,0,0

7,01:30-01:45,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,10.013630,0.000000,5.179665,0.000000,20.059640,48.746355,370.179591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,613.178487,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,2.972022,33.984178,46.884784,0,0,0,0,0

8,01:45-02:00,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,370.179591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,594.065281,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,2.972022,33.984178,31.256523,0,0,0,0,0

9,02:00-02:15,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,379.846591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,23.528493,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,504.867969,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,19.266428,129.265415,2.972022,33.984178,31.256523,0,0,0,0,0

10,02:15-02:30,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,379.846591,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,443.965869,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,6.724464,21.876421,129.265415,2.972022,33.984178,31.256523,0,0,0,0,0

11,02:30-02:45,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,364.996919,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,438.165669,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,4.482977,21.876421,129.265415,2.972022,33.984178,31.256523,0,0,0,0,0

12,02:45-03:00,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,43.411234,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,364.996919,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,436.232269,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,4.482977,21.876421,129.265415,2.972022,33.984178,31.256523,0,0,0,0,0

13,03:00-03:15,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,38.803628,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,345.662919,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,432.365469,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,4.482977,21.876421,129.265415,4.210365,33.984178,31.256523,0,0,0,0,0

14,03:15-03:30,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,38.803628,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,316.661919,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,26.718603,0.000000,2.987103,76.732992,402.388875,95.575937,11.059048,0.000000,19.335740,44.853991,0.000000,436.232269,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,4.482977,21.876421,129.265415,4.210365,33.984178,31.256523,0,0,0,0,0

15,03:30-03:45,0.000000,57.204862,18.174556,66.538227,0.000000,0.000000,0.000000,22.424960,40.744549,38.803628,12.607315,0.000000,0.000000,0.000000,5.179665,0.000000,20.059640,48.746355,282.827419,33.617959,120.238146,0.000000,0.000000,144.994318,0.000000,0.000000,5.375272,23.978413,0.000000,2.987103,76.732992,402.388875,95.575937,11.220390,0.000000,19.335740,44.853991,0.000000,429.465369,0.000000,51.602446,4.987438,126.231783,0.753706,20.994509,4.482977,19.322303,129.265415,4.210365,33.984178,31.256523,0,0,0,0,0

