Time,Block,NR/2023/17165/A,NR/2023/14436/A,NR/2023/17510/F,NR/2023/17629/C,NR/2023/17261/F,NR/2023/17496/F,NR/2023/17406/F,NR/2023/17344/F,NR/2023/17405/F,NR/2023/14754/A,NR/2023/17621/C,NR/2023/17620/C,NR/2023/17632/C,Total
,,NVVNL,GMRETL,GBHHPL,SJVNL,APPCPL,IEXL,MANIKARAN,ITCLH,MANIKARAN,APPCPL,TPDDL,NVVNL,SJVNL,Total

,,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,SKS Raigarh,Meghalaya_Ben,GBHHPL,DIKCHU,HP,NSLSUGAR,HP,ITCWIND,HP,HP,CHANJUII,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BYPL,DIAPL,NDMC,BRPL,MES (Delhi),BRPL,ITCLH,BRPL,BYPL,TPDDL,MES (Delhi),NDMC,
,,West-North,North East-East-North,North-North,East-North,North-North,South-East-North,North-North,South-West-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.580000,4.830000,23.190000,6.450000,0,0,197.9

2,00:15-00:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.580000,4.830000,23.190000,6.450000,0,0,197.9

3,00:30-00:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.580000,4.830000,23.190000,6.450000,0,0,197.9

4,00:45-01:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.580000,4.830000,23.190000,6.450000,0,0,197.9

5,01:00-01:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.450000,0,0,197.85

6,01:15-01:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.450000,0,0,197.85

7,01:30-01:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.450000,0,0,197.85

8,01:45-02:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.450000,0,0,197.85

9,02:00-02:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

10,02:15-02:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

11,02:30-02:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

12,02:45-03:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

13,03:00-03:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

14,03:15-03:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

15,03:30-03:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

16,03:45-04:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

17,04:00-04:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

18,04:15-04:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

19,04:30-04:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

20,04:45-05:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.370000,0,0,197.77

21,05:00-05:15,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.270000,0,0,197.67

22,05:15-05:30,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.270000,0,0,197.67

23,05:30-05:45,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.270000,0,0,197.67

24,05:45-06:00,62.810000,33.820000,1.000000,0.000000,54.110000,6.760000,4.350000,0.530000,4.830000,23.190000,6.270000,0,0,197.67

25,06:00-06:15,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.580000,4.830000,0.000000,6.270000,0,0,120.42

26,06:15-06:30,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.580000,4.830000,0.000000,6.270000,0,0,120.42

27,06:30-06:45,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.580000,4.830000,0.000000,6.270000,0.21,0,120.63

28,06:45-07:00,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.580000,4.830000,0.000000,6.270000,0.68,0,121.1

29,07:00-07:15,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.680000,4.830000,0.000000,6.270000,1.02,0,121.54

30,07:15-07:30,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.680000,4.830000,0.000000,6.270000,1.07,0,121.59

31,07:30-07:45,62.810000,33.820000,1.000000,0.000000,0.000000,6.760000,4.350000,0.680000,4.830000,0.000000,6.270000,0.97,0,121.49

