Block,Time,BRBCL,CHAMERA3,DADRT2,FSTPP I & II,JHAJJAR,KHSTPP-II,PARBATI2,SIMHST2,TALST2,URI,BSIUL,CHAMERA2,DHAULIGNGA,MAPS,NJPC,NNTPP,RAMPUR,SIMHST1,UNCHAHAR2,UNCHAHAR4,KGSU3AND4,KKNP,NAPP,RSTPSU7,SEWA2,SINGRAULI_HYDRO,VALLURNTECL,ANTA_RF,AURY_CRF,AURY_LF,DULHASTI,KGSU1AND2,KHSTPP-I,KISHANGANGA,NLCIIST2,NTPL,RAPPB,RIHAND1,RIHAND3,TANDA2,NLCEXP,RAPPC,RIHAND2,SASAN,TALA,DADRI_CRF,DADRI_LF,DADRI_RF,KKNPPU2,KOTESHWR,KUDGI,SALAL,TANAKPUR,UNCHAHAR1,ANTA_LF,DADRI_GF,NLCIIST1,NLCTS2EXP,TEHRI,TelanganaSTPP,UNCHAHAR3,URI2,ANTA_CRF,CHAMERA1,KOLDAM,PARBATI3,RSTPSU1TO6,SINGRAULI,ANTA_GF,AURY_GF,AURY_RF
1,00:00-00:15,20,0,682.17,11.7,468.51,148.3,0,0,0,52.36,13.04,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0,21.33,0,0,0,0,12.66,0,27.17,39.63,0,42.15,4.76,16.86,0,150.25,0,0,85.35

2,00:15-00:30,20,0,682.17,11.7,468.51,148.3,0,0,0,52.36,13.04,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0,21.33,0,0,0,0,12.66,0,27.17,39.63,0,42.15,4.76,16.86,0,150.25,0,0,85.35

3,00:30-00:45,20,0,682.17,11.7,241.71,148.3,0,0,0,52.36,6.52,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0.77,21.33,0,0,0,0,0,0,27.17,39.63,0,42.15,4.76,16.86,0,150.25,0,0,85.35

4,00:45-01:00,20,0,682.17,11.7,245.01,148.3,0,0,0,52.36,6.52,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,39.63,0,42.15,4.76,16.86,0,150.25,0,0,85.35

5,01:00-01:15,20,0,682.17,11.7,241.71,148.3,0,0,0,52.36,13.04,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,28.1,4.76,16.86,0,150.25,0,0,85.35

6,01:15-01:30,20,0,682.17,11.7,241.71,148.3,0,0,0,52.36,13.04,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,28.1,4.76,16.86,0,150.25,0,0,85.35

7,01:30-01:45,20,0,682.17,11.7,245.01,148.3,0,0,0,52.36,13.04,16.25,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,28.1,4.76,16.86,0,150.25,0,0,85.35

8,01:45-02:00,20,0,688.35,11.7,245.01,148.3,0,0,0,52.36,13.04,0,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,14.05,4.76,16.86,0,150.25,0,0,85.35

9,02:00-02:15,20,0,688.87,11.7,447.01,148.3,0,0,0,52.36,6.52,0,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,14.05,0,16.86,0,150.25,0,0,85.35

10,02:15-02:30,20,0,688.87,11.7,447.01,148.3,0,0,0,52.36,6.52,0,10.93,0,82.89,0,3.27,0,43.87,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.33,0,0,0,0,0,0,27.17,37.71,0,14.05,0,16.86,0,150.25,0,0,85.35

11,02:30-02:45,20,0,688.87,11.7,447.01,148.3,0,0,0,52.36,6.52,0,10.93,0,82.89,0,3.27,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,6.27,21.32,0,0,0,0,0,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

12,02:45-03:00,20,0,688.87,11.7,447.01,148.3,0,0,0,52.36,6.52,0,10.93,0,82.89,0,3.27,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0.77,21.32,0,0,0,0,0,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

13,03:00-03:15,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,82.89,0,3.27,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0,21.32,0,0,0,0,0,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

14,03:15-03:30,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,79.38,0,21.32,0,0,0,0,0,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

15,03:30-03:45,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,79.38,0,21.32,0,0,0,0,0,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

16,03:45-04:00,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,79.38,0,21.32,0,0,0,0,12.66,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

17,04:00-04:15,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,79.38,0,21.32,0,0,0,0,12.66,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

18,04:15-04:30,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,0,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,0,74.38,0,10.41,0,26.73,0,21.32,0,0,0,0,25.32,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

19,04:30-04:45,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,16.25,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,17.76,74.38,0,10.41,0,26.73,0,21.32,0,0,0,0,25.32,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

20,04:45-05:00,20,0,688.87,11.7,447.01,148.3,0,0,0,48.57,6.52,32.49,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,17.76,74.38,0,10.41,0,26.73,0,21.32,0,0,0,0,25.32,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

21,05:00-05:15,20,0,688.87,11.7,447.01,148.3,0,0,0,13.25,6.52,32.49,10.93,0,55.26,0,2.18,0,19.68,1.85,0,0,51.86,0,18.88,0.98,0,53.18,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,17.76,74.38,0,10.41,0,26.73,0,21.32,0,0,0,0,25.32,0,27.13,37.71,0,0,0,16.86,0,150.25,0,0,85.35

22,05:15-05:30,20,0,688.87,11.7,447.01,148.3,0,0,0,5.52,6.52,32.49,10.93,0,55.26,0,2.18,0,19.67,1.88,0,0,51.86,0,18.88,0.98,0,53.44,0,0,19.81,0,45.53,8.56,0,0,0,97.18,130.75,3.45,0,67.58,124.53,348.98,0,0,17.76,74.38,0,10.41,0,26.73,0,21.33,0,0,0,0,25.32,0,27.17,37.71,0,0,0,16.86,0,150.25,0,0,85.35

