Block,Time,NAPP,UNCHAHAR3,KOLDAM,SEWA2,URI2,AURY_LF,RIHAND1,DHAULIGNGA,ANTA_GF,RIHAND2,CHAMERA3,SINGRAULI_HYDRO,TANDA2,CHAMERA1,ANTA_LF,FSTPP I & II,DADRI_RF,RAMPUR,TALA,KHSTPP-I,PARBATI3,ANTA_RF,AURY_RF,TEHRI,URI,ANTA_CRF,JHAJJAR,DADRT2,SINGRAULI,NJPC,UNCHAHAR1,KISHANGANGA,UNCHAHAR4,CHAMERA2,UNCHAHAR2,RIHAND3,DADRI_GF,DULHASTI,AURY_GF,BSIUL,AURY_CRF,TANAKPUR,SALAL,DADRI_LF,KOTESHWR,RAPPB,DADRI_CRF,RAPPC,BRBCL,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,48.007121,26.660560,9.850160,0.000000,36.993112,0.000000,90.567331,41.994958,0.000000,119.976948,33.598227,0.000000,5.040023,13.552013,0.000000,13.793780,0.000000,6.506724,9.954093,31.031278,4.120860,0.000000,0.000000,62.103359,29.817715,0.000000,399.683360,664.046023,118.073879,173.591783,21.474331,8.045392,2.980614,46.782935,42.125722,119.591108,0.000000,57.080594,0.000000,6.289964,0.000000,10.503047,80.702294,0.000000,37.808120,0.000000,0.000000,65.584005,14.470302,336.621285,142.229152,0,0,0,0,0

2,00:15-00:30,48.007121,26.660560,9.850160,0.000000,36.993112,0.000000,90.567331,41.994958,0.000000,119.976948,33.598227,0.000000,5.040023,13.552013,0.000000,13.793780,0.000000,6.506724,9.954093,31.031278,4.120860,0.000000,0.000000,62.103359,29.817715,0.000000,399.683360,664.046023,118.073879,173.591783,21.825811,8.045392,2.980614,46.782935,42.125722,119.591108,0.000000,57.080594,0.000000,6.289964,0.000000,10.503047,80.702294,0.000000,37.808120,0.000000,0.000000,65.584005,14.470302,336.621285,143.050180,0,0,0,0,0

3,00:30-00:45,48.007121,26.660560,9.850160,0.000000,36.993112,0.000000,90.566294,41.994958,0.000000,119.976948,33.598227,0.000000,5.040023,27.104025,0.000000,13.793780,0.000000,6.506724,9.954093,31.031278,4.120860,0.000000,0.000000,62.103359,29.817715,0.000000,399.683360,605.416828,118.073879,173.591783,21.825811,8.045392,2.980614,46.782935,42.125722,119.591108,0.000000,57.080594,0.000000,6.289964,0.000000,10.503047,80.702294,0.000000,37.808120,0.000000,0.000000,65.584005,14.470302,336.621285,143.050180,0,0,0,0,0

4,00:45-01:00,48.007121,26.660560,9.850160,0.000000,36.993112,0.000000,90.566294,41.994958,0.000000,119.976948,33.598227,0.000000,5.040023,27.104025,0.000000,13.793780,0.000000,6.506724,9.954093,31.031278,4.120860,0.000000,0.000000,62.103359,29.817715,0.000000,399.683360,536.677589,118.073879,173.591783,21.825811,8.045392,2.980614,46.782935,42.125722,119.591108,0.000000,57.080594,0.000000,6.289964,0.000000,10.503047,80.702294,0.000000,37.808120,0.000000,0.000000,65.584005,14.470302,336.621285,143.050180,0,0,0,0,0

5,01:00-01:15,48.007121,26.660560,9.850160,0.000000,23.120694,0.000000,90.566294,41.994958,0.000000,119.976948,33.598227,0.000000,5.040023,27.104025,0.000000,13.793780,0.000000,6.506724,9.954093,31.031278,4.120860,0.000000,0.000000,62.103359,23.428205,0.000000,399.683360,537.090528,118.073879,173.591783,21.825811,8.045392,2.980614,46.782935,42.125722,119.591108,0.000000,57.080594,0.000000,6.289964,0.000000,10.503047,80.702294,0.000000,37.808120,0.000000,0.000000,65.584005,14.470302,336.621285,143.050180,0,0,0,0,0

