Block,Time,NJPC,UNCHAHAR1,AURY_RF,UNCHAHAR4,ANTA_RF,KISHANGANGA,CHAMERA1,DADRI_GF,RIHAND1,KOLDAM,UNCHAHAR2,SINGRAULI,PARBATI3,AURY_GF,RIHAND3,JHAJJAR,DADRT2,URI2,RAMPUR,SALAL,CHAMERA3,DHAULIGNGA,SEWA2,SINGRAULI_HYDRO,ANTA_CRF,KOTESHWR,AURY_LF,DADRI_RF,CHAMERA2,URI,RIHAND2,DADRI_CRF,RAPPC,DULHASTI,RAPPB,DADRI_LF,AURY_CRF,ANTA_GF,ANTA_LF,TANAKPUR,TANDA2,TALA,KHSTPP-I,BRBCL,SASAN,UNCHAHAR3,FSTPP I & II,KHSTPP-II,BSIUL,TEHRI,KUDGI,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,67.828932,8.699400,0.000000,0.000000,0.000000,0.000000,13.515968,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,546.129000,405.400643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,46.953562,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,23.919194,14.499000,337.319235,11.416394,13.588859,142.588603,0.000000,43.844976,28.04,37.886467,0,0,0,0,0

2,00:15-00:30,67.828932,11.528180,0.000000,0.000000,0.000000,0.000000,13.515968,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,533.285399,444.064643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,46.953562,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,27.900178,14.499000,337.319235,13.656794,14.948082,142.588603,0.000000,43.844976,26.29,37.886467,0,0,0,0,0

3,00:30-00:45,67.828932,11.528180,0.000000,0.000000,0.000000,0.000000,13.515968,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,517.131000,444.064643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,10.671264,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,32.856667,14.499000,337.319235,13.656794,14.948082,142.588603,0.000000,29.229984,33.14,37.886467,0,0,0,0,0

4,00:45-01:00,67.828932,11.528180,0.000000,0.000000,0.000000,0.000000,13.515968,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,497.799000,453.730643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,10.671264,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,32.856667,14.499000,337.319235,13.656794,14.948082,142.588603,0.000000,29.229984,30.84,37.886467,0,0,0,0,0

5,01:00-01:15,67.828932,11.528180,0.000000,0.000000,0.000000,0.000000,8.857922,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,478.467000,463.396643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,12.805517,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,29.048506,14.499000,337.319235,13.656794,14.948082,123.773033,0.000000,14.614992,30.27,37.886467,0,0,0,0,0

6,01:15-01:30,67.828932,11.528180,0.000000,0.000000,0.000000,0.000000,8.857922,0.000000,88.927200,0.000000,35.399792,95.693400,0.000000,0.000000,119.535193,459.135000,463.396643,31.206488,0.000000,51.666703,9.354600,22.983815,0.000000,0.850589,0.000000,8.577608,0.000000,0.000000,25.460321,12.805517,54.806220,0.000000,49.064616,47.785375,0.000000,0.000000,0.000000,0.000000,0.000000,12.877432,0.000000,22.734432,27.063737,14.499000,337.319235,13.656794,14.948082,123.773033,0.000000,14.614992,29.15,37.886467,0,0,0,0,0

