Block,Time,KOLDAM,RIHAND1,KOTESHWR,UNCHAHAR1,SINGRAULI,AURY_LF,UNCHAHAR4,BSIUL,DADRI_LF,KISHANGANGA,DULHASTI,URI2,TEHRI,RAPPB,ANTA_LF,AURY_GF,RAPPC,SINGRAULI_HYDRO,ANTA_GF,RIHAND3,PARBATI3,SEWA2,DADRT2,DHAULIGNGA,UNCHAHAR3,DADRI_RF,NAPP,TANDA2,CHAMERA2,RIHAND2,NJPC,URI,SALAL,AURY_CRF,TANAKPUR,CHAMERA1,JHAJJAR,RAMPUR,ANTA_CRF,AURY_RF,CHAMERA3,DADRI_CRF,ANTA_RF,UNCHAHAR2,DADRI_GF,KGSU1AND2,SOLAPUR,KHARGONE-I,NLCIIST2,KAPS,SASAN,KKNP,VSTPS II,SIPAT I,MOUDA_II,TALST2,BRBCL,MOUDA,TAPS-II,SIPAT II,NLCIIST1,RSTPSU1TO6,KSTPS7,GANDHAR-RLNG,VALLURNTECL,NLCTS2EXP,KAWAS-NAPM,NLCEXP,VSTPS V,SIMHST2,GADARWARA-I,VSTPS IV,KAWAS-RLNG,KGSU3AND4,VSTPS I,KAWAS-zLIQ,NTPL,GANDHAR-ComGas,NNTPP,LARA-I,KSTPS I&II,KAWAS-ComGas,KAWAS-APM,RSTPSU7,KHSTPP-II,FSTPP I & II,KUDGI,GANDHAR-NAPM,GANDHAR-APM,MAPS,TALA,KHSTPP-I,VSTPS III,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.828388,90.877303,25.184531,10.691852,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,283.269000,0.000000,11.460832,0.000000,42.311605,0.000000,42.042478,116.284815,39.456339,48.398532,34.707197,0.000000,0.493697,27.073117,203.000412,0.762595,0.000000,0.000000,20.347692,0.000000,0.000000,31.729211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,11.118790,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.83,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.318388,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,17.477986,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

2,00:15-00:30,0.000000,90.877303,25.184531,10.275053,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,283.269000,0.000000,11.460832,0.000000,42.311605,0.000000,42.042478,116.284815,39.456339,48.398532,34.707197,0.000000,0.493697,27.073117,175.518097,0.762595,0.000000,0.000000,20.347692,0.000000,0.000000,29.802211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,11.118790,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.84,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.318388,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,12.692186,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

3,00:30-00:45,0.000000,90.877303,25.184531,10.275053,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,275.888590,0.000000,11.460832,0.000000,42.311605,0.000000,27.943212,116.284815,19.728169,48.398532,34.707197,0.000000,0.493697,27.073117,199.605597,0.381296,0.000000,0.000000,20.347692,0.000000,0.000000,29.802211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,11.118790,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.84,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.307991,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,12.692186,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

4,00:45-01:00,0.000000,90.877303,25.184531,10.275053,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,275.888590,0.000000,11.460832,0.000000,42.311605,0.000000,27.943212,116.284815,0.000000,51.057792,34.707197,0.000000,0.493697,27.073117,199.605597,0.000000,0.000000,0.000000,20.347692,0.000000,0.000000,29.802211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,11.118790,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.84,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.307991,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,12.692186,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

5,01:00-01:15,0.000000,90.877303,16.789687,10.275053,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,238.697490,0.000000,11.460832,0.000000,42.311605,0.000000,27.943212,116.284815,0.000000,51.057792,35.826784,0.000000,0.493697,27.073117,223.692545,0.000000,0.000000,0.000000,20.347692,0.000000,0.000000,29.802211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,7.748586,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.84,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.307991,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,12.692186,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

6,01:15-01:30,0.000000,90.877303,8.394844,10.275053,138.209475,0.000000,0.000000,18.943759,0.000000,2.458347,51.937806,33.382780,31.246675,0.000000,0.000000,0.000000,57.558022,1.036106,0.000000,121.902116,0.000000,16.552025,215.824000,0.000000,11.460832,0.000000,42.311605,0.000000,27.943212,116.284815,0.000000,48.398532,35.826784,0.000000,0.493697,13.472620,223.692545,0.000000,0.000000,0.000000,20.347692,0.000000,0.000000,29.802211,0.000000,1.92,1.706584,1.706583,0.40,0.799281,336.237412,1.56,1.872044,5.119751,3.383514,0.00,8.071947,1.867362,1.321053,1.801965,0.78,7.53,1.292867,0.000000,0.00,0.84,0.000000,1.67,1.279076,0.00,0.000000,2.585733,0.000000,2.10,2.307991,0.000000,1.82,0.000000,0.18,4.102703,2.637836,0.000000,0.000000,1.87,94.754203,12.692186,0.00,0.000000,0.000000,0.24,0.000000,22.352757,1.888156,0,0,0,0,0

