Time,Block,NR/2023/17064/A,NR/2023/16187/A,NR/2023/17901/A/1065,NR/2023/17905/A/1081,NR/2023/18029/C,NR/2023/18028/C,WR/2023/18560/A,WR/2023/20254/A/1114,WR/2023/18560/A/II,NR/2023/18031/C,WR/2023/20256/A/1115,Total
,,GMRETL,APPCPL,ITCLH,IEXL,TPDDL,NVVNL,MANIKARAN,APPCPL,MANIKARAN,SJVNL,MANIKARAN,Total

,,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,DELHI,DELHI,NA,DELHI,
,,BYPL,BYPL,ITCWIND,BSHP,CHANJUII,SOLAPUR_SOLAR,BYPL,BRPL,BYPL,RSRPL_BKN,BRPL,
,,RAJASTHAN,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,MAHARASHTRA,GOA,MAHARASHTRA,DELHI,GOA,
,,RUVNL,HP,ITCLH,MES (Delhi),TPDDL,MES (Delhi),AEML,GOA_Beneficiary,AEML,NDMC,GOA_Beneficiary,
,,North-North,North-North,South-West-North,North-North,North-North,West-North,North-West,North-West,North-East-West,North-North,North-West,
1,00:00-00:15,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

2,00:15-00:30,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

3,00:30-00:45,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

4,00:45-01:00,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

5,01:00-01:15,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

6,01:15-01:30,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

7,01:30-01:45,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

8,01:45-02:00,0.000000,76.880000,0.480000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.23

9,02:00-02:15,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

10,02:15-02:30,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

11,02:30-02:45,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

12,02:45-03:00,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

13,03:00-03:15,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

14,03:15-03:30,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

15,03:30-03:45,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

16,03:45-04:00,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

17,04:00-04:15,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

18,04:15-04:30,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

19,04:30-04:45,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

20,04:45-05:00,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

21,05:00-05:15,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

22,05:15-05:30,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

23,05:30-05:45,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

24,05:45-06:00,0.000000,76.880000,0.430000,1.930000,2.940000,0,100.000000,0.000000,0.000000,0,0.000000,182.18

25,06:00-06:15,100.000000,0.000000,0.430000,1.930000,2.850000,0,0.000000,0.000000,100.000000,0,0.000000,205.21

26,06:15-06:30,100.000000,0.000000,0.430000,1.930000,2.850000,0,0.000000,0.000000,100.000000,0,0.000000,205.21

27,06:30-06:45,100.000000,0.000000,0.430000,1.930000,2.850000,0,0.000000,0.000000,100.000000,0,0.000000,205.21

28,06:45-07:00,100.000000,0.000000,0.430000,1.930000,2.850000,0.11,0.000000,0.000000,100.000000,0,0.000000,205.32

29,07:00-07:15,100.000000,0.000000,0.580000,1.930000,2.850000,0.43,0.000000,0.000000,100.000000,0,0.000000,205.79

30,07:15-07:30,100.000000,0.000000,0.580000,1.930000,2.850000,0.76,0.000000,0.000000,100.000000,0,0.000000,206.12

31,07:30-07:45,100.000000,0.000000,0.580000,1.930000,2.850000,1.14,0.000000,0.000000,100.000000,0,0.000000,206.5

32,07:45:08:00,100.000000,0.000000,0.580000,1.930000,2.850000,1.58,0.000000,0.000000,100.000000,0,0.000000,206.94

33,08:00-08:15,50.000000,0.000000,0.960000,1.930000,2.850000,2.01,0.000000,0.000000,100.000000,0,0.000000,157.75

34,08:15-08:30,50.000000,0.000000,0.960000,1.930000,2.850000,2.02,0.000000,0.000000,100.000000,0,0.000000,157.76

35,08:30-08:45,50.000000,0.000000,0.960000,1.930000,2.850000,2.7,0.000000,0.000000,100.000000,0,0.000000,158.44

36,08:45:09:00,50.000000,0.000000,0.960000,1.930000,2.850000,3.09,0.000000,0.000000,100.000000,0,0.000000,158.83

37,09:00:09:15,50.000000,0.000000,0.960000,1.930000,2.850000,3.47,0.000000,0.000000,100.000000,24.1,0.000000,183.31

38,09:15-09:30,50.000000,0.000000,0.960000,1.930000,2.850000,3.66,0.000000,0.000000,100.000000,24.1,0.000000,183.5

39,09:30-09:45,50.000000,0.000000,0.960000,1.930000,2.850000,3.95,0.000000,0.000000,100.000000,24.1,0.000000,183.79

40,09:45-10:00,50.000000,0.000000,0.960000,1.930000,2.850000,4.43,0.000000,0.000000,100.000000,24.1,0.000000,184.27

41,10:00-10:15,50.000000,0.000000,0.960000,1.930000,2.850000,4.72,0.000000,0.000000,100.000000,24.1,0.000000,184.56

42,10:15-10:30,50.000000,0.000000,0.960000,1.930000,2.850000,5.11,0.000000,0.000000,100.000000,24.1,0.000000,184.95

43,10:30-10:45,50.000000,0.000000,0.960000,1.930000,2.850000,5.4,0.000000,0.000000,100.000000,24.1,0.000000,185.24

44,10:45-11:00,50.000000,0.000000,0.960000,1.930000,2.850000,5.59,0.000000,0.000000,100.000000,24.1,0.000000,185.43

45,11:00-11:15,100.000000,0.000000,0.960000,1.930000,2.850000,5.78,0.000000,0.000000,100.000000,24.1,0.000000,235.62

46,11:15-11:30,100.000000,0.000000,0.960000,1.930000,2.850000,6.07,0.000000,0.000000,100.000000,24.1,0.000000,235.91

47,11:30-11:45,100.000000,0.000000,0.960000,1.930000,2.850000,6.36,0.000000,0.000000,100.000000,24.1,0.000000,236.2

48,11:45-12:00,100.000000,0.000000,0.960000,1.930000,2.850000,6.46,0.000000,0.000000,100.000000,24.1,0.000000,236.3

49,12:00-12:15,100.000000,0.000000,0.960000,1.930000,2.850000,6.79,0.000000,0.000000,100.000000,24.1,0.000000,236.63

50,12:15-12:30,100.000000,0.000000,0.960000,1.930000,2.850000,6.27,0.000000,0.000000,100.000000,24.1,0.000000,236.11

51,12:30-12:45,100.000000,0.000000,0.960000,1.930000,2.850000,6.07,0.000000,0.000000,100.000000,24.1,0.000000,235.91

52,12:45-13:00,100.000000,0.000000,0.960000,1.930000,2.850000,5.98,0.000000,0.000000,100.000000,24.1,0.000000,235.82

53,13:00-13:15,100.000000,0.000000,0.960000,1.930000,2.850000,5.88,0.000000,0.000000,100.000000,24.1,0.000000,235.72

54,13:15-13:30,100.000000,0.000000,0.960000,1.930000,2.850000,5.78,0.000000,0.000000,100.000000,24.1,0.000000,235.62

