Block,Time,BRBCL,NAPP,NJPC,RSTPSU7,SINGRAULI,TALA,URI2,ANTA_LF,DADRT2,DULHASTI,JHAJJAR,KUDGI,PARBATI3,SINGRAULI_HYDRO,VALLURNTECL,AURY_RF,KGSU1AND2,KGSU3AND4,KKNPPU2,KOTESHWR,RAMPUR,RAPPB,RIHAND2,SIMHST2,TALST2,TANDA2,DADRI_GF,KHSTPP-II,NLCIIST1,RIHAND1,SASAN,UNCHAHAR3,ANTA_GF,CHAMERA1,CHAMERA3,KHSTPP-I,KKNP,SALAL,SIMHST1,UNCHAHAR1,UNCHAHAR4,AURY_CRF,DADRI_CRF,DADRI_RF,CHAMERA2,KOLDAM,NLCTS2EXP,TANAKPUR,TEHRI,UNCHAHAR2,BSIUL,DHAULIGNGA,KISHANGANGA,NLCEXP,NNTPP,RAPPC,RIHAND3,SEWA2,TelanganaSTPP,ANTA_RF,FSTPP I & II,MAPS,NLCIIST2,NTPL,RSTPSU1TO6,URI,ANTA_CRF,AURY_GF,AURY_LF,DADRI_LF
1,00:00-00:15,20.01,45.1,167.1,0,93.48,9.77,20.68,0,686.07,53.79,413.01,0,17.56,0.45,0,38.97,0,0,0,38.64,3.54,0,121.71,0,0,0.19,0,134.27,0,46.3,410.62,26.45,0,42.15,32.08,44.31,0,83.67,0,20.56,0.02,0,0,79.73,44.22,5.35,0,10.89,53.16,42.41,13.04,40.4,2.88,0,0,60.53,127.6,17.37,0,19.99,14.3,0,0,0,0,34.23,0,0,0,0

2,00:15-00:30,20.01,45.1,167.1,0,93.48,10,20.68,0,686.07,53.79,413.01,0,17.56,0.45,0,38.97,0,0,0,38.64,3.54,0,121.71,0,0,0.19,0,134.27,0,46.3,410.62,26.45,0,42.15,32.08,44.31,0,83.67,0,20.66,0.02,0,0,79.73,44.22,5.35,0,10.89,53.16,42.41,13.04,40.4,2.88,0,0,60.53,127.6,17.37,0,19.99,14.3,0,0,0,0,34.23,0,0,0,0

3,00:30-00:45,20.01,45.1,167.1,0,93.48,9.87,20.68,0,686.07,53.79,413.01,0,17.56,0.45,0,38.97,0,0,0,38.64,3.54,0,121.71,0,0,0.19,0,134.27,0,46.3,410.62,26.45,0,42.15,32.08,44.31,0,83.67,0,20.66,0.02,0,0,79.73,44.22,5.35,0,10.89,53.16,42.41,13.04,40.4,2.88,0,0,60.53,127.6,11.58,0,19.99,14.3,0,0,0,0,27.6,0,0,0,0

4,00:45-01:00,20.01,45.1,167.1,0,93.48,9.86,20.68,0,686.07,53.79,413.01,0,17.56,0.45,0,38.97,0,0,0,38.64,3.54,0,121.71,0,0,0.19,0,134.27,0,46.3,410.62,26.45,0,42.15,32.08,44.31,0,83.67,0,20.66,0.02,0,0,79.73,44.22,5.35,0,10.89,53.16,42.41,13.04,40.4,2.88,0,0,60.53,127.6,11.58,0,19.99,14.3,0,0,0,0,27.6,0,0,0,0

5,01:00-01:15,20.01,45.1,167.1,0,93.48,9.84,20.68,0,686.07,53.79,413.01,0,17.56,0.45,0,60.28,0,0,0,38.64,3.54,0,121.71,0,0,0.19,0,134.27,0,33.43,410.62,26.45,0,42.15,32.08,44.31,0,83.67,0,20.66,0.02,0,0,79.73,44.22,5.35,0,10.89,53.16,42.41,13.04,40.4,2.88,0,0,60.53,127.6,11.58,0,19.99,14.3,0,0,0,0,27.6,0,0,0,0

