Block,Time,DADRI_CRF,ANTA_GF,URI2,AURY_CRF,DADRI_LF,SEWA2,NJPC,DADRI_RF,AURY_GF,FSTPP I & II,KHSTPP-I,AURY_LF,SASAN,RAPPC,TALA,BRBCL,RIHAND2,TANAKPUR,KHSTPP-II,UNCHAHAR3,UNCHAHAR4,CHAMERA1,BSIUL,KOTESHWR,ANTA_RF,DADRI_GF,ANTA_LF,UNCHAHAR2,URI,RIHAND3,DADRT2,DHAULIGNGA,CHAMERA3,UNCHAHAR1,SINGRAULI,TANDA2,NAPP,KOLDAM,SINGRAULI_HYDRO,RAPPB,CHAMERA2,DULHASTI,AURY_RF,RAMPUR,RIHAND1,SALAL,ANTA_CRF,JHAJJAR,TEHRI,KISHANGANGA,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.208318,38.527584,0.000000,372.526200,51.426809,0.000000,17.346007,113.707125,6.165453,122.501342,22.014715,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,38.257574,119.040531,267.602800,0.000000,0.000000,10.501966,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,12.303953,0.000000,562.788999,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.893874,38.527584,0.000000,372.526200,51.426809,0.000000,18.179609,113.707125,6.165453,122.501342,21.941119,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,38.257574,119.040531,253.282289,0.000000,0.000000,10.501966,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,12.303953,0.000000,495.406999,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.893874,44.438953,0.000000,372.526200,51.426809,0.000000,16.123639,113.707125,6.165453,141.753342,21.941119,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,32.944022,119.040531,276.266200,0.000000,0.000000,10.501966,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,12.303953,0.000000,428.024999,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,16.056168,44.663754,0.000000,372.526200,51.426809,0.000000,16.913574,113.707125,6.165453,141.753342,21.941119,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,32.944022,119.040531,282.041800,0.000000,0.000000,10.501966,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,12.303953,0.000000,378.932399,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.893874,44.663754,0.000000,372.526200,51.426809,0.000000,14.336325,113.707125,6.165453,141.753342,21.941119,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,32.944022,119.040531,265.534570,0.000000,0.000000,9.759705,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,12.303953,0.000000,378.932399,0.000000,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.893874,44.663754,0.000000,372.526200,51.426809,0.000000,14.730537,113.707125,0.000000,141.753342,21.941119,0.000000,0.000000,12.553844,8.067551,0.000000,0.000000,0.000000,35.216528,32.944022,119.040531,248.496373,0.000000,0.000000,9.759705,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,26.844989,0.000000,378.932399,0.000000,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,31.336326,0.000000,0.000000,15.212977,0.000000,0.000000,0.000000,15.893874,44.663754,0.000000,372.526200,51.426809,0.000000,13.645220,113.707125,0.000000,141.753342,21.941119,0.000000,0.000000,6.276922,8.067551,0.000000,0.000000,0.000000,35.216528,38.257574,119.040531,230.955424,0.000000,0.000000,9.759705,120.204675,0.000000,41.430689,0.000000,0.644509,0.000000,0.000000,15.862543,0.000000,0.000000,88.559200,64.875390,0.000000,364.777270,0.000000,0.000000,0.000000,0,0,0,0,0

