Block,Time,L_NR_2019_06,L_NR_2021_12,L_NR_2021_15,L_NR_2022_10,L_NR_2020_07,L_NR_2021_13,L_NR_2019_05,L_NR_2022_08,L_NR_2021_14,L_NR_2021_17,L_NR_2020_06,L_NR_2022_09,L_NR_2019_07,L_NR_2020_05,L_NR_2018_61,L_NR_2021_16,LT-05,LT-36,L_NR_2019_11,SH-06,LT_MEJA_Delhi,L_NR_2012_02,L_NR_2012_01,L_NR_2020_02,LT-31,LT-35,L_NR_2012_04,SH-07,L_NR_2012_07,L_NR_2019_19,LT-59
1,00:00-00:15,0,0,0,48.76,20.02,0,0,11.16,0,0,20.03,48.76,0,60.08,8.53,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

2,00:15-00:30,0,0,0,48.4,20.06,0,0,11.23,0,0,20.07,48.4,0,60.2,7.93,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

3,00:30-00:45,0,0,0,41.51,20.17,0,0,11.2,0,0,20.16,41.51,0,60.49,7.45,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

4,00:45-01:00,0,0,0,40.94,20.34,0,0,11.09,0,0,20.34,40.94,0,61.01,6.84,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

5,01:00-01:15,0,0,0,41.26,20.21,0,0,10.96,0,0,20.19,41.26,0,60.58,6.98,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

6,01:15-01:30,0,0,0,41.34,20.15,0,0,10.85,0,0,20.13,41.34,0,60.4,6.83,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

7,01:30-01:45,0,0,0,31.67,20.05,0,0,10.83,0,0,20.05,31.67,0,60.15,6.91,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

8,01:45-02:00,0,0,0,31.6,15.76,0,0,8.59,0,0,15.76,31.6,0,47.28,12.84,0,115.660000,0.000000,5.370000,30.830000,6.540000,130.330000,100.910000,5.460000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

9,02:00-02:15,0,0,0,31.44,15.64,0,0,8.41,0,0,15.66,31.44,0,46.97,11.99,0,115.660000,0.000000,5.370000,30.830000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

10,02:15-02:30,0,0,0,31.2,15.55,0,0,8.3,0,0,15.53,31.2,0,46.6,11.22,0,115.660000,0.000000,5.370000,30.830000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

11,02:30-02:45,0,0,0,30.93,15.57,0,0,8.23,0,0,15.58,30.93,0,46.74,10.53,0,115.660000,0.000000,5.370000,30.830000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

12,02:45-03:00,0,0,0,30.59,15.64,0,0,8.14,0,0,15.65,30.59,0,46.94,9.93,0,115.660000,0.000000,5.370000,30.830000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.350000

13,03:00-03:15,0,0,0,29.63,15.66,0,0,8.27,0,0,15.66,29.63,0,46.99,9.14,0,115.660000,0.000000,5.130000,23.350000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

14,03:15-03:30,0,0,0,28.68,15.76,0,0,8.25,0,0,15.75,28.68,0,47.26,8.81,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

15,03:30-03:45,0,0,0,44.82,15.66,0,0,9.37,0,0,15.66,44.82,0,46.99,8.33,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

16,03:45-04:00,0,0,0,45,15.61,0,0,9.05,0,0,15.61,45,0,46.83,7.77,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.330000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

17,04:00-04:15,0,0,0,45.09,15.57,0,0,8.82,0,0,15.56,45.09,0,46.69,8.13,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.190000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

18,04:15-04:30,0,0,0,35.57,15.38,0,0,8.3,0,0,15.38,35.57,0,46.15,8.76,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.190000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

19,04:30-04:45,0,0,0,35.65,15.33,0,0,8.19,0,0,15.31,35.65,0,45.94,8.55,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.190000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

20,04:45-05:00,0,0,0,36.04,12.21,0,0,5.68,0,0,12.21,36.04,0,36.62,8.29,0,115.660000,0.000000,5.130000,24.520000,6.680000,130.330000,100.910000,5.190000,0.000000,0.000000,270.930000,30.830000,86.890000,0.000000,5.050000

21,05:00-05:15,0,0,0,36.16,12.1,0,0,5.57,0,0,12.11,36.16,0,36.32,10.09,0,115.660000,0.000000,5.130000,25.370000,6.170000,106.250000,100.910000,5.190000,0.000000,0.000000,270.930000,25.370000,67.990000,0.000000,5.050000

22,05:15-05:30,0,0,0,35.93,11.98,0,0,5.49,0,0,12,35.93,0,35.99,10.09,0,115.660000,0.000000,5.130000,25.370000,6.170000,90.730000,100.910000,5.190000,0.000000,0.000000,270.930000,25.370000,67.990000,0.000000,5.050000

23,05:30-05:45,0,0,0,35.87,11.91,0,0,5.42,0,0,11.9,35.87,0,35.71,10.06,0,115.660000,0.000000,5.130000,25.370000,6.170000,90.730000,100.910000,5.190000,0.000000,0.000000,270.930000,25.370000,67.990000,0.730000,5.050000

