Column1,Time,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/9606,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3514,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/6775,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNA/NR/2025/01/01/8738,GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/8058,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,132.2,0,45,41.66,15,0,0,0,0,0,0,41.67,0,0,16.67,15,0,0,0,0,19.01,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,99.8

2,00:15-00:30,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,132.2,0,43.01,40.34,14.33,0,0,0,0,0,0,40.33,0,0,15.33,14.33,0,0,0,0,18.81,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,99.8

3,00:30-00:45,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,112.09,0,40.99,39.34,13.67,0,0,0,0,0,0,39.33,0,0,14.33,13.67,0,0,0,0,18.81,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,79.51

4,00:45-01:00,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,91.97,0,39.49,38.34,13.17,0,0,0,0,0,0,38.33,0,0,13,13.17,0,0,0,0,18.61,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,79.51

5,01:00-01:15,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,91.97,0,37.99,37,12.67,0,0,0,0,0,0,37,0,0,12.33,12.67,0,0,0,0,18.41,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,52.69

6,01:15-01:30,0,1.43,25.87,20.12,28.74,0,47.9,14.37,0,0,0,0,47.9,25.87,0,19.16,0,25.87,91.97,0,36,35,12,0,0,0,0,0,0,35,0,0,12,12,0,0,0,0,18.01,47.9,0,1.03,69.87,0,1.37,59.23,26.82,64.19,52.69

