Block,Time,LT-31,LT-36,LT-59,L_NR_2020_02,L_NR_2019_19,L_NR_2012_01,LT-05,L_NR_2012_02,L_NR_2012_07,LT-35,LT_MEJA_Delhi,SH-07,L_NR_2012_04,SH-06,L_NR_2019_11,L_NR_2020_07,L_NR_2021_14,L_NR_2019_06,L_NR_2020_06,L_NR_2022_10,L_NR_2021_16,L_NR_2021_12,L_NR_2021_15,L_NR_2019_05,L_NR_2021_13,L_NR_2021_17,L_NR_2022_09,L_NR_2022_08,L_NR_2019_07,L_NR_2018_61,L_NR_2020_05
1,00:00-00:15,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,261.530000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.78,0,0,5.78,15.36,0,0,0,0,0,0,15.36,4.8,0,5.49,17.33

2,00:15-00:30,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,261.530000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.82,0,0,5.81,15.2,0,0,0,0,0,0,15.2,4.83,0,5.53,17.43

3,00:30-00:45,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,213.210000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.79,0,0,5.8,21.88,0,0,0,0,0,0,21.88,4.83,0,5.5,17.39

4,00:45-01:00,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,164.880000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.96,0,0,5.97,21.11,0,0,0,0,0,0,21.11,4.8,0,5.52,17.91

5,01:00-01:15,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,138.870000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.81,0,0,5.81,20.1,0,0,0,0,0,0,20.1,4.77,0,5.53,17.42

6,01:15-01:30,0.000000,0.000000,3.730000,4.470000,0.000000,57.990000,70.540000,138.870000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.74,0,0,5.72,19.09,0,0,0,0,0,0,19.09,4.73,0,5.56,17.17

7,01:30-01:45,0.000000,0.000000,3.730000,4.470000,0.000000,53.160000,70.540000,103.420000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.6,0,0,5.61,18.08,0,0,0,0,0,0,18.08,4.68,0,5.53,16.83

8,01:45-02:00,0.000000,0.000000,3.730000,4.470000,0.000000,53.160000,70.540000,103.420000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.850000,5.49,0,0,5.48,17.07,0,0,0,0,0,0,17.07,4.65,0,5.52,16.45

9,02:00-02:15,0.000000,0.000000,3.730000,4.320000,0.000000,57.990000,70.540000,138.870000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.770000,5.23,0,0,5.22,16.06,0,0,0,0,0,0,16.06,4.31,0,5.49,15.66

10,02:15-02:30,0.000000,0.000000,3.730000,4.320000,0.000000,57.990000,70.540000,138.870000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.770000,4.91,0,0,4.91,15.05,0,0,0,0,0,0,15.05,4.12,0,5.53,14.74

11,02:30-02:45,0.000000,0.000000,3.650000,4.320000,0.000000,57.990000,70.540000,133.070000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,4.7,0,0,4.7,14.04,0,0,0,0,0,0,14.04,3.98,0,5.5,14.1

12,02:45-03:00,0.000000,0.000000,3.650000,4.320000,0.000000,57.990000,70.540000,131.130000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,4.33,0,0,4.34,13.03,0,0,0,0,0,0,13.03,3.89,0,5.52,13.02

13,03:00-03:15,0.000000,0.000000,3.650000,4.320000,0.000000,57.990000,70.540000,131.130000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,4.06,0,0,4.07,12.02,0,0,0,0,0,0,12.02,3.79,0,5.53,12.2

14,03:15-03:30,0.000000,0.000000,3.650000,4.320000,0.000000,57.990000,70.540000,101.480000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,3.9,0,0,3.9,11.01,0,0,0,0,0,0,11.01,3.7,0,5.56,11.69

15,03:30-03:45,0.000000,0.000000,3.650000,4.320000,0.000000,53.160000,70.540000,101.480000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,3.57,0,0,3.57,10.07,0,0,0,0,0,0,10.07,3.62,0,5.53,10.7

16,03:45-04:00,0.000000,0.000000,3.650000,4.320000,0.000000,53.160000,70.540000,101.480000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.770000,3.45,0,0,3.44,10.04,0,0,0,0,0,0,10.04,3.51,0,5.52,10.32

17,04:00-04:15,0.000000,0.000000,3.650000,4.230000,0.000000,53.160000,70.540000,149.810000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,3.19,0,0,3.18,10.02,0,0,0,0,0,0,10.02,3.12,0,5.49,9.55

18,04:15-04:30,0.000000,0.000000,3.650000,4.230000,0.000000,53.160000,70.540000,162.070000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,3.03,0,0,3.05,10.19,0,0,0,0,0,0,10.19,2.94,0,5.53,9.14

19,04:30-04:45,0.000000,0.000000,3.650000,4.230000,0.000000,53.160000,70.540000,113.750000,47.560000,0.000000,8.000000,0.000000,231.960000,0.000000,3.610000,2.74,0,0,2.76,10.07,0,0,0,0,0,0,10.07,2.84,0,5.5,8.27

20,04:45-05:00,0.000000,0.000000,3.650000,4.230000,0.000000,53.160000,70.540000,101.480000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,2.45,0,0,2.45,10.04,0,0,0,0,0,0,10.04,2.74,0,5.52,7.36

21,05:00-05:15,0.000000,0.000000,3.580000,4.230000,0.000000,53.160000,70.540000,149.810000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,2.39,0,0,2.39,10.02,0,0,0,0,0,0,10.02,2.69,0,5.53,7.17

22,05:15-05:30,0.000000,0.000000,3.580000,4.230000,0.000000,53.160000,70.540000,162.070000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,2.32,0,0,2.33,10.19,0,0,0,0,0,0,10.19,2.65,0,5.56,6.99

23,05:30-05:45,0.000000,0.000000,3.580000,4.230000,0.000000,53.160000,70.540000,191.720000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,2.1,0,0,2.11,10,0,0,0,0,0,0,10,2.62,0,5.53,6.32

24,05:45-06:00,0.000000,0.000000,3.580000,4.230000,1.600000,53.160000,70.540000,143.400000,47.560000,0.000000,8.000000,0.000000,271.830000,0.000000,3.610000,2.05,0.03,0,2.07,10.22,0,0,0,0,0,0,10.22,2.6,0,5.52,6.2

25,06:00-06:15,0.020000,0.020000,3.580000,4.090000,5.740000,53.160000,70.540000,95.680000,47.560000,0.020000,8.000000,0.000000,231.960000,0.000000,3.610000,2.02,0.03,6.11,2.03,10.13,1.14,0.53,0.15,2.58,0.1,0.57,10.13,2.62,1.34,5.49,6.09

