Column1,Time,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/7791,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/9317,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/2474,GNA/NR/2025/04/01/8510,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8456,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/4138,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,74.51,0,5.12,0,0,28.89,28.89,0,10.59,5.78,14.44,192.6,5.99,0,67.41,4.67,14.44,0,24.08,0,13.48,96.3,86.86,17.51,15.49,272.29,115.16,30,7.23,11.33,10.43,28.25,30,0,100.33,260.59,11.81,40.67,0,0,0,40.67,0,0,24.83,0,0,0,0,0,0,20.33,0,24.83

2,00:15-00:30,75.49,0,5.12,0,0,28.89,28.89,0,10.59,5.78,14.44,192.6,5.99,0,67.41,4.67,14.44,0,24.08,0,13.48,96.3,86.86,17.51,15.49,272.29,115.16,30,7.23,11.33,10.43,28.25,30,0,100.33,260.59,11.61,41.33,0,0,0,41.33,0,0,25.17,0,0,0,0,0,0,20.67,0,25.17

3,00:30-00:45,77.51,0,5.12,0,0,28.89,28.89,0,10.59,5.78,14.44,192.6,5.99,0,67.41,4.67,14.44,0,24.08,0,13.48,96.3,86.86,17.51,15.49,272.29,115.16,30,7.23,11.33,10.43,29.27,30,0,100.33,260.59,11.61,42.33,0,0,0,42.33,0,0,25.83,0,0,0,0,0,0,20.67,0,25.83

4,00:45-01:00,79.01,0,5.12,0,0,28.89,28.89,0,10.59,5.78,14.44,192.6,5.99,0,67.41,4.67,14.44,0,24.08,0,13.48,96.3,86.86,17.51,15.49,272.29,115.16,30,7.23,11.33,10.43,29.27,30,0,100.33,260.59,11.61,43.33,0,0,0,43.33,0,0,26.33,0,0,0,0,0,0,20.33,0,26.33

5,01:00-01:15,56.51,0,5.12,0,0,28.89,28.89,0,10.59,5.78,14.44,192.6,5.99,0,67.41,4.67,14.44,0,24.08,0,13.48,96.3,86.86,17.51,15.49,272.29,115.16,30,7.23,11.25,10.43,29.27,30,0,100.33,260.59,11.61,45,0,0,0,45,0,0,18.83,0,0,0,0,0,0,20,0,18.83

