Block,Time,TALA,BRBCL,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,SEWA2,CHAMERA3,SINGRAULI_HYDRO,AURY_GF,UNCHAHAR1,URI,SALAL,RIHAND3,RAPPC,JHAJJAR,CHAMERA1,ANTA_LF,UNCHAHAR2,TANDA2,SINGRAULI,DADRI_LF,NJPC,NAPP,ANTA_GF,RAMPUR,ANTA_RF,AURY_RF,DULHASTI,UNCHAHAR3,TANAKPUR,DADRI_GF,KISHANGANGA,DADRI_CRF,BSIUL,RIHAND1,URI2,PARBATI3,AURY_CRF,RAPPB,UNCHAHAR4,KOTESHWR,DADRT2,DADRI_RF,KOLDAM,DHAULIGNGA,AURY_LF,TEHRI,ANTA_CRF,RIHAND2,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,19.319988,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,11.755737,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,20.634202,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

2,00:15-00:30,0.000000,19.319988,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,11.755737,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,20.634202,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

3,00:30-00:45,0.000000,18.318073,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,11.755737,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,20.634202,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

4,00:45-01:00,0.000000,17.706536,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,4.702295,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,20.634202,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

5,01:00-01:15,0.000000,16.805769,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,4.702295,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,4.126840,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

6,01:15-01:30,0.000000,15.512405,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,74.941238,57.163439,26.699256,4.702295,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,4.126840,0.000000,0.000000,2.984940,0.000000,664.720005,69.519000,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

7,01:30-01:45,0.000000,11.899254,20.092800,142.162936,42.803460,399.924000,18.161396,33.646990,1.066977,0.000000,21.860580,35.193312,74.084472,126.140377,65.192679,408.077040,40.715045,0.000000,43.379800,5.175914,144.889326,0.000000,173.843731,45.412912,0.000000,6.516168,0.000000,37.470618,57.163439,26.699256,4.702295,0.000000,8.057069,0.000000,6.299093,93.756041,36.602241,4.126840,0.000000,0.000000,2.984940,0.000000,664.720005,54.403982,9.887081,42.055908,0.000000,0.000000,0.000000,120.151080,46.850834,0,0,0,0,0

