Column1,Block,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,NR/01082024/19092033/Chanju/TPDDL/01082024,NER/2025/2918/A/52975,NR/2024/24418/A/52717,ER/2025/15683/A/52965,NR/2025/24992/A/52713,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,WR/2025/26047/A/52992,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/2025/25070/A/53006,NR/2025/24882/A/52714,NR/30092023/26122029/SH-06,NR/2025/25230/C,NR/2025/25231/C,Total
,,NDMC,APPCPL,APPCPL,NDMC,NDMC,NDMC,DELHI,APPCPL,ITCLH,APPCPL,IEXL,NDMC,TPTCL,BAWANA_GAS,APPCPL,MANIKARAN,APPCPL,NVVNL,IEXL,PUNJAB,SJVNL,SJVNL,
,,NA,DELHI_UT,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,TELANGANA_State,DELHI_UT,NA,NA,
,,JPL2,BYPL,BYPL,RKM_POWER,RKM_POWER,SKS_Raigarh,CHANJUII,BYPL,ITCWIND,BYPL,NSLSUGARALAND,TRN_ENERGY,BYPL,BAWANA_GAS,BRPL,BRPL,BYPL,JIPL,NSLKSLWPRTY,BAWANA_GAS,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,KERALA_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,SIKKIM_STATE,DELHI_UT,DELHI_UT,MSEB_State,HARYANA_STATE,GOA_State,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,
,,NDMC,KSEB,KSEB,NDMC,NDMC,NDMC,TPDDL,Manipur_Ben,ITCLH,SIKKIM,MES_Delhi,NDMC,TPC_MSEB,HARYANA,GOA_Beneficiary,AEML,AEML,NDMC,MES_Delhi,PUNJAB,NDMC,NDMC,
,,West-North,North-West-South,North-West-South,West-North,West-North,West-North,North-North,North-East-North East,South-West-North,North-East,South-West-North,West-North,North-West,North-North,North-West,North-West,North-West,East-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

2,00:15-00:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

3,00:30-00:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

4,00:45-01:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

5,01:00-01:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

6,01:15-01:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

7,01:30-01:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

8,01:45-02:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,32,0,0,261.12

9,02:00-02:15,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

10,02:15-02:30,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

11,02:30-02:45,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

12,02:45-03:00,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

13,03:00-03:15,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

14,03:15-03:30,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

15,03:30-03:45,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

16,03:45-04:00,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.02

17,04:00-04:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

18,04:15-04:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

19,04:30-04:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

20,04:45-05:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

21,05:00-05:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

22,05:15-05:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

23,05:30-05:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

24,05:45-06:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.38,7.33,6.72,8.64,0,26.99,0,0,0,17.28,2.88,26.99,0,0,256.10999999999996

25,06:00-06:15,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.43,7.33,9.6,8.64,0,26.12,0,0,0,17.28,4.8,32,0,0,273.74

26,06:15-06:30,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.43,7.33,9.6,8.64,0,19.89,0,0,0,17.28,4.8,32,0,0,267.51

27,06:30-06:45,36.48,75,0,36.48,36.48,4.15,1.47,9.16,0.43,7.33,9.6,8.64,0,19.89,0,0,0,17.28,4.8,32,0,0,299.19

28,06:45-07:00,36.48,75,0,36.48,36.48,4.15,1.47,9.16,0.43,7.33,9.6,8.64,0,10.86,0,0,0,17.28,4.8,32,0,0,290.15999999999997

