Time,Block,ER/2023/8064/C,ER/2023/8065/C,ER/2023/8050/C,NR/2023/13177/D,ER/2023/8072/C,NR/2023/13172/D,NR/2023/13179/D,NR/2023/11953/A,NR/2023/11507/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/12917/F,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/11447/A,NR/2023/13189/C,NR/2023/13192/C,NR/2023/11712/A,NR/2023/13190/C,NR/2023/10956/A,NR/2023/12661/A,NR/2023/10786/A,NR/2023/12169/A,NR/2023/13203/C,NR/2023/10436/A,NR/2023/10947/A,NR/2023/12915/F,NR/2023/12872/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/13201/C,NR/2023/12922/F,NR/2023/13173/D,NR/2023/12919/F,NR/2023/12916/F,NR/2023/12706/A,NR/2023/12956/F,NR/2023/12924/F,NR/2023/11709/A,NR/2023/13197/C,NR/2023/12921/F,NR/2023/12814/F,NR/2023/13183/C,Total
,,HPXL,HPXL,PXIL,TS1PL_BKN,IEXL,NVVNL,TS1PL_BKN,KEIPL,TPTCL,SHPPBPL,TPTCL,SHPPBPL,MANIKARAN,SHPPBPL,GMRETL,KEIPL,TPTCL,GBHHPL,SJVNL,MANIKARAN,TPDDL,NVVNL,NVVNL,STATKRAFT,APPCPL,IEXL,APPCPL,APPCPL,SHPPBPL,ITCLH,KEIPL,NVVNL,TPTCL,SHPPBPL,NVVNL,SHPPBPL,SHPPBPL,HPXL,IEXL,SHPPBPL,MANIKARAN,HPXL,SHPPBPL,MANIKARAN,PXIL,Total

,,DELHI,DELHI,DELHI,NA,DELHI,NA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,TAMIL NADU,HIMACHAL PRADESH,NA,NA,TAMIL NADU,HIMACHAL PRADESH,DELHI,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,JAMMU AND KASHMIR,HIMACHAL PRADESH,TAMIL NADU,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,
,,BYPL,BYPL,BYPL,TS1PL_BKN,BRPL,SOLAPUR_SOLAR,TS1PL_BKN,Meghalaya_Ben,JPL,SHPPBPL,KWHEP,SHPPBPL,HP,SHPPBPL,Meghalaya_Ben,Meghalaya_Ben,HP-GOVT,GBHHPL,IPCL_WB,TANGEDCO,CHANJUII,JPNIGRIE_JNSTPP,SKS Raigarh,TANGEDCO,HP,BYPL,Meghalaya_Ben,HP,SHPPBPL,ITCWIND,TANGEDCO,KAMENG,HP-GOVT,SHPPBPL,KAMENG,SHPPBPL,SHPPBPL,B_S_ISPAT_MH,SAPU1234,SHPPBPL,TANGEDCO,BYPL,SHPPBPL,HP,BYPL,
,,ODISHA,ODISHA,ODISHA,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,UTTAR PRADESH,
,,VL-CPP 1215,VLSEZ,JSPLBarbil,BYPL,VLSEZ,MES (Delhi),BRPL,BYPL,BRPL,BMDRC,BRPL,BAL234,BRPL,MHIL,BYPL,BYPL,BRPL,DIAPL,NDMC,BRPL,TPDDL,BRPL,NDMC,BYPL,BRPL,AMBASTL,BYPL,BYPL,BAL184,ITCLH,BYPL,BRPL,BRPL,JHPL-DL,TPDDL,AISHER,BAL224,NDMC,MES (Delhi),UHL,BRPL,NPCL(UP),MAX-HPTL,BRPL,ASIL_UP,
,,North-East,North-East,North-East,North-North,North-East,West-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,North East-East-North,North-North,North-North,East-North,South-West-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,17.200000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,33.660000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.28

2,00:15-00:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,17.200000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,33.660000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.28
