Time,Block,NR/2023/14986/C,NR/2023/11739/A,NR/2023/13859/A,NR/2023/15003/C,NR/2023/14969/D,NR/2023/13983/F,NR/2023/11697/A,NR/2023/14992/C,NR/2023/13573/A,NR/2023/11458/A,NR/2023/11954/A,NR/2023/14966/D,NR/2023/13858/A,NR/2023/14982/C,NR/2023/14985/C,NR/2023/11654/A,NR/2023/14972/C,NR/2023/11315/A,NR/2023/14971/C,NR/2023/13283/A,NR/2023/14967/D,NR/2023/12646/A,NR/2023/13284/A,NR/2023/14991/C,NR/2023/11470/A,NR/2023/11469/A,NR/2023/14996/C,NR/2023/14989/C,NR/2023/11203/A,NR/2023/14187/F,NR/2023/14980/C,NR/2023/11325/A,NR/2023/14688/F,NR/2023/14984/C,NR/2023/13983/F/II,NR/2023/14974/C,ER/2023/9181/C,NR/2023/14968/D,NR/2023/14688/F/II,NR/2023/11328/A,Total
,,HPXL,NVVNL,MANIKARAN,HPXL,TS1PL_BKN,ITCLH,APPCPL,IEXL,NVVNL,STATKRAFT,KEIPL,NVVNL,MANIKARAN,PXIL,HPXL,TPTCL,GBHHPL,GMRETL,SJVNL,APPCPL,NVVNL,MANIKARAN,APPCPL,IEXL,NVVNL,NVVNL,IEXL,IEXL,KEIPL,GBHHPL,HPXL,APPCPL,GMRETL,HPXL,ITCLH,SJVNL,HPXL,TS1PL_BKN,GMRETL,APPCPL,Total

,,NA,MP,HIMACHAL PRADESH,NA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,TAMIL NADU,MEGHALAYA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,NA,HIMACHAL PRADESH,MEGHALAYA,WEST BENGAL,GOA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,NA,NA,KARNATAKA,MEGHALAYA,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,GOA,NA,ANDHRA PRADESH,UTTAR PRADESH,DELHI,NA,GOA,UTTARAKHAND,
,,MAHAN ENERGEN,JP BINA,HP,HIRIYUR_OSTROKANNADA,TS1PL_BKN,ITCWIND,HP,ADHPL,SKS Raigarh,TANGEDCO,Meghalaya_Ben,KAMENG,HP,Teesta_III,TULSYAN_NEC_LTD,JPL-2,GBHHPL,Meghalaya_Ben,IPCL_WB,GOA_Beneficiary,SOLAPUR_SOLAR,TANGEDCO,HP,SIMHAPURI,KAMENG,JPNIGRIE_JNSTPP,SIMHAPURI,NSLSUGAR,Meghalaya_Ben,GBHHPL,PPGCL,Meghalaya_Ben,GOA_Beneficiary,SINGOLI,ITCWIND,BCMLB001,BYPL,TS1PL_BKN,GOA_Beneficiary,UTTARAKHAND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BRPL,BYPL,BYPL,ITCLH,BYPL,BRPL,NDMC,BYPL,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,DIAPL,BYPL,NDMC,BRPL,MES (Delhi),BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,MES (Delhi),BYPL,DIAPL,BRPL,BYPL,TPDDL,BRPL,ITCLH,NDMC,VLSEZ,BRPL,TPDDL,BYPL,
,,West-North,West-North,North-North,South-East-North,North-North,South-West-North,North-North,North-North,West-North,South-West-North,North East-East-North,North East-East-North,North-North,East-North,South-East-North,West-North,North-North,North East-East-North,East-North,West-North,West-North,South-West-North,North-North,South-West-North,North East-East-North,West-North,South-West-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,West-East-North,North-North,South-East-North,North-North,North-East,North-North,West-North,North-North,
1,00:00-00:15,0.000000,42.470000,181.010000,0,0,0.630000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,96.540000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,23.100000,85.820000,125.500000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.240000,0.000000,0.000000,0,0.000000,48.270000,1581.1

2,00:15-00:30,0.000000,42.470000,181.010000,0,0,0.630000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,96.540000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,23.100000,85.820000,96.540000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.240000,0.000000,0.000000,0,0.000000,48.270000,1552.14
