Block,Time,NR/06012024/31012024/NVVN/OA/16855,NR/01012024/31012024/HP-26,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/12012024/12012024/IEX_240111_06078,NR/01102023/22052037/LT-59,NR/01012024/31012024/HP-27,NR/12012024/12012024/HPX-TAMCTG-110124-05736,NR/12012024/12012024/HPX-TAMCTG-110124-05734,NR/01012024/15012024/IEX_231227_05966,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01012024/31012024/52,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31052040/LT-31,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,NR/01012024/15012024/IEX_231227_05965,NR/12012024/12012024/HPX-TAMCTG-110124-05735,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2020_06,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/31012024/HP-28,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/06022042/L_NR_2012_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/15012024/HPX-TAMDLY-271223-05546,WR/01102023/29112042/L_NR_2019_05,NR/01102023/05012040/L_NR_2020_02,NR/26072023/31072042/L_NR_2023_07,NR/12012024/12012024/HPX-TAMCTG-110124-05737,WR/01102023/01102023/L_NR_2022_09,NR/01102023/19072037/LT-05,L_NR_2019_19,NR/01102023/31102037/L_NR_2019_11,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/12012024/12012024/DD20240112NR22185,NR/01012024/31032024/ ChanjuII
1,00:00-00:15,47.980000,152.060000,0.000000,5.760000,0.000000,0.690000,57.140000,0.000000,0.000000,47.980000,6.720000,25.810000,191.900000,25.810000,0.000000,7.34,27.09,47.980000,109.380000,0.000000,33.38,0,0.000000,8.5,0.000000,0,0,0,95.950000,0.000000,23.030000,8.49,11.510000,24.460000,18.230000,32.620000,25.5,0,8.160000,47.980000,0,1.430000,0,0.000000,27.09,63.980000,0,1.070000,0,0,47.980000,0,0,0,0,0.000000,1.470000

2,00:15-00:30,47.980000,152.060000,0.000000,5.760000,0.000000,0.690000,57.140000,0.000000,0.000000,47.980000,6.720000,25.810000,148.420000,25.810000,0.000000,7.34,25.84,47.980000,109.380000,0.000000,32.61,0,0.000000,8.41,0.000000,0,0,0,95.950000,0.000000,23.030000,8.4,11.510000,24.460000,18.230000,32.620000,25.22,0,8.160000,47.980000,0,1.430000,0,0.000000,25.84,63.980000,0,1.070000,0,0,47.980000,0,0,0,0,0.000000,1.470000

3,00:30-00:45,47.980000,152.060000,0.000000,5.760000,0.000000,0.690000,57.140000,0.000000,0.000000,47.980000,6.720000,25.810000,148.420000,25.810000,0.000000,7.34,25.17,47.980000,109.380000,0.000000,32.01,0,0.000000,8.31,0.000000,0,0,0,95.950000,0.000000,23.030000,8.31,11.510000,24.460000,18.230000,32.620000,24.92,0,8.160000,47.980000,0,1.430000,0,0.000000,25.17,63.980000,0,1.070000,0,0,47.980000,0,0,0,0,0.000000,1.470000

4,00:45-01:00,47.980000,152.060000,0.000000,5.760000,0.000000,0.690000,57.140000,0.000000,0.000000,47.980000,6.720000,25.810000,148.420000,25.810000,0.000000,7.34,24.73,47.980000,109.380000,0.000000,31.61,0,0.000000,8.08,0.000000,0,0,0,95.950000,0.000000,23.030000,8.08,11.510000,24.460000,18.230000,32.620000,24.25,0,8.160000,47.980000,0,1.430000,0,0.000000,24.73,63.980000,0,1.070000,0,0,47.980000,0,0,0,0,0.000000,1.470000

5,01:00-01:15,47.980000,152.060000,0.000000,5.760000,0.000000,0.690000,57.140000,0.000000,0.000000,47.980000,6.720000,25.810000,148.420000,25.810000,0.000000,7.34,24.63,47.980000,109.380000,0.000000,31.21,0,0.000000,8.03,0.000000,0,0,0,95.950000,0.000000,23.030000,8.04,11.510000,24.460000,18.230000,32.620000,24.09,0,8.160000,47.980000,0,1.430000,0,0.000000,24.63,69.950000,0,1.070000,0,0,47.980000,0,0,0,0,0.000000,1.470000

