Column1,Block,NR/2025/32532/A/100004,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/100045,NR/2025/32535/A/100009,NR/2025/33637/A/100025,NR/2025/32534/A/100006,NR/2025/33632/A/100029,NR/2025/32534/A/100005,NR/2025/32532/A/100003,NR/2025/33633/A/100027,NR/2025/32535/A/100008,NR/2025/34392/C,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,NR/2025/34336/C,NR/30092023/26122029/SH-06,NR/2025/34374/C,NR/2025/34335/C,GNA/NR/2025/08/01/6209,NR/2025/34371/C,NR/2025/31043/A/100069,GNA/NR/2025/08/01/1196,NR/2025/34372/C,NR/2025/34361/C,NR/2025/34078/A/99684,NR/2025/34362/C,NR/2025/34363/C,NR/2025/34334/C,NR/2025/31045/A/100070,NR/2025/31049/A/100072,NR/2025/32559/A/99977,NR/2025/31048/A/100071,NR/2025/32610/A/99976,NR/2025/29992/A/99691,NR/2025/32262/A/99611,NR/2025/32375/A/100111,NR/2025/32397/A/99588,NR/2025/29440/A/99573,NR/2025/32455/A/100140,NR/2025/34247/A/100064,NR/2025/32556/A/99978,NR/2025/32004/A/99981,NR/2025/31421/A/100114,NR/2025/34263/A/100073,NR/2025/34359/C,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,Total
,,ABLWM1_AEROCITY,SECI_Trader,BRPL,OIDLWM3_AEROCITY,GMRETL,OIDLWM2_AEROCITY,GMRETL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,OIDLWM3_AEROCITY,MES_Delhi,NDMC,BAWANA_GAS,MANIKARAN,NVVNL,DELHI,PowerPulse,MANIKARAN,MANIKARAN,APPCPL,PowerPulse,PUNJAB,NVVNL,PowerPulse,MANIKARAN,NVVNL,PowerPulse,APPCPL,NVVNL,APPCPL,DIAPL,APPCPL,APPCPL,PowerPulse,PowerPulse,PowerPulse,APPCPL,PowerPulse,APPCPL,BYPL,TPTCL,NVVNL,IEXL,ITCLH,MANIKARAN,PowerPulse,APPCPL,APPCPL,NVVNL,PTC,APPCPL,NDMC,NDMC,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,MP_State,NA,HIMACHAL_STATE,MSEB_State,NA,MSEB_State,GOA_State,NA,DELHI_UT,NA,NA,NA,NA,NA,GOA_State,MP_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,MSEB_State,MP_State,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,NA,GoHP_NJPC_STATE,MSEB_State,NA,NA,
,,TCSPL_BKN2,APSEPL_FTG,TS1PL_BKN,TCSPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,SKS_Raigarh,BAWANA_GAS,BLAPOWER_MP,JHABUA_IPP,CHANJUII,Vidarbha_Industry_MH,DBPL,AEML,GOA_Beneficiary,APL_Raigarh_TPP,BAWANA_GAS,Kameng,MAHAN_ENERGEN,MBMP,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,GOA_Beneficiary,JP_BINA,JPL2,GBHHPL,RKM_POWER,RKM_POWER,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,RKM_POWER,APL_Raigarh_TPP,RKM_POWER,KSEB,TPC_MSEB,JP_BINA,A_A_Energy_MH_Bio,ITCWIND,MBMP,APL_Raipur_TPP,JPL2,AEML,JPNIGRIE_JNSTPP,GoHP_NJPC,AEML,TRN_ENERGY,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,ABLWM1_AEROCITY,TPDDL,BRPL,OIDLWM3_AEROCITY,BLKMH,OIDLWM2_AEROCITY,MAX_HPTL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,DTCP,OIDLWM3_AEROCITY,MES_Delhi,NDMC,HARYANA,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,PUNJAB,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,DIAPL,NDMC,NDMC,BRPL,TPDDL,TPDDL,NDMC,TPDDL,NDMC,BYPL,BYPL,TPDDL,MES_Delhi,ITCLH,BRPL,BRPL,NDMC,BYPL,TPDDL,BRPL,BYPL,NDMC,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,East-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.87,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.9399999999998

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.87,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.9399999999998

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.87,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.9399999999998

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.87,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.9399999999998

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.6999999999998

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.6999999999998

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.6999999999998

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,33.67,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,48.1,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.6999999999998

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,0,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.7099999999998

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,0,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.7099999999998

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,0,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.7099999999998

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.63,0,163.56,26.24,105.83,48.1,81.78,0,8.66,17.32,1337.7099999999998

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1308.3799999999999

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1308.3799999999999

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1308.3799999999999

