Time,Block,NR/2024/20492/C,NR/2024/20142/A/20482,NR/2024/20497/C,NR/2024/19637/A/20462,NR/2024/20496/C,NR/2024/19683/A/20390,NR/2024/20212/A/20485,NR/2024/20037/A/20434,NR/2024/20141/A/20481,NR/2024/20350/A/20245,NR/2024/19588/A/20682,NR/2024/19355/A/20848,NR/2024/20090/A/20359,NR/2024/20041/A/20835,NR/2024/19791/A/20756,NR/2024/20144/A/20483,NR/2024/20052/A/20246,NR/2024/20476/C,NR/2024/20050/A/20837,NR/2024/19757/A/20711,NR/2024/19779/A/20621,NR/2024/19760/A/20435,NR/2024/19432/A/20714,NR/2024/20048/A/20840,NR/2024/19918/A/20755,NR/2024/20130/A/20453,NR/2024/19919/A/20757,NR/2024/20475/C,NR/2024/20031/A/20710,NR/2024/19475/A/20685,NR/2024/20034/A/20709,NR/2024/20033/A/20712,NR/2024/19966/A/20471,NR/2024/20109/A/20847,NR/2024/20211/A/20484,NR/2024/20493/C,NR/2024/20478/C,Total
,,HPXL,BAL224,NVVNL,INSTINCT,PXIL,IEXL,UHL,TPTCL,BAL184,DIAPL,GMRETL,TPDDL,IEXL,PTC,APPCPL,BAL234,DIAPL,NVVNL,PTC,NVVNL,ITCLH,TPTCL,NVVNL,PTC,APPCPL,DTCP,APPCPL,NVVNL,NVVNL,AEL,NVVNL,NVVNL,BRPL,TPDDL,JHPL-DL,IEXL,NVVNL,Total

,,KERALA,HIMACHAL PRADESH,MP,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,NA,MAHARASHTRA,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,ANDHRA PRADESH,NA,NA,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,KERALA,NA,NA,NA,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,
,,KSEB,SHPPBPL,JP BINA,JPL-2,HP-GOVT,NHCPL_HP,SHPPBPL,JPL_DHULE,SHPPBPL,GBHHPL,RUVNL,JPL-2,A_A_Energy_MH_Bio,JPL_DHULE,TANGEDCO,SHPPBPL,GBHHPL,KAMENG,HP,TANGEDCO,ITCWIND,SIMHAPURI,SEIL,HP,Nagaland_Ben,SHPPBPL,KSEB,SORANG_HEP,RKM_POWER,APL_Raipur TPP,RKM_POWER,SKS Raigarh,IEPLBELA2022,JHAJJAR,SHPPBPL,JSWEL MSEB,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BAL224,TPDDL,BRPL,BRPL,MES (Delhi),UHL,TPDDL,BAL184,DIAPL,BYPL,TPDDL,MES (Delhi),BRPL,BYPL,BAL234,DIAPL,TPDDL,BRPL,BRPL,ITCLH,BRPL,TPDDL,BYPL,BYPL,DTCP,BYPL,TPDDL,NDMC,BRPL,NDMC,NDMC,BRPL,TPDDL,JHPL-DL,BRPL,MES (Delhi),
,,South-East-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North East-East-North,North-North,South-West-North,South-West-North,South-West-North,South-West-North,North-North,North East-East-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,192.980000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1951.93

2,00:15-00:30,192.980000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1951.93
