Block,Time,DULHASTI,MAPS,RIHAND2,SINGRAULI,ANTA_CRF,AURY_RF,FSTPP I & II,JHAJJAR,KOTESHWR,RAPPC,TANDA2,BRBCL,CHAMERA3,DHAULIGNGA,KOLDAM,NLCEXP,RAPPB,VALLURNTECL,DADRI_GF,DADRI_LF,CHAMERA1,KHSTPP-II,KKNPPU2,NAPP,NJPC,NLCTS2EXP,RSTPSU7,SIMHST2,UNCHAHAR2,DADRI_CRF,CHAMERA2,KGSU1AND2,KKNP,NNTPP,NTPL,SIMHST1,UNCHAHAR3,URI,ANTA_LF,ANTA_RF,BSIUL,DADRT2,KISHANGANGA,NLCIIST2,PARBATI3,SALAL,SEWA2,URI2,AURY_GF,AURY_LF,DADRI_RF,RIHAND1,RSTPSU1TO6,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR4,AURY_CRF,KGSU3AND4,KHSTPP-I,KUDGI,NLCIIST1,RAMPUR,RIHAND3,SASAN,TALA,TALST2,TelanganaSTPP,UNCHAHAR1,ANTA_GF
1,00:00-00:15,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,42.15,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,44.71,0,48.13,6.52,686.07,1.44,0,15.46,76.69,17.37,36.35,0,0,97.42,46.02,0,0,3.85,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

2,00:15-00:30,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,42.15,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,44.71,0,48.13,6.52,686.07,1.44,0,15.46,76.69,17.37,36.35,0,0,97.42,46.02,0,0,3.85,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

3,00:30-00:45,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,44.71,0,48.13,6.52,686.07,1.44,0,15.46,76.69,17.37,36.35,0,0,97.42,46.02,0,0,3.85,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

4,00:45-01:00,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,50.23,0,48.13,6.52,686.07,1.44,0,15.46,76.69,17.37,36.35,0,0,97.42,46.02,0,0,3.85,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

5,01:00-01:15,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,50.23,0,48.13,6.52,686.07,1.44,0,3.51,76.69,11.58,36.35,0,0,97.42,46.03,0,0,10.89,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

6,01:15-01:30,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,50.23,0,48.13,6.52,686.07,1.44,0,3.51,76.69,11.58,36.35,0,0,97.42,46.03,0,0,11.53,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.61,0,0,20.96,0

7,01:30-01:45,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,127.78,0,0,0,43.71,0,26.85,0,0,0,0,0,0,50.23,0,48.13,6.52,686.07,1.44,0,3.51,76.69,11.58,36.35,0,0,97.42,46.03,0,0,13,76.9,1.62,0,0,44.92,0,0,2.74,124.4,344.25,12.76,0,0,20.96,0

8,01:45-02:00,53.79,0,118.81,136.52,0,78.06,18.21,342.53,28.98,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,118.98,0,0,0,43.71,0,26.85,0,0,0,0,0,0,44.71,0,48.13,6.52,686.07,1.44,0,3.51,76.69,11.58,36.35,0,0,97.42,46.03,0,0,13,76.9,1.62,0,0,44.92,0,0,2.55,124.4,344.25,12.76,0,0,20.96,0

9,02:00-02:15,53.79,0,118.81,136.52,0,78.06,18.21,342.53,38.64,60.23,1.42,20.01,21.37,40.4,4.01,0,0,0,0,0,28.1,98.87,0,45.46,118.98,0,0,0,43.71,0,26.85,0,0,0,0,0,0,44.71,0,48.13,6.52,686.07,1.44,0,3.51,76.69,11.58,36.35,0,0,97.42,46.03,0,0,13,76.9,1.62,0,0,44.92,0,0,2.55,124.4,344.25,12.76,0,0,20.96,0

