Column1,Time,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,L_NR_2019_19,GNA/NR/2025/02/01/2594,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/16/1676,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2143,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2025/01/01/9606,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/16/1380,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0,8.2,0,23.07,0,8.65,23.78,26.99,1.2,64.04,75,1.19,26.99,23.07,70.12,0.92,0,27.25,0,0,164.37,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,25,25.33,74,76.01,0,0,0,0,74,0,0,0,25.33,0

2,00:15-00:30,0,7.2,0,23.07,0,8.65,23.78,26.99,1.2,64.04,75,1.19,26.99,23.07,70.12,0.92,0,27.25,0,0,164.37,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,24.33,25,74,75,0,0,0,0,74,0,0,0,25,0

3,00:30-00:45,0,7,0,23.07,0,8.65,23.78,26.99,1.2,64.04,75,1.19,26.99,23.07,70.12,0.92,0,27.76,0,0,164.37,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,24.33,24.67,73,73.99,0,0,0,0,73,0,0,0,24.67,0

4,00:45-01:00,0,6.6,0,23.07,0,8.65,23.78,26.99,1.2,64.04,75,1.19,26.99,23.07,70.12,0.92,0,27.76,0,0,164.37,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,24,24.33,72,73.01,0,0,0,0,72,0,0,0,24.33,0

5,01:00-01:15,0,6.2,0,23.07,0,8.65,23.78,26.99,1.2,59.43,75,1.19,26.99,23.07,70.12,0,0,28.77,0,0,135.53,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,24,20,61,60,0,0,0,0,61,0,0,0,20,0

6,01:15-01:30,0,6,0,23.07,0,8.65,23.78,26.99,1.2,59.43,75,1.19,26.99,23.07,70.12,0,0,28.77,0,0,135.53,0.62,133.32,0,0,0,8.65,23.07,7.93,0,0,0,0,23.33,19.67,60,58.99,0,0,0,0,60,0,0,0,19.67,0

