Block,Time,TEHRI,RIHAND2,UNCHAHAR4,RAPPC,AURY_LF,NAPP,DADRI_RF,UNCHAHAR2,NJPC,KOTESHWR,KOLDAM,ANTA_RF,RIHAND3,AURY_RF,SEWA2,DADRI_CRF,TANAKPUR,SINGRAULI,AURY_CRF,PARBATI3,ANTA_CRF,SALAL,URI2,BSIUL,CHAMERA1,URI,RAPPB,DADRI_LF,DHAULIGNGA,RIHAND1,JHAJJAR,DADRT2,KHSTPP-I,AURY_GF,UNCHAHAR1,CHAMERA2,TALA,KISHANGANGA,SINGRAULI_HYDRO,DULHASTI,ANTA_GF,TANDA2,UNCHAHAR3,FSTPP I & II,RAMPUR,CHAMERA3,SASAN,KHSTPP-II,BRBCL,ANTA_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,38.766063,28.617785,18.916841,0.000000,39.500016,0.000000,0.000000,8.814108,88.964000,631.112550,653.679656,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,19.209460,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,18.916841,0.000000,39.500016,0.000000,0.000000,8.814108,88.964000,631.112550,656.776730,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,18.274103,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,631.112550,656.776730,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,18.013716,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,631.112550,656.776730,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,16.854176,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,631.112550,599.589234,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,16.671642,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,631.112550,585.983240,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,17.459056,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,76.756805,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,631.112550,586.203620,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,17.001311,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,57.111020,0.000000,50.680180,0.000000,40.277484,0.000000,40.991227,0.000000,8.581158,0.000000,0.000000,119.584659,0.000000,15.282514,0.000000,0.371618,134.712770,0.000000,0.000000,0.000000,51.688084,28.617785,12.611227,0.000000,33.094608,0.000000,0.000000,8.814108,88.964000,604.297640,586.203620,33.747410,0.000000,10.549970,0.000000,0.000000,0.000000,0.647455,15.935050,0.000000,0.000000,25.519227,20.045910,0.000000,0.000000,404.950590,142.401290,13.759480,0.000000,0.000000,0,0,0,0,0

