Column1,Time,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/19072037/LT-05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/7786,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7663,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,9.26,22.13,8.99,6.05,84.28,10.31,27.25,4.19,70.53,0,30,0,30,0,90,25,0,0,0,0,0,0,0,0,0,0,0,40.22,0,22.13,-0,48.37,19.35,244.68,10.46,48.37,0,56.71,11.92,11.93,15.33,53.21,0,0,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16

2,00:15-00:30,9.26,22.13,8.99,6.05,84.28,10.31,27.75,4.19,70.53,0,30.33,0,30.33,0,91.01,25.33,0,0,0,0,0,0,0,0,0,0,0,40.22,0,22.13,-0,48.37,19.35,205.99,10.46,48.37,0,56.71,11.92,11.93,15.33,53.21,0,0,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16

3,00:30-00:45,9.26,22.13,8.99,8.08,84.28,10.31,27.75,4.19,70.53,0,30.67,0,30.67,0,91.99,25.67,0,0,0,0,0,0,0,0,0,0,0,40.42,0,22.13,-0,48.37,19.35,176.28,10.46,48.37,0,56.71,11.92,11.93,15.33,53.21,0,0,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16

4,00:45-01:00,9.26,22.13,8.99,6.05,84.28,10.31,27.75,4.19,70.53,0,30.83,0,30.83,0,92.51,26,0,0,0,0,0,0,0,0,0,0,0,40.42,0,22.13,-0,48.37,19.35,161.08,10.46,48.37,0,56.71,11.92,11.93,15.33,53.21,0,0,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16

5,01:00-01:15,9.03,22.13,8.99,6.05,84.28,9.85,25.24,4.19,70.53,0,25,0,25,0,75,15,0,0,0,0,0,0,0,0,0,0,0,36.62,0,22.13,-0,48.37,19.35,199.78,10.46,48.37,0,56.71,11.92,11.93,15.33,53.21,0,0,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16

