Block,Time,KOTESHWR,PARBATI3,SIMHST2,UNCHAHAR3,DADRI_GF,CHAMERA1,RAMPUR,RIHAND3,SEWA2,SIMHST1,TEHRI,DADRI_CRF,KGSU1AND2,KKNPPU2,NAPP,RSTPSU1TO6,SALAL,SASAN,TALA,TANDA2,KGSU3AND4,KUDGI,NJPC,RAPPB,TALST2,TelanganaSTPP,UNCHAHAR4,ANTA_LF,ANTA_RF,AURY_CRF,AURY_LF,DADRI_RF,DHAULIGNGA,DULHASTI,FSTPP I & II,KOLDAM,NLCEXP,NLCIIST2,NNTPP,SINGRAULI_HYDRO,URI2,ANTA_GF,AURY_GF,AURY_RF,BRBCL,CHAMERA3,DADRT2,KKNP,RIHAND1,RIHAND2,UNCHAHAR1,BSIUL,KHSTPP-I,KHSTPP-II,NLCTS2EXP,RAPPC,TANAKPUR,URI,VALLURNTECL,ANTA_CRF,DADRI_LF,CHAMERA2,JHAJJAR,KISHANGANGA,MAPS,NLCIIST1,NTPL,RSTPSU7,SINGRAULI,UNCHAHAR2
1,00:00-00:15,38.64,30.92,0,26.45,0,42.15,3.54,127.6,17.37,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0,36.05,0,0,60.28,20.000012,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

2,00:15-00:30,38.64,30.92,0,26.45,0,42.15,3.54,127.6,17.37,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0,36.05,0,0,60.28,20.00002,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

3,00:30-00:45,38.64,30.92,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,36.05,0,0,60.28,20.000012,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

4,00:45-01:00,38.64,30.92,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,36.05,0,0,60.28,20.00002,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

5,01:00-01:15,38.64,21.08,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.00002,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

6,01:15-01:30,38.64,21.08,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,413.44,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.00002,32.08,682.819,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,10.89,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,116.85,42.41

7,01:30-01:45,38.64,21.08,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,393.75,8.37,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.00002,32.08,682.78,0,84.36,121.71,20.56,13.04,44.31,148.3,0,60.53,9.48,38.64,0,0,0,44.22,406.41,2.88,0,0,0,0,105.16,42.41

8,01:45-02:00,38.64,21.08,0,26.45,0,42.15,3.54,127.6,11.58,0,68.01,0,0,0,45.34,0,65.07,373.5,8.68,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.00002,32.08,686.07,0,84.36,121.71,20.675,13.04,44.31,148.3,0,60.53,9.48,38.64,0,0,0,44.22,413.81,2.88,0,0,0,0,105.16,42.41

9,02:00-02:15,38.64,7.73,0,27.05,0,42.15,3.54,127.6,5.79,0,68.01,0,0,0,45.34,0,65.07,368.44,9.11,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.000013,32.08,686.07,0,84.36,121.71,20.96,13.04,44.31,148.3,0,60.53,9.48,38.64,0,0,0,44.22,413.81,2.88,0,0,0,0,105.16,42.41

10,02:15-02:30,38.64,7.73,0,27.05,0,42.15,3.54,127.6,5.79,0,68.01,0,0,0,45.34,0,65.07,368.44,9.11,2.89,0,0,167.1,0,0,0,0.02,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.000013,32.08,686.07,0,84.36,121.71,20.96,13.04,44.31,148.3,0,60.53,9.48,38.64,0,0,0,44.22,413.81,2.88,0,0,0,0,105.16,42.41

11,02:30-02:45,38.64,21.08,0,27.05,0,42.15,3.54,127.6,5.79,0,68.01,0,0,0,45.34,0,65.07,368.44,9.11,2.89,0,0,167.1,0,0,0,0.01,0,31.81,0,0,79.73,40.4,53.79,14.3,5.35,0,0,0,0.5,24.38,0,0,60.89,20.00002,32.08,686.07,0,84.36,121.71,20.96,13.04,44.31,148.3,0,60.53,9.48,38.64,0,0,0,44.22,413.81,2.88,0,0,0,0,105.16,42.41

