Block,Time,DHAULIGNGA,KKNPPU2,NLCEXP,NTPL,RAPPC,RIHAND2,TANDA2,UNCHAHAR4,VALLURNTECL,DADRI_RF,BRBCL,KUDGI,NNTPP,RSTPSU1TO6,TelanganaSTPP,AURY_LF,KOLDAM,RIHAND1,RSTPSU7,UNCHAHAR1,AURY_RF,DADRT2,DULHASTI,JHAJJAR,KGSU3AND4,KHSTPP-I,KISHANGANGA,KOTESHWR,NAPP,NLCIIST1,RIHAND3,TALA,ANTA_RF,AURY_CRF,DADRI_LF,FSTPP I & II,PARBATI3,SALAL,SIMHST1,SIMHST2,TANAKPUR,BSIUL,KGSU1AND2,KKNP,NLCTS2EXP,TEHRI,UNCHAHAR2,ANTA_LF,AURY_GF,DADRI_CRF,CHAMERA2,CHAMERA3,MAPS,NJPC,RAMPUR,RAPPB,SASAN,SEWA2,URI2,ANTA_GF,CHAMERA1,KHSTPP-II,NLCIIST2,SINGRAULI,SINGRAULI_HYDRO,TALST2,UNCHAHAR3,URI,ANTA_CRF,DADRI_GF
1,00:00-00:15,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,32.96,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,2.33,0,0,11.91,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

2,00:15-00:30,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,32.96,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,2.33,0,0,11.91,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

3,00:30-00:45,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,16.48,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,13.95,0,0,7.05,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

4,00:45-01:00,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,16.48,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,79.38,0,0,7.05,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

5,01:00-01:15,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,16.48,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,79.38,0,0,7.05,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

6,01:15-01:30,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,16.48,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,79.38,0,0,7.05,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,2.21,0,0

7,01:30-01:45,9.11,0,0,0,51.9,118.76,0,0,0,66.85,20.01,0,0,0,0,0,0,92,0,20.56,70.16,341.57,16.48,654.31,0,44.31,0,8.87,41.12,0,124.32,0,42.74,0,21.92,20.8,0,79.38,0,0,7.05,0,0,0,0,14.93,42.4,0,0,0,2.4,0,0,0,0,0,348.98,0,4.57,0,0,148.3,0,133.5,0,0,26.39,1.66,0,0

