Column1,Time,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/20/4698,NR/30092023/31122025/SH-07,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/26072023/25122043/L_NR_2023_10,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/01/20/5216,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/6775,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/8625,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/8058,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/3514,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3945
1,00:00-00:15,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,71.09,0,0,0,0,0,0,12.67,16.67,20.01,0,53.33,16.67,0,0,49.99,53.34,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0.61,48.04,1.29,1.34,58.39,23.06

2,00:15-00:30,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,66.29,0,0,0,0,0,0,12.33,16.33,19.41,0,53,16.33,0,0,49.01,53,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0.61,48.04,1.29,1.34,70.06,23.06

3,00:30-00:45,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,62.68,0,0,0,0,0,0,12,16.33,18.61,0,68.33,16.33,0,0,49.01,68.33,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0,48.04,1.29,1.34,70.06,23.06

4,00:45-01:00,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,62.68,0,0,0,0,0,0,11.67,16,17.81,0,68.67,16,0,0,48,68.67,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0,48.04,1.29,1.34,70.06,23.06

5,01:00-01:15,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,62.68,0,0,0,0,0,0,11.67,15.67,22.41,0,69,15.67,0,0,46.99,69,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0.61,48.04,1.29,1.34,70.06,23.06

6,01:15-01:30,28.82,20.17,0,0,0,0,23.06,59.4,0,0,0,0,62.68,0,0,0,0,0,0,11,15.17,21.61,0,68.33,15.17,0,0,45.49,68.33,0,0,0,0,0,8.65,48.04,48.04,0,23.06,0,0,0,149.4,0,26.9,0,19.21,64.85,0.95,0.61,48.04,1.29,1.34,70.06,23.06

