Block,Time Block,CHAMERA2,CHAMERA1,DADRT2,DHAULIGNGA,BSIUL,CHAMERA3,BRBCL,SINGRAULI,SINGRAULI_HYDRO,NTPL,RSTPSU7,PARBATI3,RIHAND3,RAPPB,RIHAND2,RIHAND1,NNTPP,RAMPUR,NLCIIST2,RSTPSU1TO6,NLCTS2EXP,RAPPC,SALAL,SEWA2,SIMHST2,SASAN,SIMHST1,NLCIIST1,NAPP,KOTESHWR,KKNP,NLCEXP,KKNPPU2,KUDGI,KOLDAM,NJPC,KISHANGANGA,MAPS,JHAJJAR,FSTPP I & II,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,KHSTPP-I,URI2,UNCHAHAR3,TANAKPUR,TALA,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TALST2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,338.9,0,0,0,16.07,120.41,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,2.23,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,121.43,18.65,4.12,16.01,0,0,0,22.56,7.39,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,358.61,0,0,0,16.88,120.41,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,2.23,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.64,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,358.61,0,0,0,15.97,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,358.61,0,0,0,14.7,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,358.61,0,0,0,14.95,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,358.61,0,0,0,14.1,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,358.61,0,0,0,12.99,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,358.61,0,0,0,13.48,109.04,0,0,0,0,118.84,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.11,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,358.61,0,0,0,11.11,109.04,0,0,0,0,58,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.64,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,358.61,0,0,0,11.16,109.04,0,0,0,0,58,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,0,0,0,22.28,2.64,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,358.61,0,0,0,10.51,109.04,0,0,0,0,58,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,5.51,0,0,22.28,2.64,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,358.61,0,0,0,10.51,109.04,0,0,0,0,58,0,113.51,87.94,0,0,0,0,0,51.55,1.34,0,0,333.59,0,0,42.37,8.49,0,0,0,0,0,0,0,0,344,8.67,0,0,0,77.97,18.3,4.12,13.87,5.51,0,0,22.28,2.64,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

