Column1,Block,GNA/NR/2025/06/01/9719,NR/2025/28342/C,NR/2025/28405/C,NR/2025/28343/C,NR/2025/28447/C,NR/2025/28406/C,NR/2025/28331/C,NR/2025/26564/A/79232,NR/2025/27162/A/79330,NR/2025/28404/C,NR/2025/28283/C,NR/2025/26563/A/79231,NR/2025/27281/A/79406,NR/2025/28284/C,NR/2025/27157/A/78762,NR/2025/27725/A/79317,NR/2025/28341/C,NR/2025/26569/A/79233,NR/2025/28391/C,NR/2025/28547/C,NR/2025/28461/C,NR/2025/28387/C,NR/2025/27782/A/79313,NR/2025/28140/A/79222,NR/2025/28392/C,NR/2025/28395/C,NR/2025/26445/A/79279,NR/2025/28141/A/79224,NR/2025/28297/C,NR/2025/28138/A/79218,NR/2025/28402/C,NR/2025/28403/C,NR/2025/26975/A/79341,NR/2025/26952/A/78790,NR/2025/26570/A/79234,NR/2025/27167/A/79299,NR/2025/28377/C,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,GNARE/NR/2024/12/20/3668,NR/2025/26861/A/79246,NR/2025/27168/A/79301,NR/2025/26561/A/79230,NR/2025/26777/A/78895,NR/2025/27088/A/79275,NR/2025/26889/A/79283,NR/2025/26860/A/79199,NR/2025/27462/A/78800,NR/2025/27727/A/79314,NR/2025/28139/A/79220,NR/2025/27728/A/79315,NR/2025/26785/A/78804,NR/2025/27242/A/78978,NR/2025/27724/A/78907,NR/2025/27499/A/79282,NR/2025/26085/A/78788,NR/2025/27726/A/79316,NR/2025/27356/A/79226,NR/2025/27622/A/78799,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/10/8283,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7786,NR/30092023/26122029/SH-06,GNA/NR/2025/06/10/4813,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,111.12,48.32,11.91,48.32,48.32,32,0,24.16,14.33,2917.22

4,00:45-01:00,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,112.09,48.32,11.91,48.32,48.32,32,0,24.16,14.33,2918.19

5,01:00-01:15,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,113.06,48.32,11.91,48.32,48.32,32,0,24.16,14.06,2918.89

6,01:15-01:30,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,105.33,48.32,11.91,48.32,48.32,32,0,24.16,14.06,2911.16

7,01:30-01:45,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,108.23,48.32,11.91,48.32,48.32,32,0,24.16,14.06,2914.06

8,01:45-02:00,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,193.26,24.16,144.94,193.26,192.64,5.8,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,8.7,0.68,26.35,0,0,32,62.81,0,110.16,48.32,11.91,48.32,48.32,32,0,24.16,14.06,2915.99

9,02:00-02:15,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.63,26.35,0,0,32,62.81,193.26,110.16,48.32,11.91,48.32,48.32,9.39,0,24.16,13.78,2878.5499999999997

10,02:15-02:30,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.63,26.35,0,0,32,62.81,193.26,111.12,48.32,11.91,48.32,48.32,9.39,0,24.16,13.78,2879.5099999999998

11,02:30-02:45,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.63,26.35,0,0,19.7,62.81,193.26,112.09,48.32,11.91,48.32,48.32,19.7,0,24.16,13.78,2878.49

12,02:45-03:00,24.16,0,0,0,170.07,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,114.51,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,27.06,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.63,26.35,0,0,19.7,62.81,193.26,114.02,48.32,11.91,48.32,48.32,19.7,0,24.16,13.78,2880.4199999999996

13,03:00-03:15,24.16,0,0,0,0,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,19.7,62.81,193.26,0,48.32,11.91,48.32,48.32,19.7,0,24.16,13.5,2460.1800000000007

14,03:15-03:30,24.16,0,0,0,0,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,22.7,62.81,193.26,0,48.32,11.91,48.32,48.32,22.7,0,24.16,13.5,2466.1800000000007

15,03:30-03:45,24.16,0,0,0,0,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.5,2473.78

16,03:45-04:00,24.16,0,0,0,0,0,0,0,55.99,0,0,144.94,24.88,0,217.32,8.78,0,144.94,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.5,2473.78

17,04:00-04:15,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1966.3099999999995

18,04:15-04:30,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1966.3099999999995

19,04:30-04:45,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1966.3099999999995

20,04:45-05:00,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,33.82,102.36,0,96.63,135.28,0,38.65,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,28.99,26.35,0,48.32,10.63,0,0.53,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1966.3099999999995

21,05:00-05:15,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,10.63,0,0.63,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1729.67

22,05:15-05:30,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,10.63,0,0.63,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1729.67

23,05:30-05:45,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,10.63,0,0.63,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1729.67

24,05:45-06:00,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.63,26.35,0,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.23,1728.7

25,06:00-06:15,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0.3,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.68,26.35,1,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.04,1729.86

26,06:15-06:30,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,0.3,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.68,26.35,6,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.04,1734.86

27,06:30-06:45,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,6.35,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.68,26.35,11,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.04,1745.9099999999999

28,06:45-07:00,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,9.36,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.68,26.35,18,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,13.04,1755.9199999999998

29,07:00-07:15,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,13.25,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.87,26.35,28,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.95,1769.9099999999999

30,07:15-07:30,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,18.18,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.87,26.35,42,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.95,1788.8399999999997

31,07:30-07:45,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,24.66,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.87,26.35,53,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.95,1806.3199999999997

32,07:45-08:00,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,8.78,0,0,0,0,0,0,8.78,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,30.84,0,24.16,144.94,193.26,192.64,0,106.29,9.66,26.35,0,26.35,0,48.32,9.66,0,0.87,26.35,67,0,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.95,1826.4999999999998

33,08:00-08:15,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,14.64,0,0,0,0,0,0,14.64,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,37.81,0,24.16,144.94,193.26,192.64,0,106.29,9.66,43.92,0,37.34,0,48.32,9.66,0,0.97,43.92,84,5.21,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.76,1913.4400000000003

34,08:15-08:30,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,14.64,0,0,0,0,0,0,14.64,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,44.82,0,24.16,144.94,193.26,192.64,0,106.29,9.66,43.92,0,37.34,0,48.32,10.63,0,0.97,43.92,98,5.8,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.76,1936.0100000000002

35,08:30-08:45,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,14.64,0,0,0,0,0,0,14.64,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,51.84,0,24.16,144.94,193.26,192.64,0,106.29,9.66,43.92,0,37.34,0,48.32,10.63,0,0.97,43.92,112,5.8,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.76,1957.0300000000002

36,08:45-09:00,24.16,0,0,0,0,0,0,0,55.99,0,0,0,24.88,0,0,14.64,0,0,0,0,0,0,14.64,0,102.36,0,96.63,0,0,0,0,0,5.8,0,0,24.16,0,24.16,11.9,29.16,58.6,0,24.16,144.94,193.26,192.64,0,106.29,9.66,43.92,0,37.34,0,48.32,10.63,0,0.97,43.92,123,5.8,26.5,62.81,193.26,0,48.32,11.91,48.32,48.32,26.5,0,24.16,12.76,1974.79

37,09:00-09:15,24.16,0,14.64,129.12,0,39.91,106.29,0,0,43.92,24.88,0,0,53.15,0,0,0,0,55.99,0,0,5.8,0,0,102.36,192.64,96.63,0,0,0,14.64,43.92,0,0,0,24.16,193.26,24.16,11.9,29.16,65.43,0,24.16,15.83,0,0,0,0,0,0,0,0,0,48.32,10.63,0,0.97,0,137,8.47,26.61,62.81,193.26,0,48.32,11.91,48.32,48.32,26.61,0,24.16,12.67,2044.49

38,09:15-09:30,24.16,0,14.64,129.12,0,39.91,106.29,0,0,43.92,24.88,0,0,53.15,0,0,0,0,55.99,0,0,5.8,0,0,102.36,192.64,96.63,0,0,0,14.64,43.92,0,0,0,24.16,193.26,24.16,11.9,29.16,71.28,0,24.16,15.83,0,0,0,0,0,0,0,0,0,48.32,11.6,0,0.97,0,147,8.7,26.61,62.81,193.26,0,48.32,11.91,48.32,48.32,26.61,0,24.16,12.67,2061.5399999999995

