Column1,Time,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/8106,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/10/01/9072,NR/01102023/31052040/LT-31,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,3.45,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.61,31.29,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,33.41,26.67,0,26.67,32.5,10.84,7.34,10.83,0,0,0,0,0,0

2,00:15-00:30,3.45,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.61,31.29,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,32.21,26,0,26,32,10.66,7.34,10.67,0,0,0,0,0,0

3,00:30-00:45,3.45,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.61,31.29,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,31.61,25,0,25,31.5,10.5,7.34,10.5,0,0,0,0,0,0

4,00:45-01:00,3.45,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.61,31.29,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,30.01,24.67,0,24.67,31,10.34,7.34,10.33,0,0,0,0,0,0

5,01:00-01:15,3.3,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.52,0,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,29.41,24,0,24,30,10,7.34,10,0,0,0,0,0,0

6,01:15-01:30,3.3,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.52,0,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,28.21,23.67,0,23.67,31,10.34,7,10.33,0,0,0,0,0,0

7,01:30-01:45,3.3,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.52,0,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,27.01,23.67,0,23.67,31.5,10.5,6.66,10.5,0,0,0,0,0,0

8,01:45-02:00,3.3,8.76,91.71,30.57,192.8,26.29,8.76,70.29,0,6.89,26.29,0,3.06,261.73,0,0,5.52,0,100.43,6.89,3.57,26.29,0,0,0,0,0,272.57,25.01,23,0,23,32.5,10.84,6.66,10.83,0,0,0,0,0,0

9,02:00-02:15,3.22,8.76,91.71,30.57,0,26.29,8.76,70.29,0,26.87,26.29,0,3.06,206.91,0,0,5.52,0,53.02,26.87,3.49,26.29,0,0,0,0,0,272.57,26.41,23,0,23,27,9,6.66,9,0,0,0,0,0,0

10,02:15-02:30,3.22,8.76,91.71,30.57,0,26.29,8.76,70.29,0,26.87,26.29,0,3.06,182.81,0,0,5.52,0,53.02,26.87,3.49,26.29,0,0,0,0,0,272.57,21.81,23,0,23,27,9,6.66,9,0,0,0,0,0,0

11,02:30-02:45,3.1,8.76,91.71,30.57,0,26.29,8.76,70.29,0,26.87,26.29,0,3.06,205.86,0,0,5.52,0,53.02,26.87,3.49,26.29,0,0,0,0,0,272.57,19.61,23,0,23,26.5,8.84,6.66,8.83,0,0,0,0,0,0

