Block,Time,RAMPUR,SEWA2,AURY_GF,DADRI_RF,RIHAND2,URI,RIHAND3,KOLDAM,RIHAND1,AURY_LF,SALAL,RAPPB,SINGRAULI,NJPC,DADRI_CRF,UNCHAHAR1,DADRT2,AURY_CRF,ANTA_CRF,UNCHAHAR4,UNCHAHAR3,ANTA_RF,ANTA_LF,PARBATI3,KISHANGANGA,TANDA2,DADRI_GF,CHAMERA1,ANTA_GF,JHAJJAR,UNCHAHAR2,AURY_RF,DADRI_LF,CHAMERA3,RAPPC,BSIUL,SINGRAULI_HYDRO,NAPP,TANAKPUR,URI2,FSTPP I & II,TALA,DHAULIGNGA,TEHRI,KOTESHWR,DULHASTI,CHAMERA2,KUDGI,BRBCL,KHSTPP-II,KHSTPP-I,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,47.289900,18.732591,581.050036,39.827747,23.307165,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.909509,8.744482,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,27.596069,47.711220,38.131217,43.43,14.476493,142.367330,30.745224,401.722875,0,0,0,0,0

2,00:15-00:30,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,17.029993,18.732591,629.305036,39.827747,23.307165,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.910686,8.744482,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,27.596069,47.711220,38.131217,43.43,14.476493,142.367330,31.048232,401.722875,0,0,0,0,0

3,00:30-00:45,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,17.029993,18.732591,660.514343,59.741620,23.307165,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.910686,0.000000,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,27.596069,47.711220,38.131217,43.43,14.476493,142.367330,31.048232,401.722875,0,0,0,0,0

4,00:45-01:00,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,37.297093,18.732591,660.514343,59.741620,23.307165,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.910686,0.000000,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,27.596069,47.711220,38.131217,43.43,14.476493,142.367330,31.048232,401.722875,0,0,0,0,0

5,01:00-01:15,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,38.078986,18.732591,660.514343,31.989339,31.414005,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.910686,0.000000,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,34.257190,47.711220,38.131217,43.43,14.476493,142.367330,31.048232,401.722875,0,0,0,0,0

6,01:15-01:30,0.000000,15.252487,0.000000,0.000000,114.002438,40.487875,119.349695,0.000000,88.789200,0.000000,82.987019,0.000000,134.448081,148.242641,38.078986,18.732591,660.514343,29.870810,31.414005,0.000000,25.469086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.171166,0.000000,630.355162,40.910686,0.000000,0.000000,28.048516,49.355890,12.586448,0.923118,37.724601,12.857448,0.000000,13.752675,25.536546,35.268753,60.071684,34.257190,47.711220,38.131217,43.43,14.476493,142.367330,31.048232,401.722875,0,0,0,0,0

