Column1,Block,NR/2024/22730/C,NR/2024/22611/A/33423,NR/2024/22610/A/33424,NR/2024/22623/A/33416,NR/2024/22014/A/33340,NR/2024/21961/A/33654,NR/2024/21938/A/33655,SR/2024/13979/C,NR/2024/21970/A/33674,NR/2024/22042/A/33342,NR/2024/21911/A/33638,NR/2024/21943/A/33703,NR/2024/22010/A/33695,NR/2024/21918/A/33687,NR/2024/22279/A/33347,NR/2024/21956/A/33706,NR/2024/21814/A/33677,NR/2024/21860/A/33646,NR/2024/22498/A/33692,NR/2024/21966/A/33422,NR/2024/21968/A/33673,NR/2024/21983/A/33400,NR/2024/21974/A/33676,NR/2024/21971/A/33675,NR/2024/22731/C,NR/2024/22732/C,NR/2024/22728/C,NR/2024/21658/A/33362,NR/2024/21933/A/33402,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),GNA/NR/2024/08/23/3049,GNA/NR/2024/08/23/7719,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/23/8350,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/33704,NR/2024/21940/A/33705,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
,,NVVNL,SJVNL,SJVNL,DIAPL,IEXL,PTC,PTC,HPXL,NVVNL,IEXL,AEL,APPCPL,MANIKARAN,MANIKARAN,IEXL,APPCPL,NVVNL,TPDDL,MANIKARAN,INSTINCT,NVVNL,TPTCL,NVVNL,NVVNL,NVVNL,NVVNL,TPDDL,ITCLH,TPTCL,BAWANA_GAS,TPTCL,PXIL,IEXL,TPTCL,INSTINCT,MANIKARAN,DELHI,APL_Raigarh_TPP,APPCPL,HPXL,DELHI,DELHI,APPCPL,APPCPL,PUNJAB,JITPL,
,,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,MSEB_State,NA,MSEB_State,GOA_State,MSEB_State,KARNATAKA_STATE,KERALA_State,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,MP_State,MSEB_State,NA,Arunachal_State,NA,NA,HIMACHAL_STATE,Manipur_State,UTTARAKHAND_STATE,DELHI_UT,NA,
,,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,GBHHPL,NHCPL_HP,HP,HP,BYPL,TRN_ENERGY,A_A_Energy_MH_Bio,APL_Raigarh_TPP,AEML,GOA_Beneficiary,AEML,NSLSUGAR,KSEB,JPNIGRIE_JNSTPP,JPL2,BLAPOWER_MP,JPL2,JPL2,SIMHAPURI,RKM_POWER,RKM_POWER,SORANG_HEP,Kameng,JHAJJAR,ITCWIND,ACBIL,BAWANA_GAS,SIMHAPURI,SKS_Raigarh,SKS_Raigarh,ACBIL,JPL2,BLAPOWER_MP,MSEB_Beneficiary,APL_Raigarh_TPP,Arunachal_Ben,SKS_Raigarh,SKS_Raigarh,CHANJUII,Manipur_Ben,UTTARAKHAND,BAWANA_GAS,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,
,,MES_Delhi,NDMC,NDMC,DIAPL,MES_Delhi,BRPL,BYPL,TANGEDCO,NDMC,MES_Delhi,BRPL,BRPL,BRPL,BYPL,MES_Delhi,BYPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,NDMC,NDMC,TPDDL,TPDDL,TPDDL,ITCLH,BRPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,BYPL,PUNJAB,NDMC,
,,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-West-South,West-North,West-North,West-North,West-North,West-North,West-North,South-East-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-East-North,West-North,West-North,North-North,North East-East-North,North-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,North East-East-North,North-North,North-North,East-North,
1,00:00-00:15,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,21.7123,48.28,125.54,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1680.2623

2,00:15-00:30,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,21.7123,48.28,125.54,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1680.2623

