Block,Time,JHAJJAR,UNCHAHAR2,RAPPC,UNCHAHAR4,ANTA_CRF,ANTA_GF,SEWA2,DADRI_LF,CHAMERA2,URI2,BSIUL,DULHASTI,AURY_RF,ANTA_LF,TEHRI,PARBATI3,TANAKPUR,DADRI_CRF,TANDA2,KISHANGANGA,DADRI_RF,UNCHAHAR3,RIHAND3,AURY_LF,DHAULIGNGA,RAMPUR,DADRT2,NAPP,AURY_CRF,RIHAND2,CHAMERA3,NJPC,RIHAND1,SALAL,SINGRAULI_HYDRO,ANTA_RF,UNCHAHAR1,RAPPB,URI,CHAMERA1,KOLDAM,DADRI_GF,SINGRAULI,KOTESHWR,AURY_GF,TALA,BRBCL,SASAN,KUDGI,KHSTPP-II,FSTPP I & II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,632.379927,40.625189,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,25.550895,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,8.183710,0.000000,47.031283,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,18.666768,405.453114,28.08,95.212788,17.004356,43.489608,0,0,0,0,0

2,00:15-00:30,632.379927,41.042095,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,25.550895,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,8.183710,0.000000,47.031283,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,18.763620,405.453114,26.14,95.212788,18.168273,43.489608,0,0,0,0,0

3,00:30-00:45,632.379927,41.042095,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,20.997353,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,8.183710,0.000000,10.688928,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,16.562047,405.453114,24.20,95.212788,16.949592,43.489608,0,0,0,0,0

4,00:45-01:00,570.904068,41.042095,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,13.158322,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,5.216274,0.000000,10.688928,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,14.225081,405.453114,23.24,95.212788,16.624091,43.489608,0,0,0,0,0

5,01:00-01:15,454.497285,41.042095,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,13.158322,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,5.216274,0.000000,10.688928,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,12.620461,405.453114,22.27,95.212788,16.624091,43.489608,0,0,0,0,0

6,01:15-01:30,454.497285,41.042095,25.432968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.883045,0.000000,15.954825,0.000000,0.000000,0.000000,0.000000,4.961057,0.000000,0.000000,0.000000,0.000000,13.158322,119.733058,0.000000,1.278992,0.000000,330.698489,19.336503,0.000000,0.000000,0.000000,20.171479,89.074400,2.475106,0.574172,0.000000,5.216274,0.000000,10.688928,0.000000,0.000000,0.000000,100.208700,8.591807,0.000000,2.277206,10.789851,405.453114,21.30,95.212788,16.624091,43.489608,0,0,0,0,0

