Time,Block,NR/2024/19918/A/20338,NR/2024/20037/A/20037,NR/2024/20034/A/20398,NR/2024/20438/C,NR/2024/20144/A/20081,NR/2024/20041/A/20296,NR/2024/19355/A/20455,NR/2024/20052/A/19847,NR/2024/20439/C,NR/2024/19683/A/19976,NR/2024/19966/A/20056,NR/2024/20431/C,NR/2024/20419/C,NR/2024/20109/A/20454,NR/2024/19757/A/20402,NR/2024/20048/A/20295,NR/2024/20142/A/20080,NR/2024/20090/A/19940,NR/2024/20212/A/20077,NR/2024/19432/A/20416,NR/2024/20436/C,NR/2024/20211/A/20078,NR/2024/20130/A/20067,NR/2024/20350/A/20060,NR/2024/19475/A/20302,NR/2024/20420/C,NR/2024/19637/A/20052,NR/2024/19760/A/20039,NR/2024/20031/A/20400,NR/2024/19699/A/20412,NR/2024/20141/A/20079,NR/2024/20441/C,NR/2024/20050/A/20294,NR/2024/19779/A/20219,NR/2024/19791/A/20339,NR/2024/19588/A/20066,NR/2024/20033/A/20404,NR/2024/20442/C,NR/2024/20418/C,Total
,,APPCPL,TPTCL,NVVNL,HPXL,BAL234,PTC,TPDDL,DIAPL,HPXL,IEXL,BRPL,IEXL,NVVNL,TPDDL,NVVNL,PTC,BAL224,IEXL,UHL,NVVNL,IEXL,JHPL-DL,DTCP,DIAPL,AEL,NVVNL,INSTINCT,TPTCL,NVVNL,NVVNL,BAL184,IEXL,PTC,ITCLH,APPCPL,GMRETL,NVVNL,IEXL,NVVNL,Total

,,NAGALAND,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,TAMIL NADU,RAJASTHAN,NA,NA,NA,
,,Nagaland_Ben,JPL_DHULE,RKM_POWER,GBHHPL,SHPPBPL,JPL_DHULE,JPL-2,GBHHPL,KSEB,NHCPL_HP,IEPLBELA2022,RKM_POWER,KAMENG,JHAJJAR,TANGEDCO,HP,SHPPBPL,A_A_Energy_MH_Bio,SHPPBPL,SEIL,PCKL,SHPPBPL,SHPPBPL,GBHHPL,APL_Raipur TPP,SORANG_HEP,JPL-2,SIMHAPURI,RKM_POWER,JP BINA,SHPPBPL,SINGOLI,HP,ITCWIND,TANGEDCO,RUVNL,SKS Raigarh,CPTTNPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,TPDDL,NDMC,BYPL,BAL234,BRPL,TPDDL,DIAPL,BRPL,MES (Delhi),BRPL,BYPL,TPDDL,TPDDL,BRPL,BYPL,BAL224,MES (Delhi),UHL,TPDDL,BRPL,JHPL-DL,DTCP,DIAPL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BAL184,BRPL,BRPL,ITCLH,BYPL,BYPL,NDMC,BYPL,MES (Delhi),
,,North East-East-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,South-West-North,North-North,West-North,West-North,North East-East-North,North-North,South-West-North,North-North,North-North,West-North,North-North,South-West-North,South-East-West-North,North-North,North-North,North-North,West-North,North-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,192.980000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1607.79

2,00:15-00:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,192.980000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1607.79

3,00:30-00:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,192.980000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1607.79

4,00:45-01:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,192.980000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1607.79

5,01:00-01:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,96.490000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1281.65

6,01:15-01:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,96.490000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1281.65

7,01:30-01:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,96.490000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1281.65

8,01:45-02:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,96.490000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,14.620000,0,0,1281.65

9,02:00-02:15,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,12.430000,0,0,1169.81

10,02:15-02:30,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,12.430000,0,0,1169.81

11,02:30-02:45,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,12.430000,0,0,1169.81

12,02:45-03:00,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.630000,64.730000,66.760000,12.430000,0,0,1169.81

13,03:00-03:15,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1111.82

14,03:15-03:30,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1111.82

15,03:30-03:45,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1111.82

16,03:45-04:00,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,12.540000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1111.82

17,04:00-04:15,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,9.650000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1108.93

18,04:15-04:30,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,9.650000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1108.93

19,04:30-04:45,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,9.650000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1108.93

20,04:45-05:00,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,9.650000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1108.93

21,05:00-05:15,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1159.64

22,05:15-05:30,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1159.64

23,05:30-05:45,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1159.64

24,05:45-06:00,13.510000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,30.150000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,90.460000,0.530000,64.730000,66.760000,12.430000,0,0,1159.64

25,06:00-06:15,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.530000,64.730000,66.760000,12.430000,0,0,1025.52

26,06:15-06:30,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.530000,64.730000,66.760000,12.430000,0,0,1025.52

27,06:30-06:45,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.530000,64.730000,66.760000,12.430000,0,0.57,1026.09

28,06:45-07:00,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.530000,64.730000,66.760000,12.430000,0,1.03,1026.55

29,07:00-07:15,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.680000,64.730000,66.760000,12.430000,0,1.59,1027.26

30,07:15-07:30,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.680000,64.730000,66.760000,12.430000,0,1.35,1027.02

31,07:30-07:45,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.680000,64.730000,66.760000,12.430000,0,1.23,1026.9

32,07:45:08:00,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.680000,64.730000,66.760000,12.430000,0,1.28,1026.95

33,08:00-08:15,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,9.650000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,12.430000,0,2.09,1223.32

34,08:15-08:30,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,9.650000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,12.430000,0,2.12,1223.35

35,08:30-08:45,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,9.650000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,12.430000,0,2.36,1223.59

36,08:45:09:00,0.000000,36.180000,37.270000,0.000000,0.880000,0.000000,96.490000,9.650000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,0.000000,0.000000,37.270000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,12.430000,0,2.33,1223.56

37,09:00:09:15,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,9.650000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.13,1397.91

38,09:15-09:30,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,9.650000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.08,1397.86

39,09:30-09:45,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,9.650000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.45,1398.23

40,09:45-10:00,0.000000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,9.650000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.98,1398.76

