Block,Time,DHAULIGNGA,KHSTPP-I,NAPP,RAPPD,SIMHST1,FSTPP I & II,NNTPP,RIHAND2,SINGRAULI,UNCHAHAR2,BSIUL,NLCIIST1,RAMPUR,TALST2,TelanganaSTPP,URI2,VALLURNTECL,AURY_GF,CHAMERA2,JHAJJAR,MAPS,NLCEXP,SASAN,TANDA2,URI,DADRI_CRF,CHAMERA1,DADRT2,SEWA2,TALA,TANAKPUR,ANTA_CRF,ANTA_LF,ANTA_RF,AURY_LF,DADRI_RF,CHAMERA3,KHSTPP-II,KOTESHWR,KUDGI,NJPC,NLCTS2EXP,NTPL,PARBATI2,RAPPC,AURY_RF,DULHASTI,KGSU1AND2,KGSU3AND4,RIHAND3,RSTPSU1TO6,RSTPSU7,SIMHST2,SINGRAULI_HYDRO,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,AURY_CRF,BRBCL,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,NLCIIST2,PARBATI3,RAPPB,RIHAND1,SALAL,ANTA_GF,DADRI_GF,DADRI_LF
1,00:00-00:15,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,625.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,0,6.27,0,0,49.86,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,2.24,0,20,8.63,0,0,9.59,0,55.24,0,97.23,84.24,0,0,0

2,00:15-00:30,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,625.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,0,6.27,0,0,49.86,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,2.24,0,20,8.63,0,0,9.59,0,55.24,0,97.23,84.24,0,0,0

3,00:30-00:45,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,625.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,5.88,6.27,0,0,49.86,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,2.24,0,20,8.63,0,0,9.59,0,50.64,0,97.23,84.24,0,0,0

4,00:45-01:00,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,625.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,5.88,6.27,0,0,49.86,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,2.24,0,20,8.63,0,0,9.59,0,50.64,0,97.23,84.24,0,0,0

5,01:00-01:15,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,625.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,5.88,6.27,0,0,51.17,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,50.64,0,97.23,84.24,0,0,0

6,01:15-01:30,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,5.88,6.27,0,0,51.17,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,50.64,0,97.23,84.24,0,0,0

7,01:30-01:45,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,12.61,4.7,6.27,0,0,51.17,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

8,01:45-02:00,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,6.3,4.7,6.27,0,0,51.17,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

9,02:00-02:15,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,6.3,4.7,6.27,0,0,51.83,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

10,02:15-02:30,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,6.52,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,6.02,4.7,6.27,0,0,51.83,0,98.41,35.03,148.3,20.85,0,180.89,0,0,48.84,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

11,02:30-02:45,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,13.04,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,6.02,4.7,6.27,0,0,51.83,0,98.41,35.03,148.3,20.85,0,180.89,0,0,43.58,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

12,02:45-03:00,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,13.04,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,6.02,4.7,6.27,0,0,51.83,0,98.41,35.03,148.3,20.85,0,180.89,0,0,43.58,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,84.24,0,0,0

13,03:00-03:15,10.95,45.53,25.38,19.14,0,18.2,0,124.58,150.34,45,13.04,0,6.98,0,0,38.1,0,0,48.81,670.67,0,0,337.5,4.44,50.79,0,42.15,573.92,0,2.06,5,0,0,52.22,0,98.41,35.03,148.3,20.85,0,180.89,0,0,43.58,67.88,80.77,58.69,0,0,95.79,0,0,0,1.11,30.33,21.64,27.68,3.2,0,20,8.63,0,0,9.59,0,42.96,0,97.23,80.18,0,0,0

