Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,DADRI_CRF,ANTA_GF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_CRF,ANTA_RF,DADRI_LF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,TANDA2,UNCHAHAR2,URI,VALLURNTECL,TALST2,UNCHAHAR1,UNCHAHAR4,TANAKPUR,TelanganaSTPP,URI2,TALA,UNCHAHAR3,TEHRI,RSTPSU7,SALAL,SEWA2,RIHAND3,SINGRAULI_HYDRO,RIHAND2,SASAN,SIMHST2,SINGRAULI,SIMHST1,RSTPSU1TO6,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,RIHAND1,CHAMERA3,CHAMERA2,DADRT2,PARBATI3,RAPPB,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NTPL,KUDGI,MAPS,NAPP,BSIUL,BRBCL,CHAMERA1,KGSU3AND4,KHSTPP-I,KOTESHWR,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,0,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,111.45,0,0,88.49,0,0,342.5,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,19.24,0,0,18.49,8.53,0,0,0,0,0,0

2,00:15-00:30,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,0,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,92.81,0,0,88.49,0,0,365.48,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,18.8,0,0,18.41,8.53,0,0,0,0,0,0

3,00:30-00:45,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,0,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,92.81,0,0,88.49,0,0,365.48,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,17.98,0,0,18.41,8.53,0,0,0,0,0,0

4,00:45-01:00,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,0,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,92.81,0,0,88.49,0,0,365.48,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,15.37,0,0,18.41,8.53,0,0,0,0,0,0

5,01:00-01:15,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,5.54,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,92.81,0,0,88.49,0,0,365.48,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,13.35,0,0,18.41,8.53,0,0,0,0,0,0

6,01:15-01:30,0,11,0,229.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,1.07,0,0,5.77,0,5.54,0,4.15,0,14.1,0,0,1.35,0,58.36,0.37,114.22,402.77,0,134.35,0,0,0,92.81,0,0,88.49,0,0,365.48,0,0,0,0,0,0,0,0,0,51.87,0,0,0,42.21,0,11.53,0,0,18.41,8.53,0,0,0,0,0,0

