Time,Block,NR/2023/11959/F,NR/2023/12764/C,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11284/A,NR/2023/12763/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/10434/A,NR/2023/11947/F,NR/2023/12761/C,NR/2023/11963/F,NR/2023/11956/F,NR/2023/11957/F,NR/2023/12760/C,NR/2023/11643/A,NR/2023/10236/A,NR/2023/11960/F,NR/2023/11862/F,NR/2023/10944/A,NR/2023/11952/F,NR/2023/12738/D,NR/2023/11961/F,NR/2023/11958/F,NR/2023/12743/D,NR/2023/11476/A,NR/2023/11330/A,NR/2023/12656/F,NR/2023/11962/F,NR/2023/10611/A,NR/2023/11941/F,NR/2023/10173/A,NR/2023/11642/A,NR/2023/11342/A,NR/2023/12750/C,NR/2023/11640/A,NR/2023/12759/C,NR/2023/10344/A,NR/2023/10223/A,ER/2023/7765/C,NR/2023/12744/D,NR/2023/12745/D,NR/2023/12758/C,Total
,,SHPPBPL,HPXL,APPCPL,NVVNL,STATKRAFT,HPXL,SHPPBPL,TPTCL,NVVNL,HPXL,HPXL,SHPPBPL,SHPPBPL,SHPPBPL,IEXL,MANIKARAN,NVVNL,SHPPBPL,APPCPL,APPCPL,KEIPL,NVVNL,SHPPBPL,SHPPBPL,SJVNL,IEXL,APPCPL,IEXL,SHPPBPL,APPCPL,NVVNL,STATKRAFT,MANIKARAN,IEXL,GBHHPL,MANIKARAN,TPDDL,BYPL,TPTCL,HPXL,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,HIMACHAL PRADESH,UTTAR PRADESH,NAGALAND,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,NA,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,NA,DELHI,NA,NA,NA,
,,SHPPBPL,PPGCL,Nagaland_Ben,JPNIGRIE_JNSTPP,HP,SINGOLI,SHPPBPL,APNRL,SEIL,B_S_ISPAT_MH,Teesta_III,SHPPBPL,SHPPBPL,SHPPBPL,RKM_POWER,HP,ILFS,SHPPBPL,Manipur_Ben,HP,Meghalaya_Ben,KAMENG,SHPPBPL,SHPPBPL,IPCL_WB,JSPL_DCPP,HP,SAPU1234,SHPPBPL,Arunachal_Ben,SKS Raigarh,TANGEDCO,HP,NAVABHARAT,GBHHPL,TANGEDCO,CHANJUII,Meghalaya_Ben,JPL,BYPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,
,,BMDRC,BYPL,BYPL,BRPL,BYPL,BYPL,BAL184,TPDDL,TPDDL,NDMC,BRPL,UHL,BAL224,BAL234,BRPL,BRPL,BRPL,MAX-HPTL,STT,BYPL,BYPL,TPDDL,JHPL-DL,AISHER,NDMC,BRPL,BRPL,MES (Delhi),MHIL,BYPL,NDMC,BYPL,BRPL,BRPL,DIAPL,BRPL,TPDDL,BYPL,BRPL,VL-CPP 1215,BRPL,BYPL,MES (Delhi),
,,North-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,East-North,South-West-North,West-North,East-North,North-North,North-North,North-North,West-North,North-North,South-West-North,North-North,North East-East-North,North-North,North East-East-North,North East-East-North,North-North,North-North,East-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,South-West-North,North-North,South-West-North,North-North,North East-East-North,West-North,North-East,North-North,North-North,West-North,
1,00:00-00:15,0.930000,38.670000,12.670000,43.030000,33.840000,53.170000,0.360000,41.570000,24.170000,6.770000,435.060000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1715.16

2,00:15-00:30,0.930000,38.670000,12.670000,43.030000,33.840000,56.070000,0.360000,41.570000,24.170000,6.770000,406.060000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1689.06

3,00:30-00:45,0.930000,38.670000,12.670000,43.030000,33.840000,56.070000,0.360000,41.570000,24.170000,6.770000,373.180000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1656.18

4,00:45-01:00,0.930000,38.670000,12.670000,43.030000,33.840000,56.070000,0.360000,41.570000,24.170000,6.770000,335.480000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1618.48

5,01:00-01:15,0.930000,38.670000,12.670000,43.030000,33.840000,56.070000,0.360000,41.570000,24.170000,6.770000,304.540000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1587.54

6,01:15-01:30,0.930000,24.170000,12.670000,43.030000,33.840000,33.840000,0.360000,41.570000,24.170000,6.770000,275.540000,0.610000,0.510000,0.900000,120.850000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1521.81

7,01:30-01:45,0.930000,9.670000,12.670000,43.030000,33.840000,33.840000,0.360000,41.570000,24.170000,6.770000,241.700000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1352.62

8,01:45-02:00,0.930000,0.000000,12.670000,43.030000,33.840000,29.000000,0.360000,41.570000,24.170000,6.770000,207.860000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1304.27

9,02:00-02:15,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,169.190000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1236.6

10,02:15-02:30,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,37.710000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1105.12

11,02:30-02:45,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,37.710000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1105.12

12,02:45-03:00,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,37.710000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,36.480000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,32.610000,23.150000,14.120000,12.250000,21.510000,0.000000,0,0,0,1105.12

13,03:00-03:15,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,37.710000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,14.030000,12.250000,21.510000,0.000000,0,0,0,1044.39

14,03:15-03:30,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,35.770000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,14.030000,12.250000,21.510000,0.000000,0,0,0,1042.45

15,03:30-03:45,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,5.800000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,14.030000,12.250000,21.510000,0.000000,0,0,0,1012.48

16,03:45-04:00,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,14.030000,12.250000,21.510000,0.000000,0,0,0,1006.68

17,04:00-04:15,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,13.940000,12.250000,21.510000,0.000000,0,0,0,1006.59

