Block,Time,DADRI_RF,AURY_RF,KISHANGANGA,ANTA_CRF,JHAJJAR,RIHAND1,RAPPB,DADRI_LF,DADRT2,AURY_LF,PARBATI3,DULHASTI,URI2,KOTESHWR,URI,TANAKPUR,SINGRAULI_HYDRO,RIHAND3,CHAMERA1,SINGRAULI,AURY_GF,CHAMERA2,UNCHAHAR2,RAPPC,RAMPUR,TANDA2,ANTA_GF,KOLDAM,AURY_CRF,UNCHAHAR1,SEWA2,CHAMERA3,DADRI_CRF,NAPP,ANTA_LF,NJPC,BSIUL,UNCHAHAR4,ANTA_RF,SALAL,DADRI_GF,DHAULIGNGA,UNCHAHAR3,TEHRI,RIHAND2,TALA,KHSTPP-I,KHSTPP-II,BRBCL,SASAN,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,231.702480,88.642000,0.000000,0.000000,360.454985,0.000000,0.000000,1.854256,23.848244,8.550099,38.293344,0.370273,0.792565,59.573205,0.000000,121.003556,0.000000,0.000000,22.651885,52.086232,0.000000,0.000000,0.000000,0.000000,0.000000,6.715595,0.000000,0.000000,0.000000,41.983934,0.000000,0.000000,0.000000,0.000000,0.000000,2.798968,0.000000,0.000000,14.375420,0.000000,113.813438,0.000000,24.665600,87.582150,19.269968,403.484895,11.118790,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,231.702480,88.642000,0.000000,0.000000,360.454985,0.000000,0.000000,1.854256,23.848244,8.550099,38.293344,0.370273,0.792565,59.573205,0.000000,121.003556,0.000000,0.000000,22.651885,52.086232,0.000000,0.000000,0.000000,0.000000,0.000000,6.715595,0.000000,0.000000,0.000000,41.983934,0.000000,0.000000,0.000000,0.000000,0.000000,2.798968,0.000000,0.000000,14.375420,0.000000,113.813438,0.000000,24.665600,78.621600,19.087133,403.484895,11.118790,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,231.702480,88.642000,0.000000,0.000000,360.454985,0.000000,0.000000,1.854256,23.848244,8.550099,3.191112,0.370273,0.792565,59.573205,0.000000,121.003556,0.000000,0.000000,22.651885,52.086232,0.000000,0.000000,0.000000,0.000000,0.000000,6.715595,0.000000,0.000000,0.000000,41.983934,0.000000,0.000000,6.282791,0.000000,0.000000,2.798968,0.000000,0.000000,14.375420,0.000000,113.813438,0.000000,24.665600,78.621600,19.269968,403.484895,11.118790,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,231.702480,88.642000,0.000000,0.000000,360.454985,0.000000,0.000000,1.854256,23.848244,8.550099,2.127408,0.370273,0.792565,59.573205,0.000000,121.003556,0.000000,0.000000,22.651885,52.086232,0.000000,0.000000,0.000000,0.000000,0.000000,6.715595,0.000000,0.000000,0.000000,41.983934,0.000000,0.000000,6.282791,0.000000,0.000000,2.798968,0.000000,0.000000,14.375420,0.000000,113.813438,0.000000,24.665600,78.621600,19.269968,403.484895,11.118790,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,231.702480,61.206916,0.000000,0.000000,360.454985,0.000000,0.000000,1.854256,16.071642,8.550099,2.127408,0.370273,0.792565,43.829133,0.000000,110.391471,0.000000,0.000000,22.651885,52.086232,0.000000,0.000000,0.000000,0.000000,0.000000,6.715595,0.000000,0.000000,0.000000,41.983934,0.000000,0.000000,6.282791,0.000000,0.000000,6.717522,0.000000,0.000000,14.375420,0.000000,91.481724,0.000000,24.665600,78.621600,19.269968,403.484895,11.118790,0,0,0,0,0

