Block,Time Block,TEHRI,UNCHAHAR2,UNCHAHAR1,TelanganaSTPP,JHAJJAR,CHAMERA3,BSIUL,CHAMERA2,DHAULIGNGA,FSTPP I & II,KGSU1AND2,BRBCL,DULHASTI,DADRT2,CHAMERA1,KHSTPP-I,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,NAPP,KUDGI,NLCEXP,KOTESHWR,MAPS,NLCIIST1,NLCIIST2,NJPC,KOLDAM,RIHAND3,NTPL,RAPPB,PARBATI3,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,RAMPUR,RAPPC,RSTPSU7,NLCTS2EXP,SALAL,SEWA2,NNTPP,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,TANDA2,TALST2,TANAKPUR,TALA,DADRI_LF,DADRI_GF,DADRI_RF,ANTA_GF,URI2,AURY_CRF,UNCHAHAR3,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,URI,ANTA_LF,VALLURNTECL,AURY_GF,UNCHAHAR4,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,63.83,40.824,19.8,0,389.44,30.89,18.83,42.58,38.9,13.77,0,14.44,51.79,657.78,40.59,30.98,0,142.8,0,0,4.16,43.43,0,0,37.21,0,0,0,160.9,5.15,122.87,0,0,18.95,117.19,378.66,91.14,0,0,3.41,58,0,0,80.57,16.73,0,123.01,0.92,0,0,0,6.66,9.51,0,0,0,0,34.71,0,25.42,0,0,0,0,30.82,0,0,0,0.64,0,0,0,0,0,0

2,00:15-00:30,63.83,40.824,19.8,0,389.44,30.89,18.83,42.58,38.9,13.77,0,14.44,51.79,657.78,40.59,30.98,0,142.8,0,0,4.16,43.43,0,0,37.21,0,0,0,160.9,5.15,122.87,0,0,18.95,117.19,379.14,91.14,0,0,3.41,58,0,0,80.57,16.73,0,123.01,0.92,0,0,0,6.66,9.51,0,0,0,0,34.71,0,25.42,0,0,0,0,30.82,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,63.83,36.229,17.66,0,361.07,30.89,18.83,42.58,38.9,13.77,0,14.44,51.79,588.27,40.59,30.98,0,142.8,0,0,4.16,43.43,0,0,37.21,0,0,0,160.9,5.15,122.87,0,0,18.95,117.19,379.14,91.14,0,0,3.41,58,0,0,80.57,16.73,0,123.01,0.92,0,0,0,10.36,9.51,0,0,0,0,34.71,0,22.81,0,0,0,0,30.82,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,63.83,36.229,17.66,0,361.07,30.89,18.83,42.58,38.9,13.77,0,14.44,51.79,586.35,40.59,30.98,0,142.8,0,0,4.16,43.43,0,0,37.21,0,0,0,160.9,5.15,122.87,0,0,18.95,117.19,379.14,91.14,0,0,3.41,58,0,0,80.57,16.73,0,123.01,0.92,0,0,0,6.66,9.51,0,0,0,0,34.71,0,22.81,0,0,0,0,30.82,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,63.83,36.229,17.66,0,361.07,30.89,18.83,42.58,38.9,13.77,0,14.44,51.79,586.35,40.59,30.98,0,142.8,0,0,4.16,43.43,0,0,37.21,0,0,0,160.9,5.15,122.87,0,0,18.95,117.19,379.14,91.14,0,0,3.41,58,0,0,80.57,16.73,0,123.01,0.92,0,0,0,6.66,9.65,0,0,0,0,34.71,0,22.81,0,0,0,0,30.82,0,0,0,0,0,0,0,0,0,0

