Block,Time,PARBATI3,DULHASTI,RIHAND3,UNCHAHAR2,RAPPB,TANDA2,AURY_GF,UNCHAHAR3,UNCHAHAR4,RAPPC,DADRI_LF,AURY_LF,ANTA_LF,NAPP,UNCHAHAR1,KISHANGANGA,DADRI_RF,RAMPUR,TEHRI,AURY_RF,ANTA_RF,JHAJJAR,SINGRAULI_HYDRO,DADRT2,RIHAND1,SALAL,DADRI_GF,NJPC,ANTA_GF,DADRI_CRF,SINGRAULI,SEWA2,AURY_CRF,URI2,CHAMERA2,BSIUL,KOTESHWR,CHAMERA1,RIHAND2,KOLDAM,DHAULIGNGA,CHAMERA3,TANAKPUR,ANTA_CRF,URI,LARA-I,KHARGONE-I,NLCIIST1,SIPAT I,VSTPS II,NLCIIST2,FSTPP I & II,KAWAS-NAPM,VSTPS V,SIMHST2,GANDHAR-ComGas,TALST2,TALA,GANDHAR-RLNG,MAPS,KAWAS-RLNG,NLCTS2EXP,VSTPS IV,KSTPS I&II,VALLURNTECL,SASAN,KAWAS-ComGas,NTPL,KHSTPP-II,BRBCL,KGSU3AND4,NNTPP,SOLAPUR,TAPS-II,KSTPS7,KUDGI,KKNP,GANDHAR-NAPM,MOUDA_II,MOUDA,KAPS,SIPAT II,VSTPS I,KGSU1AND2,NLCEXP,KHSTPP-I,GANDHAR-APM,KAWAS-APM,RSTPSU1TO6,GADARWARA-I,RSTPSU7,KAWAS-zLIQ,VSTPS III,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,51.937806,121.902116,41.956548,0.000000,1.133849,0.000000,25.975960,0.000000,57.136866,0.000000,0.000000,0.000000,42.539088,10.691852,2.458347,0.000000,0.381296,31.042448,0.000000,0.000000,212.438865,1.036106,326.942143,90.877303,59.338111,0.000000,19.728169,0.000000,0.000000,138.768162,16.552025,0.000000,33.382780,42.042478,0.000000,16.789687,27.021358,116.284815,0.000000,0.000000,30.552328,0.000000,0.000000,48.930384,4.102703,1.706583,0.78,5.119751,1.872044,0.40,17.477986,0.000000,1.279076,0.00,0.000000,0.00,0.000000,0.000000,0.24,0.000000,0.83,2.585733,2.755073,0.00,336.237412,0.000000,1.82,94.754203,12.545794,2.10,0.18,1.706584,1.321053,1.292867,0.00,1.56,0.000000,1.691758,1.867362,0.799281,1.801965,2.287199,1.92,1.73,22.352757,0.000000,0.000000,7.54,0.000000,1.87,0.000000,1.888156,0,0,0,0,0

2,00:15-00:30,0.000000,51.937806,121.902116,41.956548,0.000000,1.133849,0.000000,25.975960,0.000000,57.136866,0.000000,0.000000,0.000000,42.539088,10.691852,2.458347,0.000000,0.000000,31.042448,0.000000,0.000000,212.438865,1.036106,326.942143,90.877303,59.338111,0.000000,0.000000,0.000000,0.000000,138.769784,16.552025,0.000000,33.382780,42.042478,0.000000,16.789687,27.021358,116.284815,0.000000,0.000000,30.552328,0.000000,0.000000,48.930384,4.102703,1.706583,0.78,5.119751,1.872044,0.40,17.477986,0.000000,1.279076,0.00,0.000000,0.00,0.000000,0.000000,0.24,0.000000,0.84,2.585733,2.755073,0.00,336.237412,0.000000,1.82,94.754203,10.829779,2.10,0.18,1.706584,1.321053,1.292867,0.00,1.56,0.000000,1.691758,1.867362,0.799281,1.801965,2.287199,1.92,1.73,22.352757,0.000000,0.000000,7.54,0.000000,1.87,0.000000,1.888156,0,0,0,0,0

3,00:30-00:45,0.000000,51.937806,121.902116,41.956548,0.000000,1.133849,0.000000,25.975960,0.000000,57.136866,0.000000,0.000000,0.000000,42.539088,10.691852,2.458347,0.000000,0.000000,31.042448,0.000000,0.000000,212.438865,1.036106,326.942143,90.877303,59.338111,0.000000,0.000000,0.000000,0.000000,138.769784,16.552025,0.000000,33.382780,42.042478,0.000000,8.394844,27.021358,116.284815,0.000000,0.000000,30.552328,0.000000,0.000000,48.930384,4.102703,1.706583,0.78,5.119751,1.872044,0.40,17.477986,0.000000,1.279076,0.00,0.000000,0.00,0.000000,0.000000,0.24,0.000000,0.82,2.585733,2.755073,0.00,336.237412,0.000000,1.82,94.754203,10.829779,2.10,0.18,1.706584,1.321053,1.292867,0.00,1.56,0.000000,1.691758,1.867362,0.799281,1.801965,2.287199,1.92,1.73,22.352757,0.000000,0.000000,7.54,0.000000,1.87,0.000000,1.888156,0,0,0,0,0

4,00:45-01:00,0.000000,51.937806,121.902116,41.956548,0.000000,1.133849,0.000000,25.975960,0.000000,57.136866,0.000000,0.000000,0.000000,42.539088,10.691852,2.458347,0.000000,0.000000,31.042448,0.000000,0.000000,212.438865,1.036106,326.942143,90.877303,59.338111,0.000000,0.000000,0.000000,0.000000,138.769784,16.552025,0.000000,33.382780,42.042478,0.000000,8.394844,27.021358,116.284815,0.000000,0.000000,20.347692,0.000000,0.000000,51.057792,4.102703,1.706583,0.78,5.119751,1.872044,0.40,17.477986,0.000000,1.279076,0.00,0.000000,0.00,0.000000,0.000000,0.24,0.000000,0.82,2.585733,2.755073,0.00,336.237412,0.000000,1.82,94.754203,10.829779,2.10,0.18,1.706584,1.321053,1.292867,0.00,1.56,0.000000,1.691758,1.867362,0.799281,1.801965,2.287199,1.92,1.73,22.352757,0.000000,0.000000,7.54,0.000000,1.87,0.000000,1.888156,0,0,0,0,0

5,01:00-01:15,0.000000,51.937806,121.902116,41.956548,0.000000,1.133849,0.000000,25.975960,0.000000,57.136866,0.000000,0.000000,0.000000,42.539088,10.691852,2.458347,0.000000,0.000000,31.042448,0.000000,0.000000,212.438865,1.016557,326.942143,90.877303,59.338111,0.000000,0.000000,0.000000,0.000000,138.769784,16.552025,0.000000,33.382780,42.042478,0.000000,8.394844,13.472620,116.284815,0.000000,0.000000,20.347692,5.677520,0.000000,51.057792,4.102703,1.706583,0.78,5.119751,1.872044,0.40,17.477986,0.000000,1.279076,0.00,0.000000,0.00,0.000000,0.000000,0.24,0.000000,0.82,2.585733,2.755073,0.00,336.237412,0.000000,1.82,94.754203,8.375040,2.10,0.18,1.706584,1.321053,1.292867,0.00,1.56,0.000000,1.691758,1.867362,0.799281,1.801965,2.287199,1.92,1.73,22.352757,0.000000,0.000000,7.51,0.000000,1.87,0.000000,1.888156,0,0,0,0,0

