Column1,Time,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/05/01/7791,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/9252,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/8954,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/9317,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800
1,00:00-00:15,0,48.33,0,19,60,20,48.33,0,0,35.01,0,0,0,20,0,0,0,0,0,0,0,10.28,13.52,8.24,14.49,29.1,14.49,66.28,9.74,5.15,10.63,0,10.39,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,74.89,229.82,15.54,0,16,100.64,30,67.62

2,00:15-00:30,0,48.33,0,18.33,58.5,19.5,48.33,0,0,35.01,0,0,0,19.5,0,0,0,0,0,0,0,10.28,13.52,8.24,14.49,29.1,14.49,66.28,9.74,6.24,10.63,0,10.39,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,74.89,229.82,15.54,0,16,100.64,30,67.62

3,00:30-00:45,0,47.67,0,18,57,19,47.67,0,0,29.01,0,0,0,19,0,0,0,0,0,0,0,10.28,13.52,8.9,14.49,29.1,14.49,66.28,9.74,7.25,10.63,0,10.39,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,74.89,229.82,15.54,0,16,100.64,30,67.62

4,00:45-01:00,0,47.33,0,17.67,55.01,18.33,47.33,0,0,29.22,0,0,0,18.33,0,0,0,0,0,0,0,10.28,13.52,8.9,14.49,29.1,14.49,66.28,9.74,7.25,10.63,0,10.39,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,74.89,229.82,15.54,0,16,100.64,30,67.62

5,01:00-01:15,0,60,0,17.33,54,18,60,0,0,29.62,0,0,0,18,0,0,0,0,0,0,0,10.28,13.52,8.62,14.49,29.1,14.49,66.28,9.35,7.25,10.63,0,9.63,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,55.94,169.71,15.54,0,15.81,100.64,30,67.62

6,01:15-01:30,0,60,0,17.33,53.51,17.83,60,0,0,30.42,0,0,0,17.83,0,0,0,0,0,0,0,10.28,13.52,8.62,14.49,29.1,14.49,66.28,9.35,7.25,10.63,0,9.63,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,55.94,169.71,15.54,0,15.81,100.64,30,67.62

7,01:30-01:45,0,59.33,0,17,79.99,26.67,59.33,0,0,26.41,0,0,0,26.67,0,0,0,0,0,0,0,10.28,13.52,8.62,14.49,29.1,14.49,66.28,9.35,7.25,10.63,0,9.63,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,55.94,169.71,15.54,0,15.81,100.64,30,67.62

8,01:45-02:00,0,59,0,17,79.99,26.67,59,0,0,26.01,0,0,0,26.67,0,0,0,0,0,0,0,10.28,13.52,8.62,14.49,29.1,14.49,66.28,9.35,7.25,10.63,0,9.63,5.8,0,0,0,28.98,0,28.98,193.2,24.15,273.14,29.27,30,96.6,55.94,169.71,15.54,0,15.81,100.64,30,67.62

9,02:00-02:15,0,76.67,0,16.33,79.5,26.5,76.67,0,0,22.01,0,0,0,26.5,0,0,0,0,0,0,0,5.8,13.52,8.24,0,29.1,14.49,66.28,8.95,4.14,10.63,0,9.4,0,0,0,0,28.98,96.6,0,193.2,24.15,273.14,29.27,30,96.6,55.94,169.71,8.88,0,15.53,100.64,25.4,0

10,02:15-02:30,0,76.67,0,16.33,79.01,26.33,76.67,0,0,21.81,0,0,0,26.33,0,0,0,0,0,0,0,5.8,13.52,8.24,0,29.1,14.49,66.28,8.95,4.14,10.63,0,9.4,0,0,0,0,28.98,96.6,0,193.2,24.15,273.14,29.27,30,96.6,45.4,169.71,8.88,0,15.53,100.64,25.4,0

11,02:30-02:45,0,76.28,0,21.33,78,26,76.28,0,0,21.61,0,0,0,26,0,0,0,0,0,0,0,5.8,13.52,8.24,0,29.1,14.49,66.28,8.95,1.64,10.63,0,9.4,0,0,0,0,28.98,96.6,0,193.2,24.15,273.14,29.27,30,96.6,45.4,134.27,3.57,0,15.53,100.64,25.4,0

12,02:45-03:00,0,75.13,0,21.33,77.51,25.83,75.13,0,0,21.01,0,0,0,25.83,0,0,0,0,0,0,0,1.79,13.52,8.24,0,29.1,14.49,66.28,8.95,1.64,10.63,0,9.4,0,0,0,0,28.98,96.6,0,193.2,24.15,231.84,29.27,30,96.6,45.4,134.27,3.57,0,15.53,71.66,25.4,0

13,03:00-03:15,0,74.37,0,21.33,76.99,25.67,74.37,0,0,17,0,0,0,25.67,0,0,0,0,0,0,0,1.79,13.52,7.96,0,26.08,14.49,66.28,8.18,1.64,10.63,0,8.7,0,0,0,0,28.98,96.6,0,193.2,24.15,193.2,29.27,30,96.6,45.4,134.27,3.57,0,15.07,53.13,25.4,0

14,03:15-03:30,0,72.83,0,21.33,76.01,25.33,72.83,0,0,16.8,0,0,0,25.33,0,0,0,0,0,0,0,1.79,13.52,7.96,0,26.08,14.49,66.28,8.18,1.64,10.63,0,8.7,0,0,0,0,28.98,96.6,0,193.2,24.15,150.22,29.27,30,96.6,45.4,134.27,3.57,0,15.07,53.13,25.4,0

