Time,Block,NR/2023/17901/A/844,NR/2023/17961/C,NR/2023/16187/A,NR/2023/17905/A/837,NR/2023/17064/A,NR/2023/17962/C,WR/2023/18560/A,WR/2023/18560/A/II,WR/2023/20256/A/875,NR/2023/17965/C,WR/2023/20254/A/873,Total
,,ITCLH,TPDDL,APPCPL,IEXL,GMRETL,NVVNL,MANIKARAN,MANIKARAN,MANIKARAN,SJVNL,APPCPL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,NA,DELHI,DELHI,DELHI,NA,DELHI,
,,ITCWIND,CHANJUII,BYPL,BSHP,BYPL,SOLAPUR_SOLAR,BYPL,BYPL,BRPL,RSRPL_BKN,BRPL,
,,DELHI,DELHI,HIMACHAL PRADESH,DELHI,RAJASTHAN,DELHI,MAHARASHTRA,MAHARASHTRA,GOA,DELHI,GOA,
,,ITCLH,TPDDL,HP,MES (Delhi),RUVNL,MES (Delhi),AEML,AEML,GOA_Beneficiary,NDMC,GOA_Beneficiary,
,,South-West-North,North-North,North-North,North-North,North-North,West-North,North-East-West,North-West,North-West,North-North,North-West,
1,00:00-00:15,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

2,00:15-00:30,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

3,00:30-00:45,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

4,00:45-01:00,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

5,01:00-01:15,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

6,01:15-01:30,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

7,01:30-01:45,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

8,01:45-02:00,0.480000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.09

9,02:00-02:15,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

10,02:15-02:30,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

11,02:30-02:45,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

12,02:45-03:00,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

13,03:00-03:15,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

14,03:15-03:30,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

15,03:30-03:45,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

16,03:45-04:00,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

17,04:00-04:15,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

18,04:15-04:30,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

19,04:30-04:45,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

20,04:45-05:00,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

21,05:00-05:15,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

22,05:15-05:30,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

23,05:30-05:45,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

24,05:45-06:00,0.430000,3.510000,34.170000,1.930000,0.000000,0,0.000000,100.000000,0.000000,0,0.000000,140.04

25,06:00-06:15,0.430000,3.510000,0.000000,1.930000,100.000000,0,100.000000,0.000000,0.000000,0,0.000000,205.87

26,06:15-06:30,0.430000,3.510000,0.000000,1.930000,100.000000,0,100.000000,0.000000,0.000000,0,0.000000,205.87

27,06:30-06:45,0.430000,3.510000,0.000000,1.930000,100.000000,0,100.000000,0.000000,0.000000,0,0.000000,205.87

28,06:45-07:00,0.430000,3.510000,0.000000,1.930000,100.000000,0.11,100.000000,0.000000,0.000000,0,0.000000,205.98

29,07:00-07:15,0.580000,3.410000,0.000000,1.930000,100.000000,0.43,100.000000,0.000000,0.000000,0,0.000000,206.35

30,07:15-07:30,0.580000,3.410000,0.000000,1.930000,100.000000,0.69,100.000000,0.000000,0.000000,0,0.000000,206.61

31,07:30-07:45,0.580000,3.410000,0.000000,1.930000,100.000000,0.94,100.000000,0.000000,0.000000,0,0.000000,206.86

32,07:45:08:00,0.580000,3.410000,0.000000,1.930000,100.000000,1.32,100.000000,0.000000,0.000000,0,0.000000,207.24

33,08:00-08:15,0.970000,3.410000,0.000000,1.930000,50.000000,1.68,100.000000,0.000000,0.000000,0,0.000000,157.99

34,08:15-08:30,0.970000,3.410000,0.000000,1.930000,50.000000,2.14,100.000000,0.000000,0.000000,0,0.000000,158.45

35,08:30-08:45,0.970000,3.410000,0.000000,1.930000,50.000000,2.56,100.000000,0.000000,0.000000,0,0.000000,158.87

36,08:45:09:00,0.970000,3.410000,0.000000,1.930000,50.000000,2.98,100.000000,0.000000,0.000000,0,0.000000,159.29

37,09:00:09:15,0.970000,3.410000,0.000000,1.930000,50.000000,3.14,100.000000,0.000000,0.000000,24.16,0.000000,183.61

38,09:15-09:30,0.970000,3.410000,0.000000,1.930000,50.000000,2.92,100.000000,0.000000,0.000000,24.16,0.000000,183.39

39,09:30-09:45,0.970000,3.410000,0.000000,1.930000,50.000000,2.83,100.000000,0.000000,0.000000,24.16,0.000000,183.3

40,09:45-10:00,0.970000,3.410000,0.000000,1.930000,50.000000,3.27,100.000000,0.000000,0.000000,24.16,0.000000,183.74

