Block,Time,DADRT2,NNTPP,RAPPB,RIHAND2,SEWA2,TelanganaSTPP,UNCHAHAR2,RAPPC,RIHAND1,RSTPSU1TO6,SINGRAULI,TANDA2,CHAMERA3,KHSTPP-I,SIMHST2,ANTA_RF,AURY_GF,AURY_LF,CHAMERA2,FSTPP I & II,KKNP,NJPC,NLCIIST2,SASAN,TEHRI,UNCHAHAR1,UNCHAHAR3,AURY_CRF,DADRI_LF,KISHANGANGA,KOTESHWR,NLCEXP,NLCIIST1,PARBATI3,SIMHST1,URI,URI2,VALLURNTECL,ANTA_CRF,ANTA_LF,BRBCL,BSIUL,JHAJJAR,KGSU1AND2,KKNPPU2,KUDGI,RAMPUR,DHAULIGNGA,KHSTPP-II,MAPS,NAPP,NLCTS2EXP,RSTPSU7,SALAL,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,ANTA_GF,DADRI_CRF,DADRI_RF,CHAMERA1,DULHASTI,KGSU3AND4,KOLDAM,NTPL,RIHAND3,UNCHAHAR4,AURY_RF,DADRI_GF
1,00:00-00:15,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,19.32,0,0,17.99,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,11.05,0,5.13,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

2,00:15-00:30,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,19.32,0,0,17.99,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,11.05,0,5.13,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

3,00:30-00:45,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,19.32,0,0,17.56,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

4,00:45-01:00,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,19.32,0,0,17.56,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

5,01:00-01:15,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.87,0,0,17.56,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

6,01:15-01:30,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,17.56,0,29.81,36.05,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

7,01:30-01:45,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

8,01:45-02:00,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,28.1,36.23,0,5.35,0,127.6,1.62,77.33,0

9,02:00-02:15,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,27.42,36.23,0,5.35,0,127.6,1.62,77.33,0

10,02:15-02:30,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,24.33,36.23,0,5.35,0,127.6,1.62,77.33,0

11,02:30-02:45,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,24.33,36.23,0,5.35,0,127.6,1.62,77.33,0

12,02:45-03:00,686.07,0,0,121.71,0,0,43.71,60.23,90.54,0,127.75,2.89,32.08,44.31,0,48.13,0,0,44.22,20.8,0,167.1,0,339.75,35.44,20.96,27.05,0,0,1.44,9.66,0,0,3.94,0,29.81,26.6,0,0,0,20.01,6.52,413.81,0,0,0,3.54,40.4,98.87,0,44.62,0,0,83.67,0,12.35,0,12.43,0,0,97.42,24.33,36.23,0,5.35,0,127.6,1.62,77.33,0

