Time,Block,NR/2023/12110/C,NR/2023/10487/A,NR/2023/11342/A,NR/2023/10229/A,ER/2023/7293/C,NR/2023/12092/D,NR/2023/12095/C,NR/2023/12111/C,NR/2023/10434/A,NR/2023/11476/A,NR/2023/11959/F,NR/2023/12089/D,NR/2023/11961/F,NR/2023/12091/D,NR/2023/11960/F,NR/2023/11862/F,NR/2023/11962/F,NR/2023/10344/A,NR/2023/12088/D,NR/2023/11947/F,NR/2023/10613/A,NR/2023/12107/C,NR/2023/11952/F,NER/2023/784/C,NR/2023/11955/F,NR/2023/10236/A,NR/2023/11941/F,NR/2023/12108/C,NR/2023/11956/F,NR/2023/11957/F,NR/2023/11963/F,WR/2023/14844/C,NR/2023/12112/C,NR/2023/11958/F,Total
,,PXIL,TPTCL,IEXL,NVVNL,PXIL,NVVNL,GBHHPL,PXIL,NVVNL,IEXL,SHPPBPL,TS1PL_BKN,SHPPBPL,NVVNL,SHPPBPL,APPCPL,SHPPBPL,BYPL,TS1PL_BKN,HPXL,APPCPL,HPXL,KEIPL,IEXL,SHPPBPL,NVVNL,NVVNL,HPXL,SHPPBPL,SHPPBPL,SHPPBPL,PXIL,TPDDL,SHPPBPL,Total

,,DELHI,NA,TELANGANA,NA,DELHI,NA,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MANIPUR,HIMACHAL PRADESH,MEGHALAYA,NA,MAHARASHTRA,NAGALAND,DELHI,MEGHALAYA,DELHI,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,BYPL,APNRL,NAVABHARAT,JPNIGRIE_JNSTPP,BYPL,SOLAPUR_SOLAR,GBHHPL,BYPL,SEIL,JSPL_DCPP,SHPPBPL,TS1PL_BKN,SHPPBPL,KAMENG,SHPPBPL,Manipur_Ben,SHPPBPL,Meghalaya_Ben,TS1PL_BKN,B_S_ISPAT_MH,Nagaland_Ben,BYPL,Meghalaya_Ben,BYPL,SHPPBPL,ILFS,SKS Raigarh,BYPL,SHPPBPL,SHPPBPL,SHPPBPL,BYPL,CHANJUII,SHPPBPL,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,MEGHALAYA,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,
,,ASIL_UP,TPDDL,BRPL,BRPL,VL-CPP 1215,MES (Delhi),DIAPL,AMBASTL,TPDDL,BRPL,BMDRC,BRPL,JHPL-DL,TPDDL,MAX-HPTL,STT,MHIL,BYPL,BYPL,NDMC,BYPL,RSL,BYPL,SCF MeSEB,BAL184,BRPL,NDMC,RIMJHIM,BAL224,BAL234,UHL,AMNSIL,TPDDL,AISHER,
,,North-North,East-North,South-West-North,West-North,North-East,West-North,North-North,North-North,South-West-North,West-North,North-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North-North,North East-East-North,North-North,West-North,North East-East-North,North-North,North East-East-North,North-East-North East,North-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-West,North-North,North-North,
1,00:00-00:15,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.570000,0.560000,878.67

2,00:15-00:30,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.570000,0.560000,878.67
