Time,Block,NR/2023/16589/C,NR/2023/13148/A,NR/2023/13387/A,NR/2023/16437/F,NR/2023/16185/A,NR/2023/16073/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/16603/C,NR/2023/16291/F,NR/2023/16588/C,NR/2023/16191/A,NR/2023/13376/A,NR/2023/16077/A,NR/2023/13908/A,NR/2023/15770/A,NR/2023/13254/A,ER/2023/10377/C,NR/2023/16598/C,NR/2023/13519/A,NR/2023/13242/A,NR/2023/13385/A,NR/2023/13253/A,NR/2023/13636/A,NR/2023/16291/F/II,NR/2023/16581/D,NR/2023/13165/A,NR/2023/16582/D,NR/2023/16594/C,WR/2023/18586/C,NR/2023/16575/D,SR/2023/9245/C,Total
,,GBHHPL,KEIPL,NVVNL,NVVNL,MANIKARAN,APPCPL,APPCPL,KEIPL,IEXL,ITCLH,IEXL,MANIKARAN,APPCPL,APPCPL,TPTCL,NVVNL,APPCPL,HPXL,HPXL,STATKRAFT,APPCPL,NVVNL,APPCPL,NVVNL,ITCLH,IEXL,GMRETL,IEXL,TPDDL,HPXL,NVVNL,IEXL,Total

,,HIMACHAL PRADESH,MEGHALAYA,NA,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,MEGHALAYA,NA,ANDHRA PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,NA,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,SIKKIM,MP,UTTARAKHAND,NA,ANDHRA PRADESH,TAMIL NADU,MEGHALAYA,TAMIL NADU,HIMACHAL PRADESH,DELHI,NA,DELHI,
,,GBHHPL,Meghalaya_Ben,JPNIGRIE_JNSTPP,KAMENG,HP,GOA_Beneficiary,HP,Meghalaya_Ben,SINGOLI,ITCWIND,PPGCL,HP,Meghalaya_Ben,HP,JPL,SKS Raigarh,Meghalaya_Ben,BYPL,Teesta_III,HP,SIKKIM,JP BINA,UTTARAKHAND,KAMENG,ITCWIND,OPGPGUNIT1TN,Meghalaya_Ben,OPGPGPLU4TN,CHANJUII,BYPL,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,BALCO_WR,DELHI,TAMIL NADU,
,,DIAPL,BYPL,BRPL,TPDDL,BRPL,BRPL,BYPL,BYPL,BRPL,ITCLH,BRPL,BRPL,BYPL,BRPL,BRPL,NDMC,BYPL,VLSEZ,BRPL,BYPL,BYPL,BRPL,BYPL,BRPL,ITCLH,BRPL,BYPL,BRPL,TPDDL,BALCO_LOAD,MES (Delhi),TANGEDCO,
,,North-North,North East-East-North,West-North,North East-East-North,North-North,West-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,West-North,West-North,North East-East-North,North-East,East-North,North-North,East-North,West-North,North-North,North East-East-North,South-East-North,South-East-North,North East-East-North,South-East-North,North-North,North-West,West-North,North-East-South,
1,00:00-00:15,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.810000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.060000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1609.05

2,00:15-00:30,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.810000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.060000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1609.05
