Block,Time Block,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,KOTESHWR,KUDGI,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,ANTA_LF,ANTA_GF,JHAJJAR,KOLDAM,KKNP,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNPPU2,KGSU3AND4,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,CHAMERA2,CHAMERA3,DADRT2,BRBCL,CHAMERA1,BSIUL,RAMPUR,RAPPC,NTPL,PARBATI3,NLCTS2EXP,RAPPB,NNTPP,RIHAND1,SALAL,SEWA2,RIHAND3,RIHAND2,SASAN,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,TEHRI,SINGRAULI,TANDA2,TelanganaSTPP,TALST2,SINGRAULI_HYDRO,TANAKPUR,TALA,URI,UNCHAHAR2,VALLURNTECL,UNCHAHAR4,UNCHAHAR1,URI2,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,40.27,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,234.56,0,0,142.31,0,42.52,0,0,8.74,16.72,31.63,0,2.3,0,287.7,19.19,0,0,0,49.93,0,0,0,0,0,88.28,2.24,0,119.3,113.96,401.85,0,0,0,0,0,84.92,0,0,0,0,11.44,0,1.07,30.34,0,0,14.42,4.39,18.8,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,40.27,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,234.56,0,0,142.31,0,42.52,0,0,8.74,16.72,31.63,0,2.3,0,287.7,17.47,0,0,0,49.93,0,0,0,0,0,88.28,2.24,0,119.3,113.96,401.85,0,0,0,0,0,84.92,0,0,0,0,11.44,0,1.07,30.34,0,0,14.42,4.39,18.8,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,40.27,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,234.56,0,0,142.31,0,42.52,0,0,8.74,16.72,31.63,0,2.3,0,287.7,13.17,0,0,0,49.93,0,0,0,0,0,88.28,2.24,0,119.3,113.96,401.85,0,0,0,0,0,84.92,0,0,0,0,4.92,0,1.07,30.34,0,0,14.42,4.39,18.8,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,40.27,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,234.56,0,0,142.31,0,42.52,0,0,8.74,16.72,31.63,0,2.3,0,287.7,13.08,0,0,0,49.93,0,0,0,0,0,88.28,2.24,0,119.3,113.96,401.85,0,0,0,0,0,84.92,0,0,0,0,4.92,0,1.07,30.34,0,0,14.42,4.39,18.8,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,40.27,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,234.56,0,0,142.31,0,42.52,0,0,1.27,16.72,31.63,0,2.3,0,287.7,12.23,0,0,0,49.93,0,0,0,0,0,88.28,13.39,0,119.3,113.96,401.85,0,0,0,0,0,84.92,0,0,0,0,4.92,0,1.07,30.34,0,0,14.42,4.39,18.8,0,0,0,0,0

