Block,Time,CHAMERA1,DHAULIGNGA,KGSU3AND4,KHSTPP-II,NJPC,NLCIIST2,SASAN,TANDA2,UNCHAHAR2,UNCHAHAR4,URI,ANTA_LF,DADRI_CRF,DADRI_GF,DADRI_LF,KKNP,KKNPPU2,KOTESHWR,RSTPSU1TO6,SEWA2,SIMHST1,TALA,AURY_LF,MAPS,RIHAND3,ANTA_CRF,AURY_GF,DULHASTI,FSTPP I & II,KHSTPP-I,KUDGI,NAPP,NLCEXP,NNTPP,RAPPC,RIHAND1,RIHAND2,SALAL,TEHRI,UNCHAHAR1,BSIUL,JHAJJAR,KGSU1AND2,KISHANGANGA,KOLDAM,NLCTS2EXP,RSTPSU7,SIMHST2,SINGRAULI,TANAKPUR,VALLURNTECL,AURY_RF,CHAMERA2,NTPL,PARBATI3,SINGRAULI_HYDRO,TALST2,UNCHAHAR3,BRBCL,CHAMERA3,DADRT2,NLCIIST1,RAMPUR,RAPPB,URI2,ANTA_RF,TelanganaSTPP,ANTA_GF,AURY_CRF,DADRI_RF
1,00:00-00:15,0,0,0,120.11,0,0,348.98,0,42.39,0,1.11,0,92.62,0,0,0,0,8.87,0,0,0,0,0,0,62.16,44.1,0,0,20.8,42.49,0,44,0,0,53.3,45,118.76,1.4,0,10.28,0,434.65,0,0,0,0,0,0,139.69,0,0,0,0,0,0,0.63,0,26.4,20,0,683.14,0,0,0,4.31,0,0,0,70.81,0

2,00:15-00:30,0,0,0,120.11,0,0,348.98,0,42.39,0,1.11,0,92.62,0,0,0,0,8.87,0,0,0,0,0,0,62.16,44.1,0,0,20.8,42.49,0,44,0,0,53.3,45,118.76,1.4,0,10.28,0,434.65,0,0,0,0,0,0,139.69,0,0,0,0,0,0,0.63,0,26.4,20,0,683.14,0,0,0,4.31,0,0,0,70.81,0

3,00:30-00:45,0,0,0,120.11,0,0,348.98,0,42.39,0,1.11,0,92.62,0,0,0,0,8.87,0,0,0,0,0,0,62.16,44.1,0,0,20.8,42.49,0,44,0,0,53.3,45,118.76,1.4,0,10.28,0,434.65,0,0,0,0,0,0,139.69,0,0,0,0,0,0,0.63,0,26.4,20,0,683.14,0,0,0,4.31,0,0,0,70.81,0

4,00:45-01:00,0,0,0,120.11,0,0,348.98,0,42.39,0,1.11,0,92.62,0,0,0,0,8.87,0,0,0,0,0,0,62.16,44.1,0,0,20.8,42.49,0,44,0,0,53.3,45,118.76,1.4,0,10.28,0,434.65,0,0,0,0,0,0,139.69,0,0,0,0,0,0,0.63,0,26.4,20,0,683.14,0,0,0,4.31,0,0,0,70.81,0

5,01:00-01:15,0,0,0,120.11,0,0,348.98,0,42.39,0,1.11,0,92.62,0,0,0,0,8.87,0,0,0,0,0,0,62.16,44.1,0,0,20.8,42.49,0,44,0,0,53.3,45,118.76,1.4,0,10.28,0,434.65,0,0,0,0,0,0,139.69,0,0,0,0,0,0,0.63,0,26.4,20,0,683.14,0,0,0,4.31,0,0,0,70.81,0

