Time,Block,NR/2024/19516/C,NR/2024/19115/A/15544,NR/2024/19531/C,NR/2024/18976/A/15602,NR/2024/19245/A/15692,NR/2024/19024/A/15693,NR/2024/19523/C,NR/2024/19485/A/16114,NR/2024/19537/C,NR/2024/19075/A/15549,NR/2024/19483/A/16112,NR/2024/18919/A/16162,NR/2024/18978/A/15604,NR/2024/19469/A/15874,NR/2024/18935/A/15593,NR/2024/18934/A/15592,NR/2024/18986/A/15631,NR/2024/19549/C,NR/2024/19539/C,NR/2024/18936/A/15594,NR/2024/19030/A/15574,NR/2024/19143/A/15541,NR/2024/19121/A/15704,NR/2024/19172/A/16268,NR/2024/18996/A/16120,NR/2024/19538/C,NR/2024/19540/C,NR/2024/19043/A/15560,NR/2024/18977/A/15603,NR/2024/19484/A/16113,NR/2024/19536/C,NR/2024/19290/A/16266,NR/2024/19529/C,NR/2024/18855/A/15705,NR/2024/19517/C,NR/2024/19526/C,NR/2024/19337/A/15691,Total
,,NVVNL,IEXL,HPXL,PXIL,DIAPL,DIAPL,IEXL,NVVNL,PXIL,IEXL,NVVNL,APPCPL,PXIL,DIAPL,PXIL,PXIL,ITCLH,IEXL,PXIL,PXIL,IEXL,IEXL,GMRETL,TPDDL,PTC,HPXL,HPXL,IEXL,PXIL,NVVNL,PXIL,TPDDL,IEXL,GMRETL,NVVNL,PXIL,DIAPL,Total

,,NA,MAHARASHTRA,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,ODISHA,NA,NAGALAND,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,ANDHRA PRADESH,KARNATAKA,DVC,TAMIL NADU,NA,DELHI,RAJASTHAN,NA,MAHARASHTRA,MEGHALAYA,NA,NA,NA,NA,KERALA,NA,NA,RAJASTHAN,NA,NA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,SWPL,GBHHPL,FACORPOWER,GBHHPL,GBHHPL,MCCPL,RKM_POWER,ACBIL,VSL,SKS Raigarh,Nagaland_Ben,BIRLACARBONTN,GBHHPL,SAKTHISUGARS_ELMTN,SAKTHISUGRAR_TN,ITCWIND,PCKL,DVC,SAKTHISUGARSLTD,JHABUA_IPP,EDWPCL12,RUVNL,JHAJJAR,JPL_DHULE,Meghalaya_Ben,SINGOLI,MBMP,MEENAKSHI,RKM_POWER,KSEB,JHAJJAR,SKS Raigarh,RUVNL,KAMENG,SORANG_HEP,GBHHPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,BRPL,BRPL,DIAPL,DIAPL,BYPL,NDMC,BRPL,BRPL,NDMC,BYPL,BRPL,DIAPL,BRPL,BRPL,ITCLH,BRPL,BYPL,BRPL,BRPL,UPPCL,BYPL,TPDDL,BRPL,BRPL,BYPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BYPL,TPDDL,BRPL,DIAPL,
,,West-North,West-East-North,North-North,East-West-North,North-North,North-North,West-East-North,West-North,West-North,East-North,West-North,North East-East-North,South-West-North,North-North,South-West-North,South-West-North,South-West-North,South-East-North,East-North,South-West-North,West-East-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,West-East-North,South-West-North,West-North,South-West-North,North-North,West-East-North,North-North,North East-East-North,North-North,North-North,
1,00:00-00:15,0,0.000000,33.790000,0.000000,0.000000,4.830000,39.580000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,41.510000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1106.48

2,00:15-00:30,0,0.000000,33.790000,0.000000,0.000000,4.830000,39.580000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,41.510000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1106.48

