Block,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/06022042/L_NR_2012_07,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/13072024/13072024/IEX-240712-01506_GNA,NR/01072024/31072024/R2,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01072024/15072024/NR/01072024/15072024/717759,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/31052040/LT-31,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024
1,00:00-00:15,29.16,0,0,0,75,75,0,87.5,0,0,26.34,24.01,29.17,0,0,0,0,0,0,76.380000,61.410000,57.800000,20.470000,12.690000,4.630000,15.520000,81.880000,0.000000,30.830000,30.280000,163.760000,0.000000,6.970000,30.830000,15.590000,107.030000,71.420000,7.660000,0.000000,0.000000,81.880000,0.000000,32.750000,261.540000,264.910000,0.000000,12.410000

2,00:15-00:30,29.16,0,0,0,74.67,74.67,0,87.5,0,0,26,23.01,29.17,0,0,0,0,0,0,76.380000,61.410000,57.800000,20.470000,12.690000,4.630000,15.520000,81.880000,0.000000,30.830000,30.280000,163.760000,0.000000,6.970000,30.830000,15.590000,107.030000,52.980000,7.660000,0.000000,0.000000,81.880000,0.000000,32.750000,261.540000,272.370000,0.000000,12.410000

3,00:30-00:45,29.16,0,0,0,74.33,74.33,0,87.5,0,0,26,21.61,29.17,0,0,0,0,0,0,76.380000,61.410000,57.800000,20.470000,12.690000,4.630000,15.520000,81.880000,0.000000,18.840000,30.280000,163.760000,0.000000,6.970000,30.830000,15.590000,107.030000,52.980000,7.660000,0.000000,0.000000,81.880000,0.000000,32.750000,261.540000,272.370000,0.000000,12.410000

4,00:45-01:00,29.16,0,0,0,74,74,0,87.5,0,0,26.34,20.2,29.17,0,0,0,0,0,0,76.380000,61.410000,57.800000,20.470000,12.690000,4.630000,15.520000,81.880000,0.000000,18.840000,30.280000,163.760000,0.000000,6.970000,30.830000,15.590000,107.030000,52.980000,7.660000,0.000000,0.000000,81.880000,0.000000,32.750000,261.540000,272.370000,0.000000,12.410000

5,01:00-01:15,28.84,0,0,0,73.67,73.67,0,86.5,0,0,26,11.81,28.83,0,0,0,0,0,0,57.510000,61.410000,57.800000,20.470000,12.690000,4.540000,15.520000,81.880000,0.000000,18.840000,29.780000,163.760000,0.000000,6.820000,30.830000,15.590000,98.540000,52.980000,7.500000,0.000000,0.000000,81.880000,0.000000,32.750000,213.370000,272.370000,0.000000,12.410000

6,01:15-01:30,28.34,0,0,0,73.33,73.33,0,85,0,0,25.66,11.21,28.33,0,0,0,0,0,0,57.510000,61.410000,57.800000,20.470000,12.690000,4.540000,15.520000,81.880000,0.000000,18.840000,29.780000,163.760000,0.000000,6.820000,30.830000,15.590000,90.040000,52.980000,7.500000,0.000000,0.000000,81.880000,0.000000,32.750000,205.710000,272.370000,0.000000,12.410000

7,01:30-01:45,27.84,0,0,0,73.33,73.33,0,83.5,0,0,29.34,10.81,27.83,0,0,0,0,0,0,57.510000,61.410000,57.800000,20.470000,12.690000,4.540000,15.520000,81.880000,0.000000,24.910000,29.780000,163.760000,0.000000,6.820000,30.830000,15.590000,81.540000,52.980000,7.500000,0.000000,0.000000,81.880000,0.000000,32.750000,234.610000,272.370000,0.000000,12.410000

8,01:45-02:00,27.16,0,0,0,73.33,73.33,0,81.5,0,0,29.34,10.61,27.17,0,0,0,0,0,0,57.510000,61.410000,57.800000,20.470000,12.690000,4.540000,15.520000,81.880000,0.000000,24.910000,29.780000,163.760000,0.000000,6.820000,30.830000,15.590000,73.060000,52.980000,7.500000,0.000000,0.000000,81.880000,0.000000,32.750000,234.610000,272.370000,0.000000,12.410000

