Column1,Block,NR/2025/31136/A/89327,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/89331,NR/2025/31138/A/89336,NR/2025/31136/A/89328,NR/2025/31419/A/89030,NR/2025/31347/A/88862,NR/2025/31138/A/89335,NR/2025/31137/A/89330,NR/2025/31420/A/89029,NR/2025/29985/A/88971,NR/2025/31653/C,NR/2025/29353/A/89361,NR/2025/27975/A/89498,NR/2025/29992/A/88824,NR/2025/31339/A/88969,NR/2025/27973/A/89496,NR/2025/31645/C,NR/2025/30217/A/89281,NR/2025/30086/A/89284,NR/2025/27978/A/89381,NR/2025/27965/A/89494,NR/2025/30084/A/89285,NR/2025/27966/A/89495,NR/2025/30082/A/89343,NR/2025/30191/A/88867,NR/2025/30083/A/89286,NR/2025/31604/C,NR/2025/30067/A/89435,NR/2025/29352/A/89362,NR/2025/30105/A/89282,NR/2025/29915/A/88916,NR/2025/30121/A/88871,NR/2025/31600/C,NR/2025/31637/C,NR/2025/29167/A/88917,NR/2025/31601/C,NR/2025/29439/A/89226,NR/2025/29628/A/89291,SR/2025/18686/C,NR/2025/29910/A/89289,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,NR/2025/31677/C,NR/2025/31676/C,NR/2025/31696/C,NR/2025/31690/C,GNA/NR/2025/07/01/8154,NR/2025/31681/C,NR/2025/31681/C/Alternate/1,NR/2025/31682/C,NR/2025/31689/C,NR/2025/31662/C,NR/2025/31697/C,NR/2025/31663/C,NR/2025/31695/C,NR/2025/31698/C,NR/2025/31699/C,NR/2025/30101/A/89377,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31126/A/88952,NR/2025/29440/A/88832,NR/2025/28728/A/89491,NR/2025/31688/C,Total
,,ABLWM1_AEROCITY,SECI_Trader,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,GMRETL,IEXL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,GMRETL,BRPL,ITCLH,PTC,PowerPulse,BYPL,BRPL,PowerPulse,PowerPulse,APPCPL,APPCPL,NVVNL,PowerPulse,APPCPL,PowerPulse,HPXL,IEXL,APPCPL,BYPL,MANIKARAN,PTC,APPCPL,TPTCL,IEXL,IEXL,HPXL,TPTCL,IEXL,IVPL_Trader,APPCPL,IEXL,APPCPL,PowerPulse,NDMC,PTC,PUNJAB,PowerPulse,PowerPulse,BAWANA_GAS,APPCPL,APPCPL,NVVNL,NVVNL,APPCPL,APPCPL,MANIKARAN,NVVNL,NVVNL,NVVNL,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,APPCPL,NVVNL,DELHI,DIAPL,ITCLH,PowerPulse,MES_Delhi,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_NJPC_STATE,NA,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,NA,GoHP_Chamera1_STATE,NA,UTTARPRADESH_STATE,TAMILNADU_State,TAMILNADU_State,NA,MSEB_State,NA,MSEB_State,MSEB_State,DELHI_UT,KERALA_State,NA,NA,NA,DELHI_UT,NA,NA,DELHI_UT,GOA_State,GOA_State,NA,MP_State,NA,KERALA_State,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,MP_State,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,
,,TCSPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,JNEPL_BKN2,TS1PL_BKN,ITCWIND,GoHP_NJPC,APL_Raigarh_TPP,KSEB,DADRT2,APL_Raigarh_TPP,APL_Raipur_TPP,TRN_ENERGY,RKM_POWER,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,RKM_POWER,MAHAN_ENERGEN,SKS_Raigarh,IND_BHARAT,SKS_Raigarh,KSEB,MBMP,GoHP_Chamera1,JIPL,PPGCL,PCBLTNLTD_UNIT2,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,IND_BHARAT,TPC_MSEB,AEML,BYPL,KSEB,APL_Raipur_TPP,JPL2,MEENAKSHI,BAWANA_GAS,MAHAN_ENERGEN,APL_Raipur_TPP,BAWANA_GAS,GOA_Beneficiary,GOA_Beneficiary,JPNIGRIE_JNSTPP,JP_BINA,RKM_POWER,KSEB,AEML,Kameng,Kameng,SORANG_HEP,AEML,MAHAN_ENERGEN,JIPL,APL_Raigarh_TPP,SKS_Raigarh,TRN_ENERGY,RKM_POWER,JP_BINA,CHANJUII,GBHHPL,ITCWIND,APL_Raipur_TPP,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,ABLWM1_AEROCITY,TPDDL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,DTCP,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BLKMH,BRPL,ITCLH,BRPL,TPDDL,BYPL,BRPL,TPDDL,BRPL,NDMC,NDMC,TPDDL,TPDDL,NDMC,TPDDL,BRPL,BRPL,NDMC,BYPL,BRPL,BRPL,NDMC,BRPL,MES_Delhi,MES_Delhi,BRPL,BYPL,BRPL,BYPL,BYPL,TANGEDCO,BYPL,BRPL,NDMC,BRPL,PUNJAB,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,TPDDL,NDMC,BYPL,BRPL,TPDDL,TPDDL,TPDDL,BYPL,TPDDL,NDMC,TPDDL,NDMC,NDMC,NDMC,TPDDL,TPDDL,DIAPL,ITCLH,BRPL,MES_Delhi,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,South-West-North,West-North,North-North,East-North,North-North,South-West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,North-West-South,South-West-North,West-North,West-North,South-East-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North East-East-North,North East-East-West-North,North-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,43.26,19.23,81.72,43.7,49.03,28.51,163.44,134.84,28.51,19.23,15.24,0,0,0,0,20.74,56.95,135.33,0,0,0,0,0,0,0,0,48.07,15,12.5,0.91,81.72,0,1982.0600000000002

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,49.99,19.23,81.72,43.7,49.03,28.51,163.44,134.84,28.51,19.23,15.24,0,0,0,0,20.74,100.2,92.08,0,0,0,0,0,0,0,0,48.07,15,12.5,0.91,81.72,0,1988.7900000000002

